"specieex","experts","specieclu","clusterunif"
"Acrocephalus arundinaceus","high","Acrocephalus arundinaceus","medium"
"Acrocephalus melanopogon","high","Acrocephalus melanopogon","low"
"Acrocephalus schoenobaenus","high","Acrocephalus schoenobaenus","low"
"Acrocephalus scirpaceus","medium","Acrocephalus scirpaceus","medium"
"Actitis hypoleucos","medium","Actitis hypoleucos","high"
"Aegithalos caudatus","medium","Aegithalos caudatus","high"
"Alauda arvensis","medium","Alauda arvensis","medium"
"Alcedo atthis","high","Alcedo atthis","high"
"Anacridium aegyptium","medium","Anacridium aegyptium","low"
"Anas crecca","high","Anas crecca","high"
"Anas platyrhynchos","high","Anas platyrhynchos","high"
"Anthus pratensis","medium","Anthus pratensis","medium"
"Anthus spinoletta","medium","Anthus spinoletta","medium"
"Apis mellifera","medium","Apis mellifera","medium"
"Ardea alba","high","Ardea alba","high"
"Ardea cinerea","high","Ardea cinerea","high"
"Ardea purpurea","medium","Ardea purpurea","high"
"Ardeola ralloides","medium","Ardeola ralloides","high"
"Aythya ferina","medium","Aythya ferina","high"
"Botaurus stellaris","low","Botaurus stellaris","low"
"Bubulcus ibis","high","Bubulcus ibis","high"
"Buteo buteo","high","Buteo buteo","high"
"Calandrella brachydactyla","low","Calandrella brachydactyla","low"
"Calidris minuta","medium","Calidris minuta","high"
"Calidris pugnax","medium","Calidris pugnax","medium"
"Calidris temminckii","low","Calidris temminckii","low"
"Cettia cetti","high","Cettia cetti","high"
"Charadrius dubius","medium","Charadrius dubius","medium"
"Charadrius hiaticula","medium","Charadrius hiaticula","medium"
"Chroicocephalus ridibundus","high","Chroicocephalus ridibundus","high"
"Circaetus gallicus","low","Circaetus gallicus","medium"
"Circus aeruginosus","medium","Circus aeruginosus","high"
"Circus cyaneus","medium","Circus cyaneus","medium"
"Cisticola juncidis","high","Cisticola juncidis","high"
"Columba oenas","low","Columba oenas","low"
"Columba palumbus","high","Columba palumbus","high"
"Coracias garrulus","low","Coracias garrulus","low"
"Corvus cornix","high","Corvus cornix","high"
"Corvus monedula","high","Corvus monedula","medium"
"Crocothemis erythraea","high","Crocothemis erythraea","low"
"Cuculus canorus","medium","Cuculus canorus","medium"
"Curruca melanocephala","medium","Curruca melanocephala","high"
"Cyanistes caeruleus","high","Cyanistes caeruleus","high"
"Cyprinus carpio","high","Cyprinus carpio","low"
"Dama dama","medium","Dama dama","low"
"Dendrocopos major","medium","Dendrocopos major","high"
"Egretta garzetta","high","Egretta garzetta","high"
"Emberiza schoeniclus","high","Emberiza schoeniclus","high"
"Erythromma viridulum","medium","Erythromma viridulum","low"
