Species,Group
Acrocephalus arundinaceus,Bird
Acrocephalus melanopogon,Bird
Acrocephalus schoenobaenus,Bird
Acrocephalus scirpaceus,Bird
Actitis hypoleucos,Bird
Aegithalos caudatus,Bird
Alauda arvensis,Bird
Alcedo atthis,Bird
Anacridium aegyptium,Insect
Anas crecca,Bird
Anas platyrhynchos,Bird
Anthus pratensis,Bird
Anthus spinoletta,Bird
Apis mellifera,Insect
Ardea alba,Bird
Ardea cinerea,Bird
Ardea purpurea,Bird
Ardeola ralloides,Bird
Aythya ferina,Bird
Botaurus stellaris,Bird
Bubulcus ibis,Bird
Buteo buteo,Bird
Calandrella brachydactyla,Bird
Calidris minuta,Bird
Calidris pugnax,Bird
Calidris temminckii,Bird
Cettia cetti,Bird
Charadrius dubius,Bird
Charadrius hiaticula,Bird
Chroicocephalus ridibundus,Bird
Circaetus gallicus,Bird
Circus aeruginosus,Bird
Circus cyaneus,Bird
Cisticola juncidis,Bird
Columba oenas,Bird
Columba palumbus,Bird
Coracias garrulus,Bird
Corvus cornix,Bird
Corvus monedula,Bird
Crocothemis erythraea,Insect
Cuculus canorus,Bird
Curruca melanocephala,Bird
Cyanistes caeruleus,Bird
Cyprinus carpio,Other Taxa
Dama dama,Terrestrial
Dendrocopos major,Bird
Egretta garzetta,Bird
Emberiza schoeniclus,Bird
Erythromma viridulum,Insect
Falco columbarius,Bird
Falco peregrinus,Bird
Falco subbuteo,Bird
Falco tinnunculus,Bird
Falco vespertinus,Bird
Fringilla coelebs,Bird
Fringilla montifringilla,Bird
Fulica atra,Bird
Galerida cristata,Bird
Gallinago gallinago,Bird
Gallinula chloropus,Bird
Garrulus glandarius,Bird
Gelochelidon nilotica,Bird
Gonepteryx rhamni,Insect
Grus grus,Bird
Haematopus ostralegus,Bird
Halyomorpha halys,Insect
Hieraaetus pennatus,Bird
Himantopus himantopus,Bird
Hirundo rustica,Bird
Hydrocoloeus minutus,Bird
Ichthyaetus melanocephalus,Bird
Ischnura elegans,Insect
Ixobrychus minutus,Bird
Jynx torquilla,Bird
Lanius collurio,Bird
Larus canus,Bird
Larus fuscus,Bird
Larus michahellis,Bird
Lasiommata megera,Insect
Lepomis gibbosus,Other Taxa
Leptotes pirithous,Insect
Locustella luscinioides,Bird
Luscinia megarhynchos,Bird
Lycaena phlaeas,Insect
Macroglossum stellatarum,Insect
Mareca strepera,Bird
Melitaea didyma,Insect
Merops apiaster,Bird
Milvus migrans,Bird
Motacilla cinerea,Bird
Motacilla flava,Bird
Muscicapa striata,Bird
Netta rufina,Bird
Numenius arquata,Bird
Numenius phaeopus,Bird
Nycticorax nycticorax,Bird
Oenanthe oenanthe,Bird
Oriolus oriolus,Bird
Orthetrum cancellatum,Insect
Oryctes nasicornis,Insect
Pandion haliaetus,Bird
Papilio machaon,Insect
Pararge aegeria,Insect
Parus major,Bird
Passer italiae,Bird
Passer montanus,Bird
Pernis apivorus,Bird
Phalacrocorax carbo,Bird
Phasianus colchicus,Bird
Phoenicurus ochruros,Bird
Phylloscopus collybita,Bird
Phylloscopus trochilus,Bird
Pica pica,Bird
Picus viridis,Bird
Pimelia bipunctata,Insect
Plegadis falcinellus,Bird
Pluvialis squatarola,Bird
Podarcis muralis,Terrestrial
Podiceps cristatus,Bird
Podiceps nigricollis,Bird
Polyommatus icarus,Insect
Procambarus clarkii,Other Taxa
Prunella modularis,Bird
Ptyonoprogne rupestris,Bird
Recurvirostra avosetta,Bird
Regulus ignicapilla,Bird
Remiz pendulinus,Bird
Riparia riparia,Bird
Saxicola rubetra,Bird
Saxicola rubicola,Bird
Serinus serinus,Bird
Silurus glanis,Other Taxa
Sitta europaea,Bird
Spatula clypeata,Bird
Spatula querquedula,Bird
Spinus spinus,Bird
Sterna hirundo,Bird
Streptopelia decaocto,Bird
Streptopelia turtur,Bird
Sturnus vulgaris,Bird
Sylvia atricapilla,Bird
Sympetrum fonscolombii,Insect
Sympetrum sanguineum,Insect
Sympetrum striolatum,Insect
Tachybaptus ruficollis,Bird
Tadorna tadorna,Bird
Tarentola mauritanica,Terrestrial
Threskiornis aethiopicus,Bird
Tringa erythropus,Bird
Tringa glareola,Bird
Tringa nebularia,Bird
Tringa ochropus,Bird
Tringa totanus,Bird
Trithemis annulata,Insect
Troglodytes troglodytes,Bird
Turdus merula,Bird
Turdus philomelos,Bird
Tyto alba,Bird
Vanellus vanellus,Bird
Vanessa cardui,Insect
Xylocopa violacea,Insect
