"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
4062998974,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/150770295","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter nisus","","SPECIES","Accipiter nisus (Linnaeus, 1758)","Accipiter nisus","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",46.16112,9.3972,NA,NA,NA,NA,NA,NA,"2023-03-10T10:06:00",10,3,2023,2480637,2480637,"HUMAN_OBSERVATION","iNaturalist","Observations","150770295",NA,"Roberto Brembilla","2023-03-10T22:54:27","CC_BY_NC_4_0","Roberto Brembilla","Roberto Brembilla",NA,"","2023-06-21 11:11:23","StillImage","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.3972 46.16112)"
3690883857,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1196074788","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter nisus","","SPECIES","Accipiter nisus (Linnaeus, 1758)","Accipiter nisus","","IT","Riserva Naturale Pian di Spagna e Lago di Mezzola","Lombardia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",46.18102,9.42953,NA,NA,NA,NA,NA,NA,"2021-07-03T00:00:00",3,7,2021,2480637,2480637,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1196074788",NA,"","","CC_BY_4_0","","obsr112627",NA,"","2023-06-07 15:28:21","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.42953 46.18102)"
3668266764,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1263522608","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter nisus","","SPECIES","Accipiter nisus (Linnaeus, 1758)","Accipiter nisus","","IT","Riserva Naturale Pian di Spagna e Lago di Mezzola","Lombardia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",46.18102,9.42953,NA,NA,NA,NA,NA,NA,"2021-01-07T00:00:00",7,1,2021,2480637,2480637,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1263522608",NA,"","","CC_BY_4_0","","obsr2811114",NA,"","2023-06-07 15:31:51","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.42953 46.18102)"
3630056588,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1281435860","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter nisus","","SPECIES","Accipiter nisus (Linnaeus, 1758)","Accipiter nisus","","IT","Riserva Naturale Pian di Spagna e Lago di Mezzola","Lombardia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",46.18102,9.42953,NA,NA,NA,NA,NA,NA,"2021-11-21T00:00:00",21,11,2021,2480637,2480637,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1281435860",NA,"","","CC_BY_4_0","","obsr1683716",NA,"","2023-06-07 15:32:30","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.42953 46.18102)"
3614729278,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1140386035","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter nisus","","SPECIES","Accipiter nisus (Linnaeus, 1758)","Accipiter nisus","","IT","Riserva Naturale Pian di Spagna e Lago di Mezzola","Lombardia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",46.18102,9.42953,NA,NA,NA,NA,NA,NA,"2021-05-02T00:00:00",2,5,2021,2480637,2480637,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1140386035",NA,"","","CC_BY_4_0","","obsr1635194",NA,"","2023-06-07 15:36:36","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.42953 46.18102)"
3570170825,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1263518293","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter nisus","","SPECIES","Accipiter nisus (Linnaeus, 1758)","Accipiter nisus","","IT","Riserva Naturale Pian di Spagna e Lago di Mezzola","Lombardia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",46.18102,9.42953,NA,NA,NA,NA,NA,NA,"2021-05-02T00:00:00",2,5,2021,2480637,2480637,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1263518293",NA,"","","CC_BY_4_0","","obsr2811114",NA,"","2023-06-07 15:32:11","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.42953 46.18102)"
3551253781,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1046540636","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter nisus","","SPECIES","Accipiter nisus (Linnaeus, 1758)","Accipiter nisus","","IT","Riserva Naturale Pian di Spagna e Lago di Mezzola","Lombardia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",46.18102,9.42953,NA,NA,NA,NA,NA,NA,"2021-01-07T00:00:00",7,1,2021,2480637,2480637,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1046540636",NA,"","","CC_BY_4_0","","obsr1635194",NA,"","2023-06-07 15:13:36","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.42953 46.18102)"
3538678148,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1261746049","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter nisus","","SPECIES","Accipiter nisus (Linnaeus, 1758)","Accipiter nisus","","IT","Riserva Naturale Pian di Spagna e Lago di Mezzola","Lombardia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",46.18102,9.42953,NA,NA,NA,NA,NA,NA,"2021-10-20T00:00:00",20,10,2021,2480637,2480637,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1261746049",NA,"","","CC_BY_4_0","","obsr112627",NA,"","2023-06-07 15:31:09","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.42953 46.18102)"
3272420179,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS993729219","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter nisus","","SPECIES","Accipiter nisus (Linnaeus, 1758)","Accipiter nisus","","IT","Pian Di Spagna Bocca D'adda, Lombardia, IT (46,18, 9,434)","Lombardia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",46.18019,9.43367,NA,NA,NA,NA,NA,NA,"2020-10-10T00:00:00",10,10,2020,2480637,2480637,"HUMAN_OBSERVATION","CLO","EBIRD","OBS993729219",NA,"","","CC_BY_4_0","","obsr952775",NA,"","2023-06-07 15:14:01","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.43367 46.18019)"
3070500856,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/36317488","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter nisus","","SPECIES","Accipiter nisus (Linnaeus, 1758)","Accipiter nisus","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",46.17831,9.4286,439,NA,NA,NA,NA,NA,"2019-12-02T13:46:00",2,12,2019,2480637,2480637,"HUMAN_OBSERVATION","iNaturalist","Observations","36317488",NA,"Jon Lehmberg","2019-12-04T09:28:09","CC0_1_0","Federico Del Barba","Federico Del Barba",NA,"","2023-06-21 11:04:34","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.4286 46.17831)"
