"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
3759357192,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/111647233","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter nisus","","SPECIES","Accipiter nisus (Linnaeus, 1758)","Accipiter nisus","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.64651,10.02923,1048,NA,NA,NA,NA,NA,"2022-04-16T16:33:00",16,4,2022,2480637,2480637,"HUMAN_OBSERVATION","iNaturalist","Observations","111647233",NA,"Paolo","2022-04-16T14:37:43","CC_BY_4_0","Paolo","Paolo",NA,"","2023-06-21 11:09:00","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.02923 45.64651)"
3631290894,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1231824546","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter nisus","","SPECIES","Accipiter nisus (Linnaeus, 1758)","Accipiter nisus","","IT","Torbiere del Sebino, Corte Franca IT-Lombardei 45.63753, 10.03485","Lombardia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",45.63754,10.03485,NA,NA,NA,NA,NA,NA,"2021-09-06T00:00:00",6,9,2021,2480637,2480637,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1231824546",NA,"","","CC_BY_4_0","","obsr976133",NA,"","2023-06-07 15:29:40","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.03485 45.63754)"
3466232916,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/104530572","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter nisus","","SPECIES","Accipiter nisus (Linnaeus, 1758)","Accipiter nisus","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.64651,10.02923,183,NA,NA,NA,NA,NA,"2022-01-07T19:41:00",7,1,2022,2480637,2480637,"HUMAN_OBSERVATION","iNaturalist","Observations","104530572",NA,"Paolo","2022-01-07T18:43:42","CC_BY_4_0","Paolo","Paolo",NA,"","2023-06-21 11:19:52","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.02923 45.64651)"
3330596405,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/87990332","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter nisus","","SPECIES","Accipiter nisus (Linnaeus, 1758)","Accipiter nisus","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.6465,10.0293,183,NA,NA,NA,NA,NA,"2021-07-21T15:58:00",21,7,2021,2480637,2480637,"HUMAN_OBSERVATION","iNaturalist","Observations","87990332",NA,"Paolo","2021-07-21T14:09:31","CC_BY_4_0","Paolo","Paolo",NA,"","2023-06-21 11:18:42","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.0293 45.6465)"
3301960142,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/81845157","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter nisus","","SPECIES","Accipiter nisus (Linnaeus, 1758)","Accipiter nisus","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.6465,10.0293,598,NA,NA,NA,NA,NA,"2021-06-06T14:06:00",6,6,2021,2480637,2480637,"HUMAN_OBSERVATION","iNaturalist","Observations","81845157",NA,"Paolo","2021-06-06T12:10:02","CC_BY_4_0","Paolo","Paolo",NA,"","2023-06-21 11:18:03","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.0293 45.6465)"
3250471742,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS945876140","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter nisus","","SPECIES","Accipiter nisus (Linnaeus, 1758)","Accipiter nisus","","IT","Torbiere del Sebino","Lombardia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",45.64633,10.02949,NA,NA,NA,NA,NA,NA,"2020-06-21T00:00:00",21,6,2020,2480637,2480637,"HUMAN_OBSERVATION","CLO","EBIRD","OBS945876140",NA,"","","CC_BY_4_0","","obsr1627262",NA,"","2023-06-07 15:27:01","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.02949 45.64633)"
3044743017,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/69510859","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter nisus","","SPECIES","Accipiter nisus (Linnaeus, 1758)","Accipiter nisus","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.65046,10.02827,1434,NA,NA,NA,NA,NA,"2021-02-13T18:23:00",13,2,2021,2480637,2480637,"HUMAN_OBSERVATION","iNaturalist","Observations","69510859",NA,"Paolo","2021-02-13T17:33:19","CC_BY_4_0","Paolo","Paolo",NA,"","2023-06-21 11:17:44","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.02827 45.65046)"
2779801715,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS783298506","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter nisus","","SPECIES","Accipiter nisus (Linnaeus, 1758)","Accipiter nisus","","IT","Torbiere del Sebino","Lombardia","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",45.64633,10.02949,NA,NA,NA,NA,NA,NA,"2019-07-08T00:00:00",8,7,2019,2480637,2480637,"HUMAN_OBSERVATION","CLO","EBIRD","OBS783298506",NA,"","","CC_BY_4_0","","obsr1346061",NA,"","2023-06-07 15:09:14","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.02949 45.64633)"
2456546645,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/35524843","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter nisus","","SPECIES","Accipiter nisus (Linnaeus, 1758)","Accipiter nisus","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.64621,10.03127,429,NA,NA,NA,NA,NA,"2019-11-10T12:53:00",10,11,2019,2480637,2480637,"HUMAN_OBSERVATION","iNaturalist","Observations","35524843",NA,"Paolo","2019-11-10T11:53:35","CC_BY_4_0","Paolo","Paolo",NA,"","2023-06-21 11:14:05","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.03127 45.64621)"
2244311233,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/25554988","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter nisus","","SPECIES","Accipiter nisus (Linnaeus, 1758)","Accipiter nisus","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.64621,10.03127,429,NA,NA,NA,NA,NA,"2019-05-22T14:14:00",22,5,2019,2480637,2480637,"HUMAN_OBSERVATION","iNaturalist","Observations","25554988",NA,"Paolo","2019-05-22T12:19:36","CC_BY_4_0","Paolo","Paolo",NA,"","2023-06-21 11:13:52","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.03127 45.64621)"
