"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
4133690321,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/81833772","Animalia","Arthropoda","Insecta","Orthoptera","Tettigoniidae","Acrometopa","Acrometopa italica","","SPECIES","Acrometopa italica Ramme, 1927","Acrometopa italica",NA,"IT","","Apulia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",40.317735,17.753482,2,NA,NA,NA,NA,NA,"2021-06-06T05:16:00",6,6,2021,1685600,1685600,"HUMAN_OBSERVATION","iNaturalist","Observations",81833772,NA,"Valentino Traversa","2022-03-15T19:00:22","CC_BY_NC_4_0","Valentino Traversa","Valentino Traversa",NA,NA,2023-06-21 11:19:08,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4133641846,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/166543081","Animalia","Arthropoda","Insecta","Orthoptera","Tettigoniidae","Acrometopa","Acrometopa italica","","SPECIES","Acrometopa italica Ramme, 1927","Acrometopa italica",NA,"IT","","Liguria","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.25394,9.480508,2,NA,NA,NA,NA,NA,"2023-06-09T21:15:00",9,6,2023,1685600,1685600,"HUMAN_OBSERVATION","iNaturalist","Observations",166543081,NA,"Francis Birlenbach","2023-06-10T06:52:12","CC_BY_NC_4_0","Francis Birlenbach","Francis Birlenbach",NA,NA,2023-06-21 11:23:28,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4111917633,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/160147530","Animalia","Arthropoda","Insecta","Orthoptera","Tettigoniidae","Acrometopa","Acrometopa italica","","SPECIES","Acrometopa italica Ramme, 1927","Acrometopa italica",NA,"IT","","Lazio","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",41.26932,13.591682,185,NA,NA,NA,NA,NA,"2023-05-05T18:24:00",5,5,2023,1685600,1685600,"HUMAN_OBSERVATION","iNaturalist","Observations",160147530,NA,"Nicola Addelfio","2023-05-06T19:58:48","CC_BY_NC_4_0","Nicola Addelfio","Nicola Addelfio",NA,NA,2023-06-21 11:12:15,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4111679717,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/158811123","Animalia","Arthropoda","Insecta","Orthoptera","Tettigoniidae","Acrometopa","Acrometopa italica","","SPECIES","Acrometopa italica Ramme, 1927","Acrometopa italica",NA,"IT","","Lazio","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",41.758648,12.426405,8,NA,NA,NA,NA,NA,"2023-04-29T22:57:00",29,4,2023,1685600,1685600,"HUMAN_OBSERVATION","iNaturalist","Observations",158811123,NA,"Paolo Mazzei","2023-05-02T07:35:35","CC_BY_NC_4_0","Paolo Mazzei","Paolo Mazzei",NA,NA,2023-06-21 11:12:05,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4075633412,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/57013624","Animalia","Arthropoda","Insecta","Orthoptera","Tettigoniidae","Acrometopa","Acrometopa italica","","SPECIES","Acrometopa italica Ramme, 1927","Acrometopa italica",NA,"IT","","Campania","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",41.365489,14.386059,133,NA,NA,NA,NA,NA,"2020-06-30T14:42:00",30,6,2020,1685600,1685600,"HUMAN_OBSERVATION","iNaturalist","Observations",57013624,NA,"Daniele Baroni","2020-09-17T11:55:13","CC_BY_NC_4_0","Pasquale Buonpane","Pasquale Buonpane",NA,NA,2023-06-21 11:05:47,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4075627420,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/61379128","Animalia","Arthropoda","Insecta","Orthoptera","Tettigoniidae","Acrometopa","Acrometopa italica","","SPECIES","Acrometopa italica Ramme, 1927","Acrometopa italica",NA,"IT","","Liguria","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.125796,9.86283,172,NA,NA,NA,NA,NA,"2020-04-24T14:41:09",24,4,2020,1685600,1685600,"HUMAN_OBSERVATION","iNaturalist","Observations",61379128,NA,"silk128","2020-10-01T19:12:12","CC0_1_0","Raffaele Maiorano","Raffaele Maiorano",NA,NA,2023-06-21 11:06:01,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4075579620,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/122792844","Animalia","Arthropoda","Insecta","Orthoptera","Tettigoniidae","Acrometopa","Acrometopa italica","","SPECIES","Acrometopa italica Ramme, 1927","Acrometopa italica",NA,"IT","","Liguria","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.129166,9.864114,208,NA,NA,NA,NA,NA,"2022-06-20T22:24:08",20,6,2022,1685600,1685600,"HUMAN_OBSERVATION","iNaturalist","Observations",122792844,NA,"Daniele Baroni","2022-06-22T14:42:56","CC0_1_0","Raffaele Maiorano","Raffaele Maiorano",NA,NA,2023-06-21 11:21:12,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4014928852,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/145827616","Animalia","Arthropoda","Insecta","Orthoptera","Tettigoniidae","Acrometopa","Acrometopa italica","","SPECIES","Acrometopa italica Ramme, 1927","Acrometopa italica",NA,"IT","","Toscana","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",43.797496,10.402434,15,NA,NA,NA,NA,NA,"2014-05-31T12:49:00",31,5,2014,1685600,1685600,"HUMAN_OBSERVATION","iNaturalist","Observations",145827616,NA,"Loïs Rancilhac","2023-01-04T15:47:27","CC_BY_NC_4_0","Samuele Papeschi","Samuele Papeschi",NA,NA,2023-06-21 11:23:41,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4009830369,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/79423153","Animalia","Arthropoda","Insecta","Orthoptera","Tettigoniidae","Acrometopa","Acrometopa italica","","SPECIES","Acrometopa italica Ramme, 1927","Acrometopa italica",NA,"IT","","Apulia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",40.974984,16.512313,31,NA,NA,NA,NA,NA,"2021-05-14T17:15:00",14,5,2021,1685600,1685600,"HUMAN_OBSERVATION","iNaturalist","Observations",79423153,NA,"Marco Bonifacino","2021-05-19T18:19:55","CC_BY_NC_4_0","Marco Bonifacino","Marco Bonifacino",NA,NA,2023-06-21 11:07:01,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4006696795,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/144408477","Animalia","Arthropoda","Insecta","Orthoptera","Tettigoniidae","Acrometopa","Acrometopa italica","","SPECIES","Acrometopa italica Ramme, 1927","Acrometopa italica",NA,"FR","","Corse","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",42.808748,9.382487,61,NA,NA,NA,NA,NA,"2022-07-06T00:10:00",6,7,2022,1685600,1685600,"HUMAN_OBSERVATION","iNaturalist","Observations",144408477,NA,"julienbarataud","2022-12-15T08:39:29","CC_BY_NC_4_0","julienbarataud","julienbarataud",NA,NA,2023-06-21 11:23:37,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
