"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
4039454751,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/149344149","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Actitis","Actitis hypoleucos",NA,"SPECIES","Actitis hypoleucos (Linnaeus, 1758)","Actitis hypoleucos","","IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.51388,12.26654,15,NA,NA,NA,NA,NA,"2022-11-06T11:35:00",6,11,2022,2481800,2481800,"HUMAN_OBSERVATION","iNaturalist","Observations","149344149","","gaetano_forti","2023-02-21T19:29:10","CC_BY_NC_4_0","gaetano_forti","gaetano_forti",NA,NA,"2023-06-21 11:23:01","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.26654 44.51388)"
4011706073,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/145507423","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Actitis","Actitis hypoleucos",NA,"SPECIES","Actitis hypoleucos (Linnaeus, 1758)","Actitis hypoleucos","","IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.47185,12.24556,94,NA,NA,NA,NA,NA,"2022-12-31T13:23:00",31,12,2022,2481800,2481800,"HUMAN_OBSERVATION","iNaturalist","Observations","145507423","","iuggg","2022-12-31T15:35:15","CC_BY_NC_4_0","iuggg","iuggg",NA,NA,"2023-06-21 11:11:30","StillImage","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.24556 44.47185)"
4011507058,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/145507609","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Actitis","Actitis hypoleucos",NA,"SPECIES","Actitis hypoleucos (Linnaeus, 1758)","Actitis hypoleucos","","IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.47434,12.24834,23,NA,NA,NA,NA,NA,"2022-12-31T13:39:00",31,12,2022,2481800,2481800,"HUMAN_OBSERVATION","iNaturalist","Observations","145507609","","iuggg","2022-12-31T15:38:10","CC_BY_NC_4_0","iuggg","iuggg",NA,NA,"2023-06-21 11:24:08","StillImage","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.24834 44.47434)"
4006577062,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/144610837","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Actitis","Actitis hypoleucos",NA,"SPECIES","Actitis hypoleucos (Linnaeus, 1758)","Actitis hypoleucos","","IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.52648,12.25096,201,NA,NA,NA,NA,NA,"2022-12-18T11:39:00",18,12,2022,2481800,2481800,"HUMAN_OBSERVATION","iNaturalist","Observations","144610837","","Ville Räihä","2022-12-18T18:52:47","CC_BY_NC_4_0","Valentina","Valentina",NA,NA,"2023-06-21 11:22:48","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.25096 44.52648)"
3747414367,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/109316527","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Actitis","Actitis hypoleucos",NA,"SPECIES","Actitis hypoleucos (Linnaeus, 1758)","Actitis hypoleucos","","IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.51429,12.26676,15,NA,NA,NA,NA,NA,"2022-03-12T10:04:00",12,3,2022,2481800,2481800,"HUMAN_OBSERVATION","iNaturalist","Observations","109316527","","gaetano_forti","2022-03-23T20:30:31","CC_BY_NC_4_0","gaetano_forti","gaetano_forti",NA,NA,"2023-06-21 11:09:10","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.26676 44.51429)"
3692825785,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1287084270","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Actitis","Actitis hypoleucos",NA,"SPECIES","Actitis hypoleucos (Linnaeus, 1758)","Actitis hypoleucos","","IT","Pialassa della Baiona","Emilia-Romagna","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.50725,12.24538,NA,NA,NA,NA,NA,NA,"2021-12-01T00:00:00",1,12,2021,2481800,2481800,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1287084270","","","","CC_BY_4_0","","obsr2539555",NA,NA,"2023-06-07 15:29:57","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.24538 44.50725)"
3614035813,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1078766468","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Actitis","Actitis hypoleucos",NA,"SPECIES","Actitis hypoleucos (Linnaeus, 1758)","Actitis hypoleucos","","IT","Pialassa della Baiona","Emilia-Romagna","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.50725,12.24538,NA,NA,NA,NA,NA,NA,"2021-02-20T00:00:00",20,2,2021,2481800,2481800,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1078766468","","","","CC_BY_4_0","","obsr608674",NA,NA,"2023-06-07 15:12:57","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.24538 44.50725)"
3550121349,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1211555202","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Actitis","Actitis hypoleucos",NA,"SPECIES","Actitis hypoleucos (Linnaeus, 1758)","Actitis hypoleucos","","IT","Pialassa della Baiona","Emilia-Romagna","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.50725,12.24538,NA,NA,NA,NA,NA,NA,"2021-08-03T00:00:00",3,8,2021,2481800,2481800,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1211555202","","","","CC_BY_4_0","","obsr2474994",NA,NA,"2023-06-07 15:44:30","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.24538 44.50725)"
3499643620,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/106628471","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Actitis","Actitis hypoleucos",NA,"SPECIES","Actitis hypoleucos (Linnaeus, 1758)","Actitis hypoleucos","","IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.52332,12.26861,8,NA,NA,NA,NA,NA,"2022-01-08T14:05:00",8,1,2022,2481800,2481800,"HUMAN_OBSERVATION","iNaturalist","Observations","106628471","","gaetano_forti","2022-02-12T20:27:33","CC_BY_NC_4_0","gaetano_forti","gaetano_forti",NA,NA,"2023-06-21 11:21:04","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.26861 44.52332)"
3499622747,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/106626789","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Actitis","Actitis hypoleucos",NA,"SPECIES","Actitis hypoleucos (Linnaeus, 1758)","Actitis hypoleucos","","IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.51465,12.26712,15,NA,NA,NA,NA,NA,"2022-01-08T13:45:00",8,1,2022,2481800,2481800,"HUMAN_OBSERVATION","iNaturalist","Observations","106626789","","gaetano_forti","2022-02-12T20:00:00","CC_BY_NC_4_0","gaetano_forti","gaetano_forti",NA,NA,"2023-06-21 11:20:57","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.26712 44.51465)"
3499614783,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/106628367","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Actitis","Actitis hypoleucos",NA,"SPECIES","Actitis hypoleucos (Linnaeus, 1758)","Actitis hypoleucos","","IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.51345,12.26651,31,NA,NA,NA,NA,NA,"2022-01-08T13:45:00",8,1,2022,2481800,2481800,"HUMAN_OBSERVATION","iNaturalist","Observations","106628367","","gaetano_forti","2022-02-12T20:25:45","CC_BY_NC_4_0","gaetano_forti","gaetano_forti",NA,NA,"2023-06-21 11:20:38","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.26651 44.51345)"
3137370990,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS875244802","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Actitis","Actitis hypoleucos",NA,"SPECIES","Actitis hypoleucos (Linnaeus, 1758)","Actitis hypoleucos","","IT","Pialassa della Baiona--Torre di avvistamento Est","Emilia-Romagna","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.50668,12.26561,NA,NA,NA,NA,NA,NA,"2020-03-07T00:00:00",7,3,2020,2481800,2481800,"HUMAN_OBSERVATION","CLO","EBIRD","OBS875244802","","","","CC_BY_4_0","","obsr1471493",NA,NA,"2023-06-07 15:12:33","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.26561 44.50668)"
2776499878,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS822991538","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Actitis","Actitis hypoleucos",NA,"SPECIES","Actitis hypoleucos (Linnaeus, 1758)","Actitis hypoleucos","","IT","Pialassa della Baiona--Torre di avvistamento Est","Emilia-Romagna","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.50668,12.26561,NA,NA,NA,NA,NA,NA,"2019-11-01T00:00:00",1,11,2019,2481800,2481800,"HUMAN_OBSERVATION","CLO","EBIRD","OBS822991538","","","","CC_BY_4_0","","obsr381807",NA,NA,"2023-06-07 15:26:57","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.26561 44.50668)"
2771474212,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS823308902","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Actitis","Actitis hypoleucos",NA,"SPECIES","Actitis hypoleucos (Linnaeus, 1758)","Actitis hypoleucos","","IT","Pialassa della Baiona","Emilia-Romagna","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.50725,12.24538,NA,NA,NA,NA,NA,NA,"2019-11-02T00:00:00",2,11,2019,2481800,2481800,"HUMAN_OBSERVATION","CLO","EBIRD","OBS823308902","","","","CC_BY_4_0","","obsr381807",NA,NA,"2023-06-07 15:25:14","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.24538 44.50725)"
2768653944,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS705732377","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Actitis","Actitis hypoleucos",NA,"SPECIES","Actitis hypoleucos (Linnaeus, 1758)","Actitis hypoleucos","","IT","Pialassa della Baiona","Emilia-Romagna","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.50725,12.24538,NA,NA,NA,NA,NA,NA,"2019-02-02T00:00:00",2,2,2019,2481800,2481800,"HUMAN_OBSERVATION","CLO","EBIRD","OBS705732377","","","","CC_BY_4_0","","obsr608674",NA,NA,"2023-06-07 15:09:13","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.24538 44.50725)"
2597910975,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/41755577","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Actitis","Actitis hypoleucos",NA,"SPECIES","Actitis hypoleucos (Linnaeus, 1758)","Actitis hypoleucos","","IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.49538,12.26559,NA,NA,NA,NA,NA,NA,"2020-04-08T07:45:00",8,4,2020,2481800,2481800,"HUMAN_OBSERVATION","iNaturalist","Observations","41755577","","Francesco Cecere","2020-04-09T13:26:29","CC0_1_0","Francesco Cecere","Francesco Cecere",NA,NA,"2023-06-21 11:04:50","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.26559 44.49538)"
2185227184,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS642512460","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Actitis","Actitis hypoleucos",NA,"SPECIES","Actitis hypoleucos (Linnaeus, 1758)","Actitis hypoleucos","","IT","Comacchio Emilia-Romagna","Emilia-Romagna","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.52806,12.2483,NA,NA,NA,NA,NA,NA,"2018-07-22T00:00:00",22,7,2018,2481800,2481800,"HUMAN_OBSERVATION","CLO","EBIRD","OBS642512460","","","","CC_BY_4_0","","obsr984921",NA,NA,"2023-06-07 15:24:05","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.2483 44.52806)"
2185127902,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS642081647","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Actitis","Actitis hypoleucos",NA,"SPECIES","Actitis hypoleucos (Linnaeus, 1758)","Actitis hypoleucos","","IT","Comacchio Emilia-Romagna","Emilia-Romagna","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.52806,12.2483,NA,NA,NA,NA,NA,NA,"2018-07-22T00:00:00",22,7,2018,2481800,2481800,"HUMAN_OBSERVATION","CLO","EBIRD","OBS642081647","","","","CC_BY_4_0","","obsr760894",NA,NA,"2023-06-07 15:26:50","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.2483 44.52806)"
