"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
4133759274,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/166229637","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Aedes","Aedes albopictus",NA,"SPECIES","Aedes albopictus (Skuse, 1894)","Aedes albopictus","","IT","","Piemonte","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.331704,7.942077,8,NA,NA,NA,NA,NA,"2023-06-08T12:03:00",8,6,2023,1651430,1651430,"HUMAN_OBSERVATION","iNaturalist","Observations","166229637",NA,"giorege1959","2023-06-08T12:22:13","CC_BY_NC_4_0","giorege1959","giorege1959",NA,"",2023-06-21 11:12:21,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4129965319,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/31990516","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Aedes","Aedes albopictus",NA,"SPECIES","Aedes albopictus (Skuse, 1894)","Aedes albopictus","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.276376,10.373047,305,NA,NA,NA,NA,NA,"2019-08-31T18:33:45",31,8,2019,1651430,1651430,"HUMAN_OBSERVATION","iNaturalist","Observations","31990516",NA,"rebeccamingione","2019-09-02T16:18:02","CC_BY_NC_4_0","rebeccamingione","rebeccamingione",NA,"",2023-06-21 11:04:21,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4129934314,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/32127579","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Aedes","Aedes albopictus",NA,"SPECIES","Aedes albopictus (Skuse, 1894)","Aedes albopictus","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.459378,10.637455,10,NA,NA,NA,NA,NA,"2019-09-04T17:42:11",4,9,2019,1651430,1651430,"HUMAN_OBSERVATION","iNaturalist","Observations","32127579",NA,"loisa","2019-09-04T21:20:40","CC_BY_NC_4_0","loisa","loisa",NA,"",2023-06-21 11:14:13,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4129924022,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/164799423","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Aedes","Aedes albopictus",NA,"SPECIES","Aedes albopictus (Skuse, 1894)","Aedes albopictus","","IT","","Trentino-Alto Adige","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.908435,10.843063,3,NA,NA,NA,NA,NA,"2023-05-30T15:17:00",30,5,2023,1651430,1651430,"HUMAN_OBSERVATION","iNaturalist","Observations","164799423",NA,"Liam Wolff","2023-05-31T14:20:50","CC_BY_NC_4_0","Daniel Iversen","Daniel Iversen",NA,"",2023-06-21 11:12:28,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4129797303,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/15263464","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Aedes","Aedes albopictus",NA,"SPECIES","Aedes albopictus (Skuse, 1894)","Aedes albopictus","","IT","","Toscana","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",43.815327,11.224745,18,NA,NA,NA,NA,NA,"2018-08-09T13:56:26",9,8,2018,1651430,1651430,"HUMAN_OBSERVATION","iNaturalist","Observations","15263464",NA,"Arturo Femia","2018-08-09T16:05:40","CC_BY_4_0","Arturo Femia","Arturo Femia",NA,"",2023-06-21 11:12:41,"","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4129742315,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/28106075","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Aedes","Aedes albopictus",NA,"SPECIES","Aedes albopictus (Skuse, 1894)","Aedes albopictus","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.158139,10.439983,8,NA,NA,NA,NA,NA,"2019-07-03T09:37:20",3,7,2019,1651430,1651430,"HUMAN_OBSERVATION","iNaturalist","Observations","28106075",NA,"veronicagrasso","2019-07-03T07:51:04","CC_BY_NC_4_0","veronicagrasso","veronicagrasso",NA,"",2023-06-21 11:13:53,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4129740766,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/164257317","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Aedes","Aedes albopictus",NA,"SPECIES","Aedes albopictus (Skuse, 1894)","Aedes albopictus","","IT","","Campania","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",41.237342,14.339031,NA,NA,NA,NA,NA,NA,"2023-05-28T20:19:00",28,5,2023,1651430,1651430,"HUMAN_OBSERVATION","iNaturalist","Observations","164257317",NA,"Alberto Di Giorgio","2023-05-28T18:27:35","CC_BY_NC_4_0","Alberto Di Giorgio","Alberto Di Giorgio",NA,"",2023-06-21 11:12:06,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4129716315,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/32946516","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Aedes","Aedes albopictus",NA,"SPECIES","Aedes albopictus (Skuse, 1894)","Aedes albopictus","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.620222,9.020647,18,NA,NA,NA,NA,NA,"2019-09-18T14:33:57",18,9,2019,1651430,1651430,"HUMAN_OBSERVATION","iNaturalist","Observations","32946516",NA,"bracchettogiallo","2019-09-18T14:06:10","CC_BY_NC_4_0","bracchettogiallo","bracchettogiallo",NA,"",2023-06-21 11:13:26,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4128564464,"a307e4d7-1de2-4adc-95d5-a0a8d5f57236","NMR996700206291","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Aedes","Aedes albopictus",NA,"SPECIES","Aedes albopictus (Skuse, 1894)","Aedes albopictus (Skuse, 1894)","","IT","Genova, Orto Botanico di Genova","Liguria","PRESENT",1,"3ead5cf3-2840-482e-bbd9-76380825be63",44.416,8.9273,11,1e-04,58,NA,NA,NA,"2022-08-04T00:00:00",4,8,2022,1651430,1651430,"PRESERVED_SPECIMEN","NMR","NMR Collection","NMR996700206291",NA,"J.G. van der Beek","","CC_BY_4_0","Natural History Museum Rotterdam","",NA,"",2023-06-11 09:35:03,"",""
4128562454,"a307e4d7-1de2-4adc-95d5-a0a8d5f57236","NMR996700206290","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Aedes","Aedes albopictus",NA,"SPECIES","Aedes albopictus (Skuse, 1894)","Aedes albopictus (Skuse, 1894)","","FR","Nice","Provence-Alpes-Côte d'Azur","PRESENT",1,"3ead5cf3-2840-482e-bbd9-76380825be63",43.7059,7.2931,111,0.001,24,NA,NA,NA,"2022-08-08T00:00:00",8,8,2022,1651430,1651430,"PRESERVED_SPECIMEN","NMR","NMR Collection","NMR996700206290",NA,"J.G. van der Beek","","CC_BY_4_0","Natural History Museum Rotterdam","",NA,"",2023-06-11 09:35:03,"",""
