"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
4121000605,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/161628965","Animalia","Chordata","Aves","Passeriformes","Aegithalidae","Aegithalos","Aegithalos caudatus","","SPECIES","Aegithalos caudatus (Linnaeus, 1758)","Aegithalos caudatus",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.78291,8.7255,15,NA,NA,NA,NA,NA,"2023-05-14T17:17:00",14,5,2023,2495000,2495000,"HUMAN_OBSERVATION","iNaturalist","Observations","161628965",NA,"Dragonfyre","2023-05-14T16:33:12","CC_BY_NC_4_0","Dragonfyre","Dragonfyre",NA,"","2023-06-14 09:55:21","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.7255 45.78291)"
4067179217,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/151519130","Animalia","Chordata","Aves","Passeriformes","Aegithalidae","Aegithalos","Aegithalos caudatus","","SPECIES","Aegithalos caudatus (Linnaeus, 1758)","Aegithalos caudatus",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.78706,8.72505,2,NA,NA,NA,NA,NA,"2023-03-16T12:57:00",16,3,2023,2495000,2495000,"HUMAN_OBSERVATION","iNaturalist","Observations","151519130",NA,"roby","2023-03-18T19:36:23","CC_BY_NC_4_0","roby","roby",NA,"","2023-06-14 09:54:27","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.72505 45.78706)"
4009837997,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/144999690","Animalia","Chordata","Aves","Passeriformes","Aegithalidae","Aegithalos","Aegithalos caudatus","","SPECIES","Aegithalos caudatus (Linnaeus, 1758)","Aegithalos caudatus",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.78699,8.72512,4,NA,NA,NA,NA,NA,"2022-12-24T15:38:00",24,12,2022,2495000,2495000,"HUMAN_OBSERVATION","iNaturalist","Observations","144999690",NA,"Dragonfyre","2022-12-24T18:55:58","CC_BY_NC_4_0","Dragonfyre","Dragonfyre",NA,"","2023-06-14 09:53:41","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.72512 45.78699)"
3881860676,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/129108238","Animalia","Chordata","Aves","Passeriformes","Aegithalidae","Aegithalos","Aegithalos caudatus","","SPECIES","Aegithalos caudatus (Linnaeus, 1758)","Aegithalos caudatus",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.784,8.72891,4,NA,NA,NA,NA,NA,"2022-07-31T08:52:17",31,7,2022,2495000,2495000,"HUMAN_OBSERVATION","iNaturalist","Observations","129108238",NA,"roby","2022-08-02T07:42:51","CC_BY_NC_4_0","roby","roby",NA,"","2023-06-14 09:52:43","Sound","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.72891 45.784)"
3881608257,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/129108234","Animalia","Chordata","Aves","Passeriformes","Aegithalidae","Aegithalos","Aegithalos caudatus","","SPECIES","Aegithalos caudatus (Linnaeus, 1758)","Aegithalos caudatus",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.78403,8.7289,4,NA,NA,NA,NA,NA,"2022-07-31T08:52:01",31,7,2022,2495000,2495000,"HUMAN_OBSERVATION","iNaturalist","Observations","129108234",NA,"roby","2022-08-02T07:42:45","CC_BY_NC_4_0","roby","roby",NA,"","2023-06-14 09:52:53","Sound","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.7289 45.78403)"
3772626949,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/116516360","Animalia","Chordata","Aves","Passeriformes","Aegithalidae","Aegithalos","Aegithalos caudatus","","SPECIES","Aegithalos caudatus (Linnaeus, 1758)","Aegithalos caudatus",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.7868,8.72741,8,NA,NA,NA,NA,NA,"2022-05-10T10:31:09",10,5,2022,2495000,2495000,"HUMAN_OBSERVATION","iNaturalist","Observations","116516360",NA,"roby","2022-05-11T03:46:56","CC_BY_NC_4_0","roby","roby",NA,"","2023-06-14 09:51:52","Sound","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.72741 45.7868)"
3772519840,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/116516368","Animalia","Chordata","Aves","Passeriformes","Aegithalidae","Aegithalos","Aegithalos caudatus","","SPECIES","Aegithalos caudatus (Linnaeus, 1758)","Aegithalos caudatus",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.7868,8.72745,4,NA,NA,NA,NA,NA,"2022-05-10T10:31:50",10,5,2022,2495000,2495000,"HUMAN_OBSERVATION","iNaturalist","Observations","116516368",NA,"roby","2022-05-11T03:47:01","CC_BY_NC_4_0","roby","roby",NA,"","2023-06-14 10:08:36","Sound","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.72745 45.7868)"
3693241864,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1255397877","Animalia","Chordata","Aves","Passeriformes","Aegithalidae","Aegithalos","Aegithalos caudatus","","SPECIES","Aegithalos caudatus (Linnaeus, 1758)","Aegithalos caudatus",NA,"IT","Palude Brabbia","Lombardia","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",45.77806,8.71709,NA,NA,NA,NA,NA,NA,"2021-10-09T00:00:00",9,10,2021,2495000,2495000,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1255397877",NA,"","","CC_BY_4_0","","obsr1885082",NA,"","2023-06-07 15:15:58","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.71709 45.77806)"
3687388840,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1255076122","Animalia","Chordata","Aves","Passeriformes","Aegithalidae","Aegithalos","Aegithalos caudatus","","SPECIES","Aegithalos caudatus (Linnaeus, 1758)","Aegithalos caudatus",NA,"IT","Palude Brabbia","Lombardia","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",45.77806,8.71709,NA,NA,NA,NA,NA,NA,"2021-10-09T00:00:00",9,10,2021,2495000,2495000,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1255076122",NA,"","","CC_BY_4_0","","obsr2783619",NA,"","2023-06-07 15:37:58","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.71709 45.77806)"
3643923049,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1147353510","Animalia","Chordata","Aves","Passeriformes","Aegithalidae","Aegithalos","Aegithalos caudatus","","SPECIES","Aegithalos caudatus (Linnaeus, 1758)","Aegithalos caudatus",NA,"IT","Palude Brabbia--Torretta e 'Agricola Paludi'","Lombardia","PRESENT",5,"e2e717bf-551a-4917-bdc9-4fa0f342c530",45.77602,8.72016,NA,NA,NA,NA,NA,NA,"2021-05-08T00:00:00",8,5,2021,2495000,2495000,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1147353510",NA,"","","CC_BY_4_0","","obsr1928761",NA,"","2023-06-07 15:16:39","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.72016 45.77602)"
