"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
4096694444,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/156237200","Animalia","Chordata","Aves","Passeriformes","Aegithalidae","Aegithalos","Aegithalos caudatus","","SPECIES","Aegithalos caudatus (Linnaeus, 1758)","Aegithalos caudatus",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.64704,10.03154,1447,NA,NA,NA,NA,NA,"2023-04-23T10:40:00",23,4,2023,2495000,2495000,"HUMAN_OBSERVATION","iNaturalist","Observations","156237200",NA,"Paolo","2023-04-23T14:42:18","CC_BY_4_0","Paolo","Paolo",NA,"","2023-06-14 10:13:47","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.03154 45.64704)"
4022378800,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/147283230","Animalia","Chordata","Aves","Passeriformes","Aegithalidae","Aegithalos","Aegithalos caudatus","","SPECIES","Aegithalos caudatus (Linnaeus, 1758)","Aegithalos caudatus",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.6514,10.02293,111,NA,NA,NA,NA,NA,"2023-01-20T14:21:00",20,1,2023,2495000,2495000,"HUMAN_OBSERVATION","iNaturalist","Observations","147283230",NA,"Gabriele La Grasta","2023-01-24T20:03:01","CC_BY_NC_4_0","Gabriele La Grasta","Gabriele La Grasta",NA,"","2023-06-14 10:12:09","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.02293 45.6514)"
3996277747,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/254740455","Animalia","Chordata","Aves","Passeriformes","Aegithalidae","Aegithalos","Aegithalos caudatus","","SPECIES","Aegithalos caudatus (Linnaeus, 1758)","Aegithalos caudatus",NA,"IT","Italy - Corte Franca (comuni)","","PRESENT",4,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",45.63989,10.02469,19,NA,NA,NA,NA,NA,"2022-09-09T00:00:00",9,9,2022,2495000,2495000,"HUMAN_OBSERVATION","","Observations","OBS.254740455",NA,"","","CC_BY_NC_4_0","Stichting Observation International","User 108957",NA,"","2023-06-13 16:00:39","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (10.02469 45.63989)"
3994240843,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/143940651","Animalia","Chordata","Aves","Passeriformes","Aegithalidae","Aegithalos","Aegithalos caudatus","","SPECIES","Aegithalos caudatus (Linnaeus, 1758)","Aegithalos caudatus",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.64121,10.03617,142,NA,NA,NA,NA,NA,"2022-12-07T12:21:00",7,12,2022,2495000,2495000,"HUMAN_OBSERVATION","iNaturalist","Observations","143940651",NA,"Gabriele La Grasta","2022-12-08T15:23:45","CC_BY_NC_4_0","Gabriele La Grasta","Gabriele La Grasta",NA,"","2023-06-14 09:53:45","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.03617 45.64121)"
3947378108,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/139334696","Animalia","Chordata","Aves","Passeriformes","Aegithalidae","Aegithalos","Aegithalos caudatus","","SPECIES","Aegithalos caudatus (Linnaeus, 1758)","Aegithalos caudatus",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.65091,10.03274,255,NA,NA,NA,NA,NA,"2022-10-11T09:33:00",11,10,2022,2495000,2495000,"HUMAN_OBSERVATION","iNaturalist","Observations","139334696",NA,"Gabriele La Grasta","2022-10-19T15:07:22","CC_BY_NC_4_0","Gabriele La Grasta","Gabriele La Grasta",NA,"","2023-06-14 09:53:29","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.03274 45.65091)"
3906707520,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/250423177","Animalia","Chordata","Aves","Passeriformes","Aegithalidae","Aegithalos","Aegithalos caudatus","","SPECIES","Aegithalos caudatus (Linnaeus, 1758)","Aegithalos caudatus",NA,"IT","Italy - Provaglio d'Iseo (comuni)","","PRESENT",5,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",45.65076,10.03365,7,NA,NA,NA,NA,NA,"2022-07-26T00:00:00",26,7,2022,2495000,2495000,"HUMAN_OBSERVATION","","Observations","OBS.250423177",NA,"","","CC_BY_NC_4_0","Stichting Observation International","User 727252",NA,"","2023-06-13 16:00:32","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (10.03365 45.65076)"
3903547733,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/134843234","Animalia","Chordata","Aves","Passeriformes","Aegithalidae","Aegithalos","Aegithalos caudatus","","SPECIES","Aegithalos caudatus (Linnaeus, 1758)","Aegithalos caudatus",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.64651,10.02923,183,NA,NA,NA,NA,NA,"2022-09-13T09:01:00",13,9,2022,2495000,2495000,"HUMAN_OBSERVATION","iNaturalist","Observations","134843234",NA,"Paolo","2022-09-13T11:04:18","CC_BY_4_0","Paolo","Paolo",NA,"","2023-06-14 10:10:42","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.02923 45.64651)"
3858720082,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/119838311","Animalia","Chordata","Aves","Passeriformes","Aegithalidae","Aegithalos","Aegithalos caudatus","","SPECIES","Aegithalos caudatus (Linnaeus, 1758)","Aegithalos caudatus",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.65096,10.03244,148,NA,NA,NA,NA,NA,"2022-05-31T10:21:00",31,5,2022,2495000,2495000,"HUMAN_OBSERVATION","iNaturalist","Observations","119838311",NA,"Gabriele La Grasta","2022-06-02T06:41:16","CC_BY_NC_4_0","Gabriele La Grasta","Gabriele La Grasta",NA,"","2023-06-14 09:52:11","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.03244 45.65096)"
3825830663,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/240733340","Animalia","Chordata","Aves","Passeriformes","Aegithalidae","Aegithalos","Aegithalos caudatus","","SPECIES","Aegithalos caudatus (Linnaeus, 1758)","Aegithalos caudatus",NA,"IT","Italy - Corte Franca (comuni)","","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",45.64254,10.02367,5,NA,NA,NA,NA,NA,"2022-05-08T00:00:00",8,5,2022,2495000,2495000,"HUMAN_OBSERVATION","","Observations","OBS.240733340",NA,"","","CC_BY_NC_4_0","Stichting Observation International","User 86165",NA,"","2023-06-13 15:57:51","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (10.02367 45.64254)"
3760213278,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/110777657","Animalia","Chordata","Aves","Passeriformes","Aegithalidae","Aegithalos","Aegithalos caudatus","","SPECIES","Aegithalos caudatus (Linnaeus, 1758)","Aegithalos caudatus",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.65103,10.02837,183,NA,NA,NA,NA,NA,"2022-04-05T13:12:07",5,4,2022,2495000,2495000,"HUMAN_OBSERVATION","iNaturalist","Observations","110777657",NA,"Gabriele La Grasta","2022-04-09T06:28:19","CC_BY_NC_4_0","angelo_dadda","angelo_dadda",NA,"","2023-06-14 10:08:06","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.02837 45.65103)"
