"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
3663454356,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1062895960","Animalia","Chordata","Aves","Passeriformes","Alaudidae","Alauda","Alauda arvensis","","SPECIES","Alauda arvensis Linnaeus, 1758","Alauda arvensis",NA,"IT","Diaccia Botrona--Padule Aperto","Toscana","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.78355,10.94244,NA,NA,NA,NA,NA,NA,"2021-01-30T00:00:00",30,1,2021,8077224,8077224,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1062895960",NA,"","","CC_BY_4_0","","obsr295236",NA,NA,"2023-06-07 15:30:00","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.94244 42.78355)"
3646090742,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1287217342","Animalia","Chordata","Aves","Passeriformes","Alaudidae","Alauda","Alauda arvensis","","SPECIES","Alauda arvensis Linnaeus, 1758","Alauda arvensis",NA,"IT","Diaccia Botrona","Toscana","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.76477,10.92372,NA,NA,NA,NA,NA,NA,"2021-11-27T00:00:00",27,11,2021,8077224,8077224,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1287217342",NA,"","","CC_BY_4_0","","obsr295236",NA,NA,"2023-06-07 15:30:30","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.92372 42.76477)"
3593387594,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1063462798","Animalia","Chordata","Aves","Passeriformes","Alaudidae","Alauda","Alauda arvensis","","SPECIES","Alauda arvensis Linnaeus, 1758","Alauda arvensis",NA,"IT","Diaccia Botrona--Padule Aperto","Toscana","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.78355,10.94244,NA,NA,NA,NA,NA,NA,"2021-01-30T00:00:00",30,1,2021,8077224,8077224,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1063462798",NA,"","","CC_BY_4_0","","obsr295236",NA,NA,"2023-06-07 15:28:00","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.94244 42.78355)"
3567331148,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1177043357","Animalia","Chordata","Aves","Passeriformes","Alaudidae","Alauda","Alauda arvensis","","SPECIES","Alauda arvensis Linnaeus, 1758","Alauda arvensis",NA,"IT","Diaccia Botrona","Toscana","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.76477,10.92372,NA,NA,NA,NA,NA,NA,"2021-06-06T00:00:00",6,6,2021,8077224,8077224,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1177043357",NA,"","","CC_BY_4_0","","obsr295236",NA,NA,"2023-06-07 15:29:06","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.92372 42.76477)"
3511991443,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1099625128","Animalia","Chordata","Aves","Passeriformes","Alaudidae","Alauda","Alauda arvensis","","SPECIES","Alauda arvensis Linnaeus, 1758","Alauda arvensis",NA,"IT","Diaccia Botrona--Padule Aperto","Toscana","PRESENT",4,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.78355,10.94244,NA,NA,NA,NA,NA,NA,"2021-03-07T00:00:00",7,3,2021,8077224,8077224,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1099625128",NA,"","","CC_BY_4_0","","obsr2360045",NA,NA,"2023-06-07 15:14:11","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.94244 42.78355)"
3295358643,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1002247934","Animalia","Chordata","Aves","Passeriformes","Alaudidae","Alauda","Alauda arvensis","","SPECIES","Alauda arvensis Linnaeus, 1758","Alauda arvensis",NA,"IT","Diaccia Botrona--Padule Aperto","Toscana","PRESENT",5,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.78355,10.94244,NA,NA,NA,NA,NA,NA,"2020-10-25T00:00:00",25,10,2020,8077224,8077224,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1002247934",NA,"","","CC_BY_4_0","","obsr295236",NA,NA,"2023-06-07 15:28:01","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.94244 42.78355)"
3292521671,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1003032655","Animalia","Chordata","Aves","Passeriformes","Alaudidae","Alauda","Alauda arvensis","","SPECIES","Alauda arvensis Linnaeus, 1758","Alauda arvensis",NA,"IT","Diaccia Botrona--Padule Aperto","Toscana","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.78355,10.94244,NA,NA,NA,NA,NA,NA,"2018-02-11T00:00:00",11,2,2018,8077224,8077224,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1003032655",NA,"","","CC_BY_4_0","","obsr295236",NA,NA,"2023-06-07 15:13:55","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.94244 42.78355)"
3206230303,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1036081786","Animalia","Chordata","Aves","Passeriformes","Alaudidae","Alauda","Alauda arvensis","","SPECIES","Alauda arvensis Linnaeus, 1758","Alauda arvensis",NA,"IT","Diaccia Botrona","Toscana","PRESENT",NA,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.76477,10.92372,NA,NA,NA,NA,NA,NA,"2014-01-06T00:00:00",6,1,2014,8077224,8077224,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1036081786",NA,"","","CC_BY_4_0","","obsr295236",NA,NA,"2023-06-07 15:30:10","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.92372 42.76477)"
3195040936,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1003037194","Animalia","Chordata","Aves","Passeriformes","Alaudidae","Alauda","Alauda arvensis","","SPECIES","Alauda arvensis Linnaeus, 1758","Alauda arvensis",NA,"IT","Diaccia Botrona","Toscana","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.76477,10.92372,NA,NA,NA,NA,NA,NA,"2018-04-02T00:00:00",2,4,2018,8077224,8077224,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1003037194",NA,"","","CC_BY_4_0","","obsr295236",NA,NA,"2023-06-07 15:28:54","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.92372 42.76477)"
2782204150,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS830181925","Animalia","Chordata","Aves","Passeriformes","Alaudidae","Alauda","Alauda arvensis","","SPECIES","Alauda arvensis Linnaeus, 1758","Alauda arvensis",NA,"IT","Diaccia - Botrona (zona umida IWC)","Toscana","PRESENT",NA,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.77337,10.92825,NA,NA,NA,NA,NA,NA,"2018-08-03T00:00:00",3,8,2018,8077224,8077224,"HUMAN_OBSERVATION","CLO","EBIRD","OBS830181925",NA,"","","CC_BY_4_0","","obsr644186",NA,NA,"2023-06-07 15:10:44","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.92825 42.77337)"
