"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
4076277686,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/122278962","Animalia","Chordata",NA,"Siluriformes","Ictaluridae","Ameiurus","Ameiurus melas",NA,"SPECIES","Ameiurus melas (Rafinesque, 1820)","Ameiurus melas","","IT","","Veneto","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.227477,12.144508,177,NA,NA,NA,NA,NA,"2022-06-18T08:56:00",18,6,2022,2340977,2340977,"HUMAN_OBSERVATION","iNaturalist","Observations","122278962",NA,"lvdr","2022-06-18T15:49:34","CC_BY_NC_4_0","Enrico Cecconello","Enrico Cecconello",NA,NA,2023-06-21 11:22:29,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4076259540,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/94004845","Animalia","Chordata",NA,"Siluriformes","Ictaluridae","Ameiurus","Ameiurus melas",NA,"SPECIES","Ameiurus melas (Rafinesque, 1820)","Ameiurus melas","","IT","","Trentino-Alto Adige","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",46.038033,11.237926,15,NA,NA,NA,NA,NA,"2021-08-12T08:46:00",12,8,2021,2340977,2340977,"HUMAN_OBSERVATION","iNaturalist","Observations","94004845",NA,"Karol Tabarelli de Fatis","2021-09-07T16:14:21","CC_BY_NC_4_0","Karol Tabarelli de Fatis","Karol Tabarelli de Fatis",NA,NA,2023-06-21 11:08:09,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4076250678,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/124512484","Animalia","Chordata",NA,"Siluriformes","Ictaluridae","Ameiurus","Ameiurus melas",NA,"SPECIES","Ameiurus melas (Rafinesque, 1820)","Ameiurus melas","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.714403,9.421607,19,NA,NA,NA,NA,NA,"2022-07-03T08:48:57",3,7,2022,2340977,2340977,"HUMAN_OBSERVATION","iNaturalist","Observations","124512484",NA,"stefanonv","2022-07-03T06:51:39","CC_BY_NC_4_0","stefanonv","stefanonv",NA,NA,2023-06-21 11:21:05,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4075753312,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/7186472","Animalia","Chordata",NA,"Siluriformes","Ictaluridae","Ameiurus","Ameiurus melas",NA,"SPECIES","Ameiurus melas (Rafinesque, 1820)","Ameiurus melas","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.10484,10.544622,678,NA,NA,NA,NA,NA,"2017-07-14T14:30:00",14,7,2017,2340977,2340977,"HUMAN_OBSERVATION","iNaturalist","Observations","7186472",NA,"giubbe verdi Manu","2017-07-24T11:31:48","CC_BY_NC_4_0","giubbe verdi Manu","giubbe verdi Manu",NA,NA,2023-06-21 11:03:04,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4075721668,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/122672440","Animalia","Chordata",NA,"Siluriformes","Ictaluridae","Ameiurus","Ameiurus melas",NA,"SPECIES","Ameiurus melas (Rafinesque, 1820)","Ameiurus melas","","IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.849063,12.24603,474,NA,NA,NA,NA,NA,"2022-06-19T13:15:00",19,6,2022,2340977,2340977,"HUMAN_OBSERVATION","iNaturalist","Observations","122672440",NA,"Eros","2022-06-20T16:48:47","CC_BY_NC_4_0","Eros","Eros",NA,NA,2023-06-21 11:10:25,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4075619721,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/125933131","Animalia","Chordata",NA,"Siluriformes","Ictaluridae","Ameiurus","Ameiurus melas",NA,"SPECIES","Ameiurus melas (Rafinesque, 1820)","Ameiurus melas","","IT","","Piemonte","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.942532,8.500814,31,NA,NA,NA,NA,NA,"2022-07-12T16:56:00",12,7,2022,2340977,2340977,"HUMAN_OBSERVATION","iNaturalist","Observations","125933131",NA,"Max Bernt","2023-06-08T15:36:33","CC_BY_NC_4_0","Gianmaria Marchese","Gianmaria Marchese",NA,NA,2023-06-21 11:09:52,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4067366701,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/149392934","Animalia","Chordata",NA,"Siluriformes","Ictaluridae","Ameiurus","Ameiurus melas",NA,"SPECIES","Ameiurus melas (Rafinesque, 1820)","Ameiurus melas","","IT","","Piemonte","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.142722,8.4897,19,NA,NA,NA,NA,NA,"2023-02-22T11:23:53",22,2,2023,2340977,2340977,"HUMAN_OBSERVATION","iNaturalist","Observations","149392934",NA,"leonardomantovani","2023-02-22T10:25:12","CC_BY_NC_4_0","leonardomantovani","leonardomantovani",NA,NA,2023-06-21 11:24:18,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4051056839,"017f23ba-bf04-4eb7-a076-04ab2e5de250","9d0fd24d-0ee3-4de4-85b8-87ad32b0dbab","Animalia","Chordata",NA,"Siluriformes","Ictaluridae","Ameiurus","Ameiurus melas",NA,"SPECIES","Ameiurus melas (Rafinesque, 1820)","Ameiurus melas (Rafinesque, 1820)","","FR","2B148","","PRESENT",NA,"1928bdf0-f5d2-11dc-8c12-b8a03c50a862",42.53779,9.50102,NA,NA,NA,NA,NA,NA,"2020-05-18T00:00:00",18,5,2020,2340977,2340977,"HUMAN_OBSERVATION","","","",NA,"Daniel CAMBON (Daniel Cambon)","","CC_BY_4_0","","Daniel CAMBON (Daniel Cambon)",NA,NA,2023-06-07 21:51:12,"","CONTINENT_DERIVED_FROM_COORDINATES"
4046300810,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/149480573","Animalia","Chordata",NA,"Siluriformes","Ictaluridae","Ameiurus","Ameiurus melas",NA,"SPECIES","Ameiurus melas (Rafinesque, 1820)","Ameiurus melas","","IT","","Lazio","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",41.485661,12.619305,27785,NA,NA,NA,NA,NA,"2023-01-17T00:00:00",17,1,2023,2340977,2340977,"HUMAN_OBSERVATION","iNaturalist","Observations","149480573",NA,"davide bellucci","2023-02-23T15:23:22","CC_BY_NC_4_0","davide bellucci","davide bellucci",NA,NA,2023-06-21 11:11:34,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4039357879,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/149269907","Animalia","Chordata",NA,"Siluriformes","Ictaluridae","Ameiurus","Ameiurus melas",NA,"SPECIES","Ameiurus melas (Rafinesque, 1820)","Ameiurus melas","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.452492,9.176958,14,NA,NA,NA,NA,NA,"2022-09-04T10:45:00",4,9,2022,2340977,2340977,"HUMAN_OBSERVATION","iNaturalist","Observations","149269907",NA,"Kat Milligan","2023-02-20T22:11:04","CC_BY_NC_4_0","Kat Milligan","Kat Milligan",NA,NA,2023-06-21 11:23:46,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4038998203,"040c5662-da76-4782-a48e-cdea1892d14c","http://bins.boldsystems.org/index.php/Public_RecordView?processid=BCAFL605-20","Animalia","Chordata",NA,"Siluriformes","Ictaluridae","Ameiurus","",NA,"UNRANKED","BOLD:AAA7255","BOLD:AAA7255","","AT","Gleinstatten, Gleinstatten","Styria","PRESENT",NA,"b3bf3a83-1f68-4541-a03f-330d30d567f5",46.752,15.37,NA,NA,NA,NA,NA,NA,"2016-06-07T00:00:00",7,6,2016,10598005,NA,"MATERIAL_SAMPLE","","","NMW-98938",NA,"Wolfgang Gessl","","CC_BY_4_0","","Gessl, Wolfgang",NA,NA,2023-06-07 14:34:25,"","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
