"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
3520054752,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1157659461","Animalia","Chordata","Aves","Apodiformes","Apodidae","Apus","Apus apus","","SPECIES","Apus apus (Linnaeus, 1758)","Apus apus","","IT","Provaglio d'Iseo, Lombardia, IT (45,641, 10,03)","Lombardia","PRESENT",NA,"e2e717bf-551a-4917-bdc9-4fa0f342c530",45.64051,10.03033,NA,NA,NA,NA,NA,NA,"2021-05-16T00:00:00",16,5,2021,5228676,5228676,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1157659461","","","","CC_BY_4_0","","obsr1213855",NA,NA,"2023-06-07 15:13:52","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.03033 45.64051)"
3389770027,"6ac3f774-d9fb-4796-b3e9-92bf6c81c084","","Animalia","Chordata","Aves","Apodiformes","Apodidae","Apus","Apus apus","","SPECIES","Apus apus (Linnaeus, 1758)","Apus apus","","IT","Torbiere del Sebino","","PRESENT",NA,"bb646dff-a905-4403-a49b-6d378c2cf0d9",45.64393,10.02734,250,NA,NA,NA,NA,NA,"2019-05-25T00:00:00",25,5,2019,5228676,5228676,"HUMAN_OBSERVATION","naturgucker","naturgucker","-1536159556","","","","CC_BY_4_0","","-85323026",NA,NA,"2023-06-07 15:03:09","","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.02734 45.64393)"
3388933551,"6ac3f774-d9fb-4796-b3e9-92bf6c81c084","","Animalia","Chordata","Aves","Apodiformes","Apodidae","Apus","Apus apus","","SPECIES","Apus apus (Linnaeus, 1758)","Apus apus","","IT","Torbiere del Sebino","","PRESENT",NA,"bb646dff-a905-4403-a49b-6d378c2cf0d9",45.64393,10.02734,250,NA,NA,NA,NA,NA,"2019-05-26T00:00:00",26,5,2019,5228676,5228676,"HUMAN_OBSERVATION","naturgucker","naturgucker","547760937","","","","CC_BY_4_0","","-85323026",NA,NA,"2023-06-07 15:00:19","","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.02734 45.64393)"
2794633804,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS849529420","Animalia","Chordata","Aves","Apodiformes","Apodidae","Apus","Apus apus","","SPECIES","Apus apus (Linnaeus, 1758)","Apus apus","","IT","Torbiere del Sebino","Lombardia","PRESENT",NA,"e2e717bf-551a-4917-bdc9-4fa0f342c530",45.64633,10.02949,NA,NA,NA,NA,NA,NA,"2019-04-10T00:00:00",10,4,2019,5228676,5228676,"HUMAN_OBSERVATION","CLO","EBIRD","OBS849529420","","","","CC_BY_4_0","","obsr1243236",NA,NA,"2023-06-07 15:16:14","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.02949 45.64633)"
2760106195,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS784163001","Animalia","Chordata","Aves","Apodiformes","Apodidae","Apus","Apus apus","","SPECIES","Apus apus (Linnaeus, 1758)","Apus apus","","IT","Via per Rovato, Iseo, Lombardia, IT (45.653, 10.036)","Lombardia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",45.65344,10.03635,NA,NA,NA,NA,NA,NA,"2019-07-11T00:00:00",11,7,2019,5228676,5228676,"HUMAN_OBSERVATION","CLO","EBIRD","OBS784163001","","","","CC_BY_4_0","","obsr1346061",NA,NA,"2023-06-07 15:25:24","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.03635 45.65344)"
2735004975,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS757114214","Animalia","Chordata","Aves","Apodiformes","Apodidae","Apus","Apus apus","","SPECIES","Apus apus (Linnaeus, 1758)","Apus apus","","IT","Torbiere del Sebino","Lombardia","PRESENT",200,"e2e717bf-551a-4917-bdc9-4fa0f342c530",45.64633,10.02949,NA,NA,NA,NA,NA,NA,"2019-05-12T00:00:00",12,5,2019,5228676,5228676,"HUMAN_OBSERVATION","CLO","EBIRD","OBS757114214","","","","CC_BY_4_0","","obsr502843",NA,NA,"2023-06-07 15:27:25","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.02949 45.64633)"
2060185496,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS492843062","Animalia","Chordata","Aves","Apodiformes","Apodidae","Apus","Apus apus","","SPECIES","Apus apus (Linnaeus, 1758)","Apus apus","","IT","IT-Lombardy-Iseo-Riserva Naturale Torbiere del Sebino d' Iseo - 45.6540x10.0367","Lombardia","PRESENT",20,"e2e717bf-551a-4917-bdc9-4fa0f342c530",45.65402,10.03671,NA,NA,NA,NA,NA,NA,"2017-05-01T00:00:00",1,5,2017,5228676,5228676,"HUMAN_OBSERVATION","CLO","EBIRD","OBS492843062","","","","CC_BY_4_0","","obsr769715",NA,NA,"2023-06-07 15:20:31","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.03671 45.65402)"
2059797442,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS492333285","Animalia","Chordata","Aves","Apodiformes","Apodidae","Apus","Apus apus","","SPECIES","Apus apus (Linnaeus, 1758)","Apus apus","","IT","IT-Lombardy-Iseo-Riserva Naturale Torbiere del Sebino d' Iseo - 45.6516x10.0392","Lombardia","PRESENT",10,"e2e717bf-551a-4917-bdc9-4fa0f342c530",45.65159,10.03918,NA,NA,NA,NA,NA,NA,"2017-04-30T00:00:00",30,4,2017,5228676,5228676,"HUMAN_OBSERVATION","CLO","EBIRD","OBS492333285","","","","CC_BY_4_0","","obsr769715",NA,NA,"2023-06-07 15:21:36","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.03918 45.65159)"
1946188923,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/10656388","Animalia","Chordata","Aves","Apodiformes","Apodidae","Apus","Apus apus","","SPECIES","Apus apus (Linnaeus, 1758)","Apus apus","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.64621,10.03127,710,NA,NA,NA,NA,NA,"2018-04-06T08:26:00",6,4,2018,5228676,5228676,"HUMAN_OBSERVATION","iNaturalist","Observations","10656388","","Paolo","2018-04-06T13:55:47","CC_BY_4_0","Paolo","Paolo",NA,NA,"2023-06-14 09:41:05","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.03127 45.64621)"
1946188816,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/10553945","Animalia","Chordata","Aves","Apodiformes","Apodidae","Apus","Apus apus","","SPECIES","Apus apus (Linnaeus, 1758)","Apus apus","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.64594,10.02619,2308,NA,NA,NA,NA,NA,"2018-04-01T17:01:51",1,4,2018,5228676,5228676,"HUMAN_OBSERVATION","iNaturalist","Observations","10553945","","Paolo","2018-04-01T20:59:15","CC_BY_4_0","Paolo","Paolo",NA,NA,"2023-06-14 09:41:07","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.02619 45.64594)"
