"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
3694814291,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1332570510","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea cinerea","","SPECIES","Ardea cinerea Linnaeus, 1758","Ardea cinerea","","IT","Oasi dei Variconi","Campania","PRESENT",11,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02252,13.93077,NA,NA,NA,NA,NA,NA,"2014-09-23T00:00:00",23,9,2014,9797180,9797180,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1332570510","","","","CC_BY_4_0","","obsr917699",NA,NA,"2023-06-07 15:30:33","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93077 41.02252)"
3678392021,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1061485907","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea cinerea","","SPECIES","Ardea cinerea Linnaeus, 1758","Ardea cinerea","","IT","Oasi dei Variconi","Campania","PRESENT",9,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02252,13.93077,NA,NA,NA,NA,NA,NA,"2021-01-28T00:00:00",28,1,2021,9797180,9797180,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1061485907","","","","CC_BY_4_0","","obsr917699",NA,NA,"2023-06-07 15:29:20","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93077 41.02252)"
3669165850,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1303605522","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea cinerea","","SPECIES","Ardea cinerea Linnaeus, 1758","Ardea cinerea","","IT","Oasi dei Variconi","Campania","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02252,13.93077,NA,NA,NA,NA,NA,NA,"2021-12-22T00:00:00",22,12,2021,9797180,9797180,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1303605522","","","","CC_BY_4_0","","obsr917699",NA,NA,"2023-06-07 15:38:28","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93077 41.02252)"
3666214763,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1065680790","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea cinerea","","SPECIES","Ardea cinerea Linnaeus, 1758","Ardea cinerea","","IT","Variconi","Campania","PRESENT",9,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02203,13.93208,NA,NA,NA,NA,NA,NA,"2021-01-30T00:00:00",30,1,2021,9797180,9797180,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1065680790","","","","CC_BY_4_0","","obsr212715",NA,NA,"2023-06-07 15:15:01","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93208 41.02203)"
3662326874,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1304392455","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea cinerea","","SPECIES","Ardea cinerea Linnaeus, 1758","Ardea cinerea","","IT","Variconi","Campania","PRESENT",4,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02203,13.93208,NA,NA,NA,NA,NA,NA,"2021-12-24T00:00:00",24,12,2021,9797180,9797180,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1304392455","","","","CC_BY_4_0","","obsr212715",NA,NA,"2023-06-07 15:32:55","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93208 41.02203)"
3659025423,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1261260218","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea cinerea","","SPECIES","Ardea cinerea Linnaeus, 1758","Ardea cinerea","","IT","Oasi dei Variconi","Campania","PRESENT",5,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02252,13.93077,NA,NA,NA,NA,NA,NA,"2021-10-19T00:00:00",19,10,2021,9797180,9797180,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1261260218","","","","CC_BY_4_0","","obsr917699",NA,NA,"2023-06-07 15:29:58","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93077 41.02252)"
3657581924,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1225147611","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea cinerea","","SPECIES","Ardea cinerea Linnaeus, 1758","Ardea cinerea","","IT","Variconi","Campania","PRESENT",60,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02203,13.93208,NA,NA,NA,NA,NA,NA,"2021-08-24T00:00:00",24,8,2021,9797180,9797180,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1225147611","","","","CC_BY_4_0","","obsr212715",NA,NA,"2023-06-07 15:14:11","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93208 41.02203)"
3652982228,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1233523733","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea cinerea","","SPECIES","Ardea cinerea Linnaeus, 1758","Ardea cinerea","","IT","Variconi","Campania","PRESENT",12,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02203,13.93208,NA,NA,NA,NA,NA,NA,"2021-09-07T00:00:00",7,9,2021,9797180,9797180,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1233523733","","","","CC_BY_4_0","","obsr212715",NA,NA,"2023-06-07 15:15:06","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93208 41.02203)"
3642237206,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1225147532","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea cinerea","","SPECIES","Ardea cinerea Linnaeus, 1758","Ardea cinerea","","IT","Variconi","Campania","PRESENT",10,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02203,13.93208,NA,NA,NA,NA,NA,NA,"2021-08-18T00:00:00",18,8,2021,9797180,9797180,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1225147532","","","","CC_BY_4_0","","obsr212715",NA,NA,"2023-06-07 15:30:46","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93208 41.02203)"
3631959688,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1331917633","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea cinerea","","SPECIES","Ardea cinerea Linnaeus, 1758","Ardea cinerea","","IT","Oasi dei Variconi","Campania","PRESENT",5,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02252,13.93077,NA,NA,NA,NA,NA,NA,"2015-03-28T00:00:00",28,3,2015,9797180,9797180,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1331917633","","","","CC_BY_4_0","","obsr917699",NA,NA,"2023-06-07 15:18:54","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93077 41.02252)"
3609662819,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1117355451","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea cinerea","","SPECIES","Ardea cinerea Linnaeus, 1758","Ardea cinerea","","IT","Variconi","Campania","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02203,13.93208,NA,NA,NA,NA,NA,NA,"2021-04-09T00:00:00",9,4,2021,9797180,9797180,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1117355451","","","","CC_BY_4_0","","obsr212715",NA,NA,"2023-06-07 15:31:13","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93208 41.02203)"
3606830663,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1230801450","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea cinerea","","SPECIES","Ardea cinerea Linnaeus, 1758","Ardea cinerea","","IT","Variconi","Campania","PRESENT",20,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02203,13.93208,NA,NA,NA,NA,NA,NA,"2021-09-01T00:00:00",1,9,2021,9797180,9797180,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1230801450","","","","CC_BY_4_0","","obsr212715",NA,NA,"2023-06-07 15:15:40","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93208 41.02203)"
