"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
4091297929,"6ff8b3b0-ef0f-4f79-a310-5a5615c6aa0b","439a1a8e-d7b2-4f44-b6e5-d2101a06bcd2","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea cinerea","","SPECIES","Ardea cinerea Linnaeus, 1758","Ardea cinerea","","IT","Delta del Po--Oasi di Canneviè e Porticino","Emilia-Romagna","PRESENT",NA,"0c6d40e3-5d96-4a2d-9342-b02833aaa766",44.80837,12.24556,NA,NA,NA,NA,NA,NA,"2022-03-13T13:22:43.176",13,3,2022,9797180,9797180,"HUMAN_OBSERVATION","","","","","","","CC_BY_4_0","","59962364c1ac34b5f89286f71213ea37bd7dc2df04f7fca767a8916918093e6e",NA,NA,"2023-05-05 10:04:36","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.24556 44.80837)"
3947383111,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/138513939","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea cinerea","","SPECIES","Ardea cinerea Linnaeus, 1758","Ardea cinerea","","IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.80872,12.24722,662,NA,NA,NA,NA,NA,"2022-10-11T15:55:00",11,10,2022,9797180,9797180,"HUMAN_OBSERVATION","iNaturalist","Observations","138513939","","Enrico Cecconello","2022-10-12T16:03:52","CC_BY_NC_4_0","Enrico Cecconello","Enrico Cecconello",NA,NA,"2023-06-14 09:53:35","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.24722 44.80872)"
3947344141,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/138513923","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea cinerea","","SPECIES","Ardea cinerea Linnaeus, 1758","Ardea cinerea","","IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.80872,12.24722,662,NA,NA,NA,NA,NA,"2022-10-11T15:04:00",11,10,2022,9797180,9797180,"HUMAN_OBSERVATION","iNaturalist","Observations","138513923","","Enrico Cecconello","2022-10-12T16:03:47","CC_BY_NC_4_0","Enrico Cecconello","Enrico Cecconello",NA,NA,"2023-06-14 09:53:29","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.24722 44.80872)"
3576863152,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1224470187","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea cinerea","","SPECIES","Ardea cinerea Linnaeus, 1758","Ardea cinerea","","IT","Delta del Po--Oasi di Canneviè e Porticino","Emilia-Romagna","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.80657,12.25268,NA,NA,NA,NA,NA,NA,"2021-08-26T00:00:00",26,8,2021,9797180,9797180,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1224470187","","","","CC_BY_4_0","","obsr1001285",NA,NA,"2023-06-07 15:30:25","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.25268 44.80657)"
3547955737,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1224470209","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea cinerea","","SPECIES","Ardea cinerea Linnaeus, 1758","Ardea cinerea","","IT","Delta del Po--Oasi di Canneviè e Porticino","Emilia-Romagna","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.80657,12.25268,NA,NA,NA,NA,NA,NA,"2021-08-26T00:00:00",26,8,2021,9797180,9797180,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1224470209","","","","CC_BY_4_0","","obsr1073759",NA,NA,"2023-06-07 15:15:21","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.25268 44.80657)"
3399410104,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/99363251","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea cinerea","","SPECIES","Ardea cinerea Linnaeus, 1758","Ardea cinerea","","IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.80653,12.2487,26,NA,NA,NA,NA,NA,"2021-10-19T09:56:00",19,10,2021,9797180,9797180,"HUMAN_OBSERVATION","iNaturalist","Observations","99363251","","s_kai","2021-10-25T17:09:57","CC_BY_NC_4_0","s_kai","s_kai",NA,NA,"2023-06-14 09:49:54","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.2487 44.80653)"
3217555604,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS858759863","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea cinerea","","SPECIES","Ardea cinerea Linnaeus, 1758","Ardea cinerea","","IT","Foce Po di Volano-Torre di avvistamento","Emilia-Romagna","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.80851,12.26741,NA,NA,NA,NA,NA,NA,"2020-02-01T00:00:00",1,2,2020,9797180,9797180,"HUMAN_OBSERVATION","CLO","EBIRD","OBS858759863","","","","CC_BY_4_0","","obsr608674",NA,NA,"2023-06-07 15:27:23","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.26741 44.80851)"
3171358399,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS971183994","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea cinerea","","SPECIES","Ardea cinerea Linnaeus, 1758","Ardea cinerea","","IT","Codigoro, Emilia-Romagna, IT (44,807, 12,238)","Emilia-Romagna","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.80732,12.23771,NA,NA,NA,NA,NA,NA,"2020-08-23T00:00:00",23,8,2020,9797180,9797180,"HUMAN_OBSERVATION","CLO","EBIRD","OBS971183994","","","","CC_BY_4_0","","obsr1133074",NA,NA,"2023-06-07 15:25:05","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.23771 44.80732)"
2842388269,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/139328500","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea cinerea","","SPECIES","Ardea cinerea Linnaeus, 1758","Ardea cinerea","","IT","Italy - Codigoro (comuni)","","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",44.80783,12.23791,25,NA,NA,NA,NA,NA,"2017-05-31T00:00:00",31,5,2017,9797180,9797180,"HUMAN_OBSERVATION","","Observations","OBS.139328500","","","","CC_BY_NC_4_0","Stichting Observation International","User 68840",NA,NA,"2023-06-13 15:56:40","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (12.23791 44.80783)"
2836540325,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/145349506","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea cinerea","","SPECIES","Ardea cinerea Linnaeus, 1758","Ardea cinerea","","IT","Italy - Codigoro (comuni)","","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",44.80712,12.25308,25,NA,NA,NA,NA,NA,"2017-10-25T00:00:00",25,10,2017,9797180,9797180,"HUMAN_OBSERVATION","","Observations","OBS.145349506","","","","CC_BY_NC_4_0","Stichting Observation International","User 118456",NA,NA,"2023-06-13 15:56:45","","CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (12.25308 44.80712)"
