"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
4022016763,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/147182958","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea purpurea","","SPECIES","Ardea purpurea Linnaeus, 1766","Ardea purpurea",NA,"IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.80807,12.24171,15,NA,NA,NA,NA,NA,"2022-08-19T15:14:00",19,8,2022,2480934,2480934,"HUMAN_OBSERVATION","iNaturalist","Observations","147182958",NA,"gaetano_forti","2023-01-23T09:37:52","CC_BY_NC_4_0","gaetano_forti","gaetano_forti",NA,NA,"2023-06-14 10:12:21","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.24171 44.80807)"
3988464753,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/143364878","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea purpurea","","SPECIES","Ardea purpurea Linnaeus, 1766","Ardea purpurea",NA,"IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.80825,12.24366,15,NA,NA,NA,NA,NA,"2022-06-25T18:52:00",25,6,2022,2480934,2480934,"HUMAN_OBSERVATION","iNaturalist","Observations","143364878",NA,"gaetano_forti","2022-11-30T17:49:15","CC_BY_NC_4_0","gaetano_forti","gaetano_forti",NA,NA,"2023-06-14 09:53:31","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.24366 44.80825)"
3784994672,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/117498499","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea purpurea","","SPECIES","Ardea purpurea Linnaeus, 1766","Ardea purpurea",NA,"IT","","Veneto","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.80298,12.22344,27253,NA,NA,NA,NA,NA,"2022-05-17T14:51:00",17,5,2022,2480934,2480934,"HUMAN_OBSERVATION","iNaturalist","Observations","117498499",NA,"Enrico Cecconello","2022-05-17T20:31:00","CC_BY_NC_4_0","Enrico Cecconello","Enrico Cecconello",NA,NA,"2023-06-14 10:09:24","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.22344 44.80298)"
2801461684,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS889426216","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea purpurea","","SPECIES","Ardea purpurea Linnaeus, 1766","Ardea purpurea",NA,"IT","Delta del Po--Oasi di Canneviè e Porticino","Emilia-Romagna","PRESENT",5,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.80657,12.25268,NA,NA,NA,NA,NA,NA,"2016-06-11T00:00:00",11,6,2016,2480934,2480934,"HUMAN_OBSERVATION","CLO","EBIRD","OBS889426216",NA,"","","CC_BY_4_0","","obsr1419603",NA,NA,"2023-06-07 15:27:54","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.25268 44.80657)"
2780890756,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS889430675","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea purpurea","","SPECIES","Ardea purpurea Linnaeus, 1766","Ardea purpurea",NA,"IT","Lago delle Nazioni","Emilia-Romagna","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.7686,12.24063,NA,NA,NA,NA,NA,NA,"2016-06-11T00:00:00",11,6,2016,2480934,2480934,"HUMAN_OBSERVATION","CLO","EBIRD","OBS889430675",NA,"","","CC_BY_4_0","","obsr1419603",NA,NA,"2023-06-07 15:25:34","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.24063 44.7686)"
2741378458,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS744010841","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea purpurea","","SPECIES","Ardea purpurea Linnaeus, 1766","Ardea purpurea",NA,"IT","Delta del Po--Oasi di Canneviè e Porticino","Emilia-Romagna","PRESENT",NA,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.80657,12.25268,NA,NA,NA,NA,NA,NA,"2019-04-21T00:00:00",21,4,2019,2480934,2480934,"HUMAN_OBSERVATION","CLO","EBIRD","OBS744010841",NA,"","","CC_BY_4_0","","obsr610232",NA,NA,"2023-06-07 15:09:51","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.25268 44.80657)"
2691303850,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS794185507","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea purpurea","","SPECIES","Ardea purpurea Linnaeus, 1766","Ardea purpurea",NA,"IT","Parco Regionale Veneto del Delta del Po, Codigoro IT-Emilia–Romagna (44,8079,12,2370)","Emilia-Romagna","PRESENT",NA,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.80786,12.237,NA,NA,NA,NA,NA,NA,"2019-08-11T00:00:00",11,8,2019,2480934,2480934,"HUMAN_OBSERVATION","CLO","EBIRD","OBS794185507",NA,"","","CC_BY_4_0","","obsr1427841",NA,NA,"2023-06-07 15:09:42","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.237 44.80786)"
2178056019,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS635434538","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea purpurea","","SPECIES","Ardea purpurea Linnaeus, 1766","Ardea purpurea",NA,"IT","Foce Po di Volano-Torre di avvistamento","Emilia-Romagna","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.80851,12.26741,NA,NA,NA,NA,NA,NA,"2018-06-29T00:00:00",29,6,2018,2480934,2480934,"HUMAN_OBSERVATION","CLO","EBIRD","OBS635434538",NA,"","","CC_BY_4_0","","obsr169994",NA,NA,"2023-06-07 15:29:11","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.26741 44.80851)"
2178038085,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS635434554","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea purpurea","","SPECIES","Ardea purpurea Linnaeus, 1766","Ardea purpurea",NA,"IT","Foce Po di Volano-Torre di avvistamento","Emilia-Romagna","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.80851,12.26741,NA,NA,NA,NA,NA,NA,"2018-06-29T00:00:00",29,6,2018,2480934,2480934,"HUMAN_OBSERVATION","CLO","EBIRD","OBS635434554",NA,"","","CC_BY_4_0","","obsr5524",NA,NA,"2023-06-07 15:07:32","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.26741 44.80851)"
2062342872,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS487494481","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea purpurea","","SPECIES","Ardea purpurea Linnaeus, 1766","Ardea purpurea",NA,"IT","Foce Po di Volano-Torre di avvistamento","Emilia-Romagna","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.80851,12.26741,NA,NA,NA,NA,NA,NA,"2017-04-16T00:00:00",16,4,2017,2480934,2480934,"HUMAN_OBSERVATION","CLO","EBIRD","OBS487494481",NA,"","","CC_BY_4_0","","obsr497615",NA,NA,"2023-06-07 15:05:03","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.26741 44.80851)"
