"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
3647885887,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1252013032","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea purpurea","","SPECIES","Ardea purpurea Linnaeus, 1766","Ardea purpurea",NA,"IT","Valli di Comacchio--Saline","Emilia-Romagna","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.65703,12.20512,NA,NA,NA,NA,NA,NA,"2016-06-14T00:00:00",14,6,2016,2480934,2480934,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1252013032",NA,"","","CC_BY_4_0","","obsr960988",NA,NA,"2023-06-07 15:41:22","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.20512 44.65703)"
3625873534,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1138372675","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea purpurea","","SPECIES","Ardea purpurea Linnaeus, 1766","Ardea purpurea",NA,"IT","Big day area","Emilia-Romagna","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.622,12.18465,NA,NA,NA,NA,NA,NA,"2021-05-01T00:00:00",1,5,2021,2480934,2480934,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1138372675",NA,"","","CC_BY_4_0","","obsr608674",NA,NA,"2023-06-07 15:28:10","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.18465 44.622)"
3287643705,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS970486522","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea purpurea","","SPECIES","Ardea purpurea Linnaeus, 1766","Ardea purpurea",NA,"IT","SP72 Argine Agosta, Argenta, Emilia-Romagna, IT (44,653, 12,11)","Emilia-Romagna","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.65333,12.10985,NA,NA,NA,NA,NA,NA,"2020-08-21T00:00:00",21,8,2020,2480934,2480934,"HUMAN_OBSERVATION","CLO","EBIRD","OBS970486522",NA,"","","CC_BY_4_0","","obsr1133074",NA,NA,"2023-06-07 15:29:08","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.10985 44.65333)"
2841307946,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/158278632","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea purpurea","","SPECIES","Ardea purpurea Linnaeus, 1766","Ardea purpurea",NA,"IT","Italy - Argenta (comuni)","","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",44.55102,12.13788,25,NA,NA,NA,NA,NA,"2018-06-11T00:00:00",11,6,2018,2480934,2480934,"HUMAN_OBSERVATION","","Observations","OBS.158278632",NA,"","","CC_BY_NC_4_0","Stichting Observation International","User 42813",NA,NA,"2023-06-13 15:59:11","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (12.13788 44.55102)"
2754252188,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS776610392","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea purpurea","","SPECIES","Ardea purpurea Linnaeus, 1766","Ardea purpurea",NA,"IT","Po Delta","Emilia-Romagna","PRESENT",NA,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.65313,12.228,NA,NA,NA,NA,NA,NA,"2015-09-05T00:00:00",5,9,2015,2480934,2480934,"HUMAN_OBSERVATION","CLO","EBIRD","OBS776610392",NA,"","","CC_BY_4_0","","obsr852999",NA,NA,"2023-06-07 15:10:08","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.228 44.65313)"
2700267568,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS816465753","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea purpurea","","SPECIES","Ardea purpurea Linnaeus, 1766","Ardea purpurea",NA,"IT","Salina di Comacchio e Valle Capre--Torre di avvistamento","Emilia-Romagna","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.66889,12.21808,NA,NA,NA,NA,NA,NA,"2017-04-14T00:00:00",14,4,2017,2480934,2480934,"HUMAN_OBSERVATION","CLO","EBIRD","OBS816465753",NA,"","","CC_BY_4_0","","obsr1182107",NA,NA,"2023-06-07 15:20:40","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.21808 44.66889)"
2689678736,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS770372617","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea purpurea","","SPECIES","Ardea purpurea Linnaeus, 1766","Ardea purpurea",NA,"IT","Riserva Statale - Sacca di Bellocchio","Emilia-Romagna","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.61518,12.26516,NA,NA,NA,NA,NA,NA,"2019-06-03T00:00:00",3,6,2019,2480934,2480934,"HUMAN_OBSERVATION","CLO","EBIRD","OBS770372617",NA,"","","CC_BY_4_0","","obsr608674",NA,NA,"2023-06-07 15:29:06","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.26516 44.61518)"
2205777654,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS665874945","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea purpurea","","SPECIES","Ardea purpurea Linnaeus, 1766","Ardea purpurea",NA,"IT","Big day area","Emilia-Romagna","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.622,12.18465,NA,NA,NA,NA,NA,NA,"2018-05-05T00:00:00",5,5,2018,2480934,2480934,"HUMAN_OBSERVATION","CLO","EBIRD","OBS665874945",NA,"","","CC_BY_4_0","","obsr608674",NA,NA,"2023-06-07 15:25:00","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.18465 44.622)"
2172951985,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS629574088","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea purpurea","","SPECIES","Ardea purpurea Linnaeus, 1766","Ardea purpurea",NA,"IT","Valli di Comacchio--Boscoforte","Emilia-Romagna","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.55564,12.15384,NA,NA,NA,NA,NA,NA,"2018-06-10T00:00:00",10,6,2018,2480934,2480934,"HUMAN_OBSERVATION","CLO","EBIRD","OBS629574088",NA,"","","CC_BY_4_0","","obsr60228",NA,NA,"2023-06-07 15:22:35","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.15384 44.55564)"
1883792271,"6ac3f774-d9fb-4796-b3e9-92bf6c81c084","","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea purpurea","","SPECIES","Ardea purpurea Linnaeus, 1766","Ardea purpurea",NA,"IT","Südteil der Valli di Comacchio","","PRESENT",NA,"bb646dff-a905-4403-a49b-6d378c2cf0d9",44.55103,12.1477,250,NA,NA,NA,NA,NA,"2018-07-12T00:00:00",12,7,2018,2480934,2480934,"HUMAN_OBSERVATION","naturgucker","naturgucker","-679013669",NA,"","","CC_BY_4_0","","881932368",NA,NA,"2023-06-07 15:02:24","","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.1477 44.55103)"
