"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
920679864,"6ac3f774-d9fb-4796-b3e9-92bf6c81c084","","Animalia","Chordata","Aves","Strigiformes","Strigidae","Athene","Athene noctua","","SPECIES","Athene noctua (Scopoli, 1769)","Athene noctua","","IT","Ferretti","","PRESENT",NA,"bb646dff-a905-4403-a49b-6d378c2cf0d9",43.920403,8.056068,250,NA,NA,NA,NA,NA,"2014-01-09T00:00:00",9,1,2014,2497266,2497266,"HUMAN_OBSERVATION","naturgucker","naturgucker","150391852","","","","CC_BY_4_0","","304941",NA,NA,2023-06-07 15:00:04,"","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
920678334,"6ac3f774-d9fb-4796-b3e9-92bf6c81c084","","Animalia","Chordata","Aves","Strigiformes","Strigidae","Athene","Athene noctua","","SPECIES","Athene noctua (Scopoli, 1769)","Athene noctua","","IT","Ferretti","","PRESENT",NA,"bb646dff-a905-4403-a49b-6d378c2cf0d9",43.920403,8.056068,250,NA,NA,NA,NA,NA,"2014-01-08T00:00:00",8,1,2014,2497266,2497266,"HUMAN_OBSERVATION","naturgucker","naturgucker","604711395","","","","CC_BY_4_0","","304941",NA,NA,2023-06-07 15:01:55,"","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
920677836,"6ac3f774-d9fb-4796-b3e9-92bf6c81c084","","Animalia","Chordata","Aves","Strigiformes","Strigidae","Athene","Athene noctua","","SPECIES","Athene noctua (Scopoli, 1769)","Athene noctua","","IT","Ferretti","","PRESENT",NA,"bb646dff-a905-4403-a49b-6d378c2cf0d9",43.920403,8.056068,250,NA,NA,NA,NA,NA,"2014-01-06T00:00:00",6,1,2014,2497266,2497266,"HUMAN_OBSERVATION","naturgucker","naturgucker","-69621687","","","","CC_BY_4_0","","304941",NA,NA,2023-06-07 15:00:02,"","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
920677336,"6ac3f774-d9fb-4796-b3e9-92bf6c81c084","","Animalia","Chordata","Aves","Strigiformes","Strigidae","Athene","Athene noctua","","SPECIES","Athene noctua (Scopoli, 1769)","Athene noctua","","IT","Tolfa","","PRESENT",NA,"bb646dff-a905-4403-a49b-6d378c2cf0d9",42.159199,11.9212,250,NA,NA,NA,NA,NA,"2014-04-28T00:00:00",28,4,2014,2497266,2497266,"HUMAN_OBSERVATION","naturgucker","naturgucker","1711533610","","","","CC_BY_4_0","","-2011932084",NA,NA,2023-06-07 15:00:58,"","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
4134348015,"e3ce628e-9683-4af7-b7a9-47eef785d3bb","dc3590a3-4685-4cb1-9e8c-a347c77814d0","Animalia","Chordata","Aves","Strigiformes","Strigidae","Athene","Athene noctua","","SPECIES","Athene noctua (Scopoli, 1769)","Athene noctua","Scopoli","HR","","","PRESENT",NA,"17726825-3aa2-4fbc-b0e3-303d3fc5702f",43.9,15.8,NA,NA,NA,NA,NA,NA,"2023-04-27T20:27:00",27,4,2023,2497266,2497266,"HUMAN_OBSERVATION","","","","questagame-564704","<a href=https://bee.questagame.com/#/profile/43686?questagame_user_id=43686>palind (Low)</a>;<a href=https://bee.questagame.com/#/profile/12608?questagame_user_id=12608>Greg McCroary (High)</a>;<a href=https://bee.questagame.com/#/profile/46574?questagame_user_id=46574>nhr (Low)</a>;<a href=https://bee.questagame.com/#/profile/17881?questagame_user_id=17881>Setocoris (High)</a>;<a href=https://bee.questagame.com/#/profile/28054?questagame_user_id=28054>floozy (High)</a>","","CC_BY_NC_4_0","","<a href='https://bee.questagame.com/#/profile/34703?questagame_user_id=34703'> Popcorn;questagame.com</a>",NA,NA,2023-06-21 12:39:06,"StillImage","CONTINENT_DERIVED_FROM_COORDINATES"
4134159470,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/167193241","Animalia","Chordata","Aves","Strigiformes","Strigidae","Athene","Athene noctua","","SPECIES","Athene noctua (Scopoli, 1769)","Athene noctua","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.132214,10.365572,41,NA,NA,NA,NA,NA,"2023-06-12T21:05:00",12,6,2023,2497266,2497266,"HUMAN_OBSERVATION","iNaturalist","Observations","167193241","","vannab","2023-06-13T14:20:02","CC_BY_NC_4_0","vannab","vannab",NA,NA,2023-06-21 11:24:44,"Sound","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4134068024,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/167168040","Animalia","Chordata","Aves","Strigiformes","Strigidae","Athene","Athene noctua","","SPECIES","Athene noctua (Scopoli, 1769)","Athene noctua","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.483026,9.521157,4,NA,NA,NA,NA,NA,"2023-06-09T06:05:00",9,6,2023,2497266,2497266,"HUMAN_OBSERVATION","iNaturalist","Observations","167168040","","Stefano","2023-06-13T10:33:48","CC_BY_NC_4_0","Stefano","Stefano",NA,NA,2023-06-21 11:24:46,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4133976886,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/166569613","Animalia","Chordata","Aves","Strigiformes","Strigidae","Athene","Athene noctua","","SPECIES","Athene noctua (Scopoli, 1769)","Athene noctua","","IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.837146,10.123585,27253,NA,NA,NA,NA,NA,"2023-06-10T10:32:00",10,6,2023,2497266,2497266,"HUMAN_OBSERVATION","iNaturalist","Observations","166569613","","Paolo","2023-06-10T11:38:45","CC_BY_4_0","Paolo","Paolo",NA,NA,2023-06-21 11:12:24,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4133859200,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/166794528","Animalia","Chordata","Aves","Strigiformes","Strigidae","Athene","Athene noctua","","SPECIES","Athene noctua (Scopoli, 1769)","Athene noctua","","IT","","Veneto","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.97528,12.434878,61,NA,NA,NA,NA,NA,"2023-06-10T10:47:00",10,6,2023,2497266,2497266,"HUMAN_OBSERVATION","iNaturalist","Observations","166794528","","goblekitepe","2023-06-11T13:36:43","CC_BY_NC_4_0","goblekitepe","goblekitepe",NA,NA,2023-06-21 11:12:26,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4133737682,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/165790311","Animalia","Chordata","Aves","Strigiformes","Strigidae","Athene","Athene noctua","","SPECIES","Athene noctua (Scopoli, 1769)","Athene noctua","","IT","","Veneto","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.473075,11.371174,12,NA,NA,NA,NA,NA,"2023-06-05T23:12:27",5,6,2023,2497266,2497266,"HUMAN_OBSERVATION","iNaturalist","Observations","165790311","","gabriuz","2023-06-05T21:22:04","CC_BY_NC_4_0","gabriuz","gabriuz",NA,NA,2023-06-21 11:12:49,"Sound","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4133621189,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/166880439","Animalia","Chordata","Aves","Strigiformes","Strigidae","Athene","Athene noctua","","SPECIES","Athene noctua (Scopoli, 1769)","Athene noctua","","IT","","Veneto","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.263421,11.216642,27190,NA,NA,NA,NA,NA,"2023-06-08T16:43:22",8,6,2023,2497266,2497266,"HUMAN_OBSERVATION","iNaturalist","Observations","166880439","","Francesca Bo.","2023-06-11T20:18:45","CC_BY_NC_4_0","Francesca Bo.","Francesca Bo.",NA,NA,2023-06-21 11:12:21,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
