"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
4091921722,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/155502241","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Botaurus","Botaurus stellaris","","SPECIES","Botaurus stellaris (Linnaeus, 1758)","Botaurus stellaris",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.64506,10.02412,73,NA,NA,NA,NA,NA,"2022-12-30T11:41:55",30,12,2022,2480910,2480910,"HUMAN_OBSERVATION","iNaturalist","Observations","155502241",NA,"gianlucacic92","2023-04-18T18:15:57","CC_BY_NC_4_0","gianlucacic92","gianlucacic92",NA,NA,"2023-06-21 11:11:56","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.02412 45.64506)"
3504382820,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS936363392","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Botaurus","Botaurus stellaris","","SPECIES","Botaurus stellaris (Linnaeus, 1758)","Botaurus stellaris",NA,"IT","Torbiere del Sebino","Lombardia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",45.64633,10.02949,NA,NA,NA,NA,NA,NA,"2020-06-02T00:00:00",2,6,2020,2480910,2480910,"HUMAN_OBSERVATION","CLO","EBIRD","OBS936363392",NA,"","","CC_BY_4_0","","obsr846463",NA,NA,"2023-06-07 15:11:59","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.02949 45.64633)"
3455938668,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/104826903","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Botaurus","Botaurus stellaris","","SPECIES","Botaurus stellaris (Linnaeus, 1758)","Botaurus stellaris",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.64605,10.02926,1377,NA,NA,NA,NA,NA,"2022-01-10T15:30:00",10,1,2022,2480910,2480910,"HUMAN_OBSERVATION","iNaturalist","Observations","104826903",NA,"Gabriele La Grasta","2022-01-12T20:16:39","CC_BY_NC_4_0","Gabriele La Grasta","Gabriele La Grasta",NA,NA,"2023-06-21 11:20:45","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.02926 45.64605)"
3455808495,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/104522683","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Botaurus","Botaurus stellaris","","SPECIES","Botaurus stellaris (Linnaeus, 1758)","Botaurus stellaris",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.64651,10.02923,183,NA,NA,NA,NA,NA,"2022-01-07T16:48:00",7,1,2022,2480910,2480910,"HUMAN_OBSERVATION","iNaturalist","Observations","104522683",NA,"Paolo","2022-01-07T15:48:21","CC_BY_4_0","Paolo","Paolo",NA,NA,"2023-06-21 11:09:02","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.02923 45.64651)"
3159343893,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS942216496","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Botaurus","Botaurus stellaris","","SPECIES","Botaurus stellaris (Linnaeus, 1758)","Botaurus stellaris",NA,"IT","Torbiere del Sebino, Corte Franca IT-Lombardy 45.64259, 10.03509","Lombardia","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",45.64259,10.03509,NA,NA,NA,NA,NA,NA,"2020-06-13T00:00:00",13,6,2020,2480910,2480910,"HUMAN_OBSERVATION","CLO","EBIRD","OBS942216496",NA,"","","CC_BY_4_0","","obsr1492912",NA,NA,"2023-06-07 15:26:55","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.03509 45.64259)"
3039342100,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/68866969","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Botaurus","Botaurus stellaris","","SPECIES","Botaurus stellaris (Linnaeus, 1758)","Botaurus stellaris",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.6465,10.0293,646,NA,NA,NA,NA,NA,"2021-01-31T17:42:00",31,1,2021,2480910,2480910,"HUMAN_OBSERVATION","iNaturalist","Observations","68866969",NA,"Paolo","2021-01-31T16:52:31","CC_BY_4_0","Paolo","Paolo",NA,NA,"2023-06-21 11:06:38","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.0293 45.6465)"
1946369350,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/9878508","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Botaurus","Botaurus stellaris","","SPECIES","Botaurus stellaris (Linnaeus, 1758)","Botaurus stellaris",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.64621,10.03127,183,NA,NA,NA,NA,NA,"2018-02-16T11:06:00",16,2,2018,2480910,2480910,"HUMAN_OBSERVATION","iNaturalist","Observations","9878508",NA,"Paolo","2018-02-16T12:21:18","CC_BY_4_0","Paolo","Paolo",NA,NA,"2023-06-21 11:12:56","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.03127 45.64621)"
1946188123,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/10032721","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Botaurus","Botaurus stellaris","","SPECIES","Botaurus stellaris (Linnaeus, 1758)","Botaurus stellaris",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.64621,10.03127,183,NA,NA,NA,NA,NA,"2018-02-28T08:19:00",28,2,2018,2480910,2480910,"HUMAN_OBSERVATION","iNaturalist","Observations","10032721",NA,"Paolo","2018-02-28T16:41:20","CC_BY_4_0","Paolo","Paolo",NA,NA,"2023-06-21 11:13:19","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.03127 45.64621)"
1453333384,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/4902607","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Botaurus","Botaurus stellaris","","SPECIES","Botaurus stellaris (Linnaeus, 1758)","Botaurus stellaris",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.64357,10.03114,64,NA,NA,NA,NA,NA,"2017-01-05T10:23:00",5,1,2017,2480910,2480910,"HUMAN_OBSERVATION","iNaturalist","Observations","4902607",NA,"Alessandro Gaudenzi","2017-01-06T09:24:19","CC_BY_NC_4_0","Alessandro Gaudenzi","Alessandro Gaudenzi",NA,NA,"2023-06-21 11:02:56","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.03114 45.64357)"
1453218876,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","http://www.inaturalist.org/observations/4576376","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Botaurus","Botaurus stellaris","","SPECIES","Botaurus stellaris (Linnaeus, 1758)","Botaurus stellaris",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.64453,10.02745,104,NA,NA,NA,NA,NA,"2016-11-13T12:58:00",13,11,2016,2480910,2480910,"HUMAN_OBSERVATION","iNaturalist","Observations","4576376",NA,"Alessandro Gaudenzi","2016-11-15T17:24:51","CC_BY_NC_4_0","Alessandro Gaudenzi","Alessandro Gaudenzi",NA,NA,"2023-06-21 11:02:55","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.02745 45.64453)"
