"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
4029319506,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/148205335","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Bubulcus","Bubulcus ibis","","SPECIES","Bubulcus ibis (Linnaeus, 1758)","Bubulcus ibis","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.64308,10.03201,121,NA,NA,NA,NA,NA,"2023-02-03T10:25:00",3,2,2023,2480830,2480830,"HUMAN_OBSERVATION","iNaturalist","Observations","148205335","","Gabriele La Grasta","2023-02-06T21:24:14","CC_BY_NC_4_0","Gabriele La Grasta","Gabriele La Grasta",NA,NA,"2023-06-14 10:12:25","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.03201 45.64308)"
4011686818,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/145357044","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Bubulcus","Bubulcus ibis","","SPECIES","Bubulcus ibis (Linnaeus, 1758)","Bubulcus ibis","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.64227,10.03265,321,NA,NA,NA,NA,NA,"2022-12-29T09:09:00",29,12,2022,2480830,2480830,"HUMAN_OBSERVATION","iNaturalist","Observations","145357044","","Gabriele La Grasta","2022-12-29T16:14:09","CC_BY_NC_4_0","Gabriele La Grasta","Gabriele La Grasta",NA,NA,"2023-06-14 10:12:20","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.03265 45.64227)"
3995196556,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/250479584","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Bubulcus","Bubulcus ibis","","SPECIES","Bubulcus ibis (Linnaeus, 1758)","Bubulcus ibis","","IT","Italy - Provaglio d'Iseo (comuni)","","PRESENT",25,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",45.64372,10.03286,4,NA,NA,NA,NA,NA,"2022-07-27T00:00:00",27,7,2022,2480830,2480830,"HUMAN_OBSERVATION","","Observations","OBS.250479584","","","","CC_BY_NC_4_0","Stichting Observation International","User 727252",NA,NA,"2023-06-13 16:00:16","StillImage","CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (10.03286 45.64372)"
3961485368,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/140577390","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Bubulcus","Bubulcus ibis","","SPECIES","Bubulcus ibis (Linnaeus, 1758)","Bubulcus ibis","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.64306,10.03181,136,NA,NA,NA,NA,NA,"2022-10-28T15:13:00",28,10,2022,2480830,2480830,"HUMAN_OBSERVATION","iNaturalist","Observations","140577390","","Gabriele La Grasta","2022-10-30T21:52:54","CC_BY_NC_4_0","Gabriele La Grasta","Gabriele La Grasta",NA,NA,"2023-06-14 10:12:14","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.03181 45.64306)"
3947837627,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/139851273","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Bubulcus","Bubulcus ibis","","SPECIES","Bubulcus ibis (Linnaeus, 1758)","Bubulcus ibis","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.65605,10.02944,234,NA,NA,NA,NA,NA,"2022-10-21T14:31:00",21,10,2022,2480830,2480830,"HUMAN_OBSERVATION","iNaturalist","Observations","139851273","","Gabriele La Grasta","2022-10-24T09:10:53","CC_BY_NC_4_0","Gabriele La Grasta","Gabriele La Grasta",NA,NA,"2023-06-14 09:53:48","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.02944 45.65605)"
3947830060,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/139334711","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Bubulcus","Bubulcus ibis","","SPECIES","Bubulcus ibis (Linnaeus, 1758)","Bubulcus ibis","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.64061,10.03282,208,NA,NA,NA,NA,NA,"2022-10-11T11:27:00",11,10,2022,2480830,2480830,"HUMAN_OBSERVATION","iNaturalist","Observations","139334711","","Gabriele La Grasta","2022-10-19T15:07:27","CC_BY_NC_4_0","Gabriele La Grasta","Gabriele La Grasta",NA,NA,"2023-06-14 10:11:30","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.03282 45.64061)"
3947312741,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/139895153","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Bubulcus","Bubulcus ibis","","SPECIES","Bubulcus ibis (Linnaeus, 1758)","Bubulcus ibis","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.64947,10.03346,839,NA,NA,NA,NA,NA,"2022-10-21T15:19:00",21,10,2022,2480830,2480830,"HUMAN_OBSERVATION","iNaturalist","Observations","139895153","","Gabriele La Grasta","2022-10-24T19:21:26","CC_BY_NC_4_0","Gabriele La Grasta","Gabriele La Grasta",NA,NA,"2023-06-14 09:53:38","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.03346 45.64947)"
3902920257,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/133181571","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Bubulcus","Bubulcus ibis","","SPECIES","Bubulcus ibis (Linnaeus, 1758)","Bubulcus ibis","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.64404,10.0288,NA,NA,NA,NA,NA,NA,"2022-08-06T00:00:00",6,8,2022,2480830,2480830,"HUMAN_OBSERVATION","iNaturalist","Observations","133181571","","Emilie G.","2022-09-01T08:07:23","CC_BY_NC_4_0","Emilie G.","Emilie G.",NA,NA,"2023-06-14 10:10:50","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.0288 45.64404)"
3881740096,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/128975465","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Bubulcus","Bubulcus ibis","","SPECIES","Bubulcus ibis (Linnaeus, 1758)","Bubulcus ibis","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.63669,10.03211,124,NA,NA,NA,NA,NA,"2022-08-01T03:06:00",1,8,2022,2480830,2480830,"HUMAN_OBSERVATION","iNaturalist","Observations","128975465","","Dario Taraborelli","2022-08-01T14:01:34","CC0_1_0","Dario Taraborelli","Dario Taraborelli",NA,NA,"2023-06-14 10:09:59","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.03211 45.63669)"
3873983471,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/126082313","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Bubulcus","Bubulcus ibis","","SPECIES","Bubulcus ibis (Linnaeus, 1758)","Bubulcus ibis","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.63826,10.03383,217,NA,NA,NA,NA,NA,"2022-07-08T13:35:00",8,7,2022,2480830,2480830,"HUMAN_OBSERVATION","iNaturalist","Observations","126082313","","Gabriele La Grasta","2022-07-13T16:25:10","CC_BY_NC_4_0","Gabriele La Grasta","Gabriele La Grasta",NA,NA,"2023-06-14 09:52:12","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.03383 45.63826)"
