"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
3961429300,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/140519396","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris alpina","","SPECIES","Calidris alpina (Linnaeus, 1758)","Calidris alpina",NA,"IT","","Lazio","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",41.33472,12.98636,4,NA,NA,NA,NA,NA,"2022-10-29T15:35:00",29,10,2022,2481759,2481759,"HUMAN_OBSERVATION","iNaturalist","Observations","140519396",NA,"Samuel de la Calle San José","2022-10-30T14:47:52","CC_BY_NC_4_0","Michele Chiacchio","Michele Chiacchio",NA,NA,"2023-06-21 11:11:35","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.98636 41.33472)"
3961387247,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/140519397","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris alpina","","SPECIES","Calidris alpina (Linnaeus, 1758)","Calidris alpina",NA,"IT","","Lazio","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",41.33481,12.98663,4,NA,NA,NA,NA,NA,"2022-10-29T12:28:00",29,10,2022,2481759,2481759,"HUMAN_OBSERVATION","iNaturalist","Observations","140519397",NA,"Samuel de la Calle San José","2022-10-30T14:48:10","CC_BY_NC_4_0","Michele Chiacchio","Michele Chiacchio",NA,NA,"2023-06-21 11:10:55","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.98663 41.33481)"
3961318308,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/140519387","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris alpina","","SPECIES","Calidris alpina (Linnaeus, 1758)","Calidris alpina",NA,"IT","","Lazio","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",41.33509,12.98736,4,NA,NA,NA,NA,NA,"2022-10-29T15:35:00",29,10,2022,2481759,2481759,"HUMAN_OBSERVATION","iNaturalist","Observations","140519387",NA,"Samuel de la Calle San José","2022-10-30T14:50:28","CC_BY_NC_4_0","Michele Chiacchio","Michele Chiacchio",NA,NA,"2023-06-21 11:10:47","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.98736 41.33509)"
3961259274,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/140519394","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris alpina","","SPECIES","Calidris alpina (Linnaeus, 1758)","Calidris alpina",NA,"IT","","Lazio","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",41.33521,12.98765,8,NA,NA,NA,NA,NA,"2022-10-29T12:26:00",29,10,2022,2481759,2481759,"HUMAN_OBSERVATION","iNaturalist","Observations","140519394",NA,"Samuel de la Calle San José","2022-10-30T14:49:26","CC_BY_NC_4_0","Michele Chiacchio","Michele Chiacchio",NA,NA,"2023-06-21 11:10:58","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.98765 41.33521)"
3672656301,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1248641527","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris alpina","","SPECIES","Calidris alpina (Linnaeus, 1758)","Calidris alpina",NA,"IT","Caprolace--Pantani dell'Inferno","Lazio","PRESENT",10,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.335,12.9878,NA,NA,NA,NA,NA,NA,"2021-10-02T00:00:00",2,10,2021,2481759,2481759,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1248641527",NA,"","","CC_BY_4_0","","obsr668799",NA,NA,"2023-06-07 15:14:55","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.9878 41.335)"
3661940921,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1304321966","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris alpina","","SPECIES","Calidris alpina (Linnaeus, 1758)","Calidris alpina",NA,"IT","Caprolace--Pantani dell'Inferno","Lazio","PRESENT",10,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.335,12.9878,NA,NA,NA,NA,NA,NA,"2021-12-28T00:00:00",28,12,2021,2481759,2481759,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1304321966",NA,"","","CC_BY_4_0","","obsr543051",NA,NA,"2023-06-07 15:18:37","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.9878 41.335)"
3645564877,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1254905849","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris alpina","","SPECIES","Calidris alpina (Linnaeus, 1758)","Calidris alpina",NA,"IT","Caprolace--Pantani dell'Inferno","Lazio","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.335,12.9878,NA,NA,NA,NA,NA,NA,"2021-10-10T00:00:00",10,10,2021,2481759,2481759,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1254905849",NA,"","","CC_BY_4_0","","obsr2783104",NA,NA,"2023-06-07 15:30:10","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.9878 41.335)"
3639063397,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1303818435","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris alpina","","SPECIES","Calidris alpina (Linnaeus, 1758)","Calidris alpina",NA,"IT","Parco Nazionale del Circeo, Sabaudia IT-Lazio 41.33519, 12.98792","Lazio","PRESENT",10,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.33519,12.98792,NA,NA,NA,NA,NA,NA,"2021-12-27T00:00:00",27,12,2021,2481759,2481759,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1303818435",NA,"","","CC_BY_4_0","","obsr2783104",NA,NA,"2023-06-07 15:32:40","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.98792 41.33519)"
3596837055,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1074627518","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris alpina","","SPECIES","Calidris alpina (Linnaeus, 1758)","Calidris alpina",NA,"IT","Caprolace--Pantani dell'Inferno","Lazio","PRESENT",35,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.335,12.9878,NA,NA,NA,NA,NA,NA,"2021-02-15T00:00:00",15,2,2021,2481759,2481759,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1074627518",NA,"","","CC_BY_4_0","","obsr1321064",NA,NA,"2023-06-07 15:32:01","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.9878 41.335)"
3578518800,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1291475889","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris alpina","","SPECIES","Calidris alpina (Linnaeus, 1758)","Calidris alpina",NA,"IT","Parco Nazionale del Circeo, Sabaudia IT-Lazio 41.33516, 12.98778","Lazio","PRESENT",10,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.33516,12.98778,NA,NA,NA,NA,NA,NA,"2021-12-08T00:00:00",8,12,2021,2481759,2481759,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1291475889",NA,"","","CC_BY_4_0","","obsr2783104",NA,NA,"2023-06-07 15:15:28","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.98778 41.33516)"
