"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
3220182059,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS847094063","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris minuta",NA,"SPECIES","Calidris minuta (Leisler, 1812)","Calidris minuta",NA,"IT","Laguna di Orbetello, Oasi WWF (9:30-13:30, wkends only, 1 Sept.-1 May)","Toscana","PRESENT",4,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.48605,11.20517,NA,NA,NA,NA,NA,NA,"2020-01-05T00:00:00",5,1,2020,2481749,2481749,"HUMAN_OBSERVATION","CLO","EBIRD","OBS847094063",NA,"","","CC_BY_4_0","","obsr608674",NA,NA,"2023-06-07 15:40:24","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.20517 42.48605)"
2718559779,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS825819886","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris minuta",NA,"SPECIES","Calidris minuta (Leisler, 1812)","Calidris minuta",NA,"IT","Laguna di Orbetello, Oasi WWF (9:30-13:30, wkends only, 1 Sept.-1 May)","Toscana","PRESENT",4,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.48605,11.20517,NA,NA,NA,NA,NA,NA,"2019-11-09T00:00:00",9,11,2019,2481749,2481749,"HUMAN_OBSERVATION","CLO","EBIRD","OBS825819886",NA,"","","CC_BY_4_0","","obsr304633",NA,NA,"2023-06-07 15:11:26","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.20517 42.48605)"
2228830486,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS705063199","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris minuta",NA,"SPECIES","Calidris minuta (Leisler, 1812)","Calidris minuta",NA,"IT","Laguna di Orbetello, Oasi WWF (9:30-13:30, wkends only, 1 Sept.-1 May)","Toscana","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.48605,11.20517,NA,NA,NA,NA,NA,NA,"2017-04-07T00:00:00",7,4,2017,2481749,2481749,"HUMAN_OBSERVATION","CLO","EBIRD","OBS705063199",NA,"","","CC_BY_4_0","","obsr1222604",NA,NA,"2023-06-07 15:24:53","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.20517 42.48605)"
2217235584,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS692296359","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris minuta",NA,"SPECIES","Calidris minuta (Leisler, 1812)","Calidris minuta",NA,"IT","Laguna di Orbetello, Oasi WWF (9:30-13:30, wkends only, 1 Sept.-1 May)","Toscana","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.48605,11.20517,NA,NA,NA,NA,NA,NA,"2017-04-07T00:00:00",7,4,2017,2481749,2481749,"HUMAN_OBSERVATION","CLO","EBIRD","OBS692296359",NA,"","","CC_BY_4_0","","obsr798370",NA,NA,"2023-06-07 15:25:19","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.20517 42.48605)"
2162241487,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS604814166","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris minuta",NA,"SPECIES","Calidris minuta (Leisler, 1812)","Calidris minuta",NA,"IT","Laguna di Orbetello, Oasi WWF (9:30-13:30, wkends only, 1 Sept.-1 May)","Toscana","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.48605,11.20517,NA,NA,NA,NA,NA,NA,"2018-04-24T00:00:00",24,4,2018,2481749,2481749,"HUMAN_OBSERVATION","CLO","EBIRD","OBS604814166",NA,"","","CC_BY_4_0","","obsr801936",NA,NA,"2023-06-07 15:07:05","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.20517 42.48605)"
2128656666,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS579411386","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris minuta",NA,"SPECIES","Calidris minuta (Leisler, 1812)","Calidris minuta",NA,"IT","Laguna di Orbetello, Oasi WWF (9:30-13:30, wkends only, 1 Sept.-1 May)","Toscana","PRESENT",4,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.48605,11.20517,NA,NA,NA,NA,NA,NA,"2018-02-09T00:00:00",9,2,2018,2481749,2481749,"HUMAN_OBSERVATION","CLO","EBIRD","OBS579411386",NA,"","","CC_BY_4_0","","obsr428548",NA,NA,"2023-06-07 15:06:04","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.20517 42.48605)"
2112025002,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS575753958","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris minuta",NA,"SPECIES","Calidris minuta (Leisler, 1812)","Calidris minuta",NA,"IT","Laguna di Orbetello, Oasi WWF (9:30-13:30, wkends only, 1 Sept.-1 May)","Toscana","PRESENT",4,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.48605,11.20517,NA,NA,NA,NA,NA,NA,"2018-02-09T00:00:00",9,2,2018,2481749,2481749,"HUMAN_OBSERVATION","CLO","EBIRD","OBS575753958",NA,"","","CC_BY_4_0","","obsr419069",NA,NA,"2023-06-07 15:22:44","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.20517 42.48605)"
2111058144,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS574513590","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris minuta",NA,"SPECIES","Calidris minuta (Leisler, 1812)","Calidris minuta",NA,"IT","Laguna di Orbetello, Oasi WWF (9:30-13:30, wkends only, 1 Sept.-1 May)","Toscana","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.48605,11.20517,NA,NA,NA,NA,NA,NA,"2018-01-18T00:00:00",18,1,2018,2481749,2481749,"HUMAN_OBSERVATION","CLO","EBIRD","OBS574513590",NA,"","","CC_BY_4_0","","obsr230728",NA,NA,"2023-06-07 15:07:03","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.20517 42.48605)"
2106248234,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS568853458","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris minuta",NA,"SPECIES","Calidris minuta (Leisler, 1812)","Calidris minuta",NA,"IT","Laguna di Orbetello, Oasi WWF (9:30-13:30, wkends only, 1 Sept.-1 May)","Toscana","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.48605,11.20517,NA,NA,NA,NA,NA,NA,"2018-01-18T00:00:00",18,1,2018,2481749,2481749,"HUMAN_OBSERVATION","CLO","EBIRD","OBS568853458",NA,"","","CC_BY_4_0","","obsr98563",NA,NA,"2023-06-07 15:06:54","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.20517 42.48605)"
2052907362,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS482933728","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris minuta",NA,"SPECIES","Calidris minuta (Leisler, 1812)","Calidris minuta",NA,"IT","Laguna di Orbetello, Oasi WWF (9:30-13:30, wkends only, 1 Sept.-1 May)","Toscana","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.48605,11.20517,NA,NA,NA,NA,NA,NA,"2017-04-07T00:00:00",7,4,2017,2481749,2481749,"HUMAN_OBSERVATION","CLO","EBIRD","OBS482933728",NA,"","","CC_BY_4_0","","obsr629358",NA,NA,"2023-06-07 15:05:16","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.20517 42.48605)"
