"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
3355743538,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/93271312","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris minuta",NA,"SPECIES","Calidris minuta (Leisler, 1812)","Calidris minuta",NA,"IT","","Sicily","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",36.7956,15.09365,NA,NA,NA,NA,NA,NA,"2021-08-27T17:23:00",27,8,2021,2481749,2481749,"HUMAN_OBSERVATION","iNaturalist","Observations","93271312",NA,"Octávio Mateus","2021-09-01T16:56:11","CC_BY_NC_4_0","Octávio Mateus","Octávio Mateus",NA,NA,"2023-06-21 11:07:50","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09365 36.7956)"
3273228149,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1048570779","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris minuta",NA,"SPECIES","Calidris minuta (Leisler, 1812)","Calidris minuta",NA,"IT","36.7982741679142,15.0955924645894","Sicilia","PRESENT",10,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.79827,15.09559,NA,NA,NA,NA,NA,NA,"2020-11-07T00:00:00",7,11,2020,2481749,2481749,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1048570779",NA,"","","CC_BY_4_0","","obsr1198275",NA,NA,"2023-06-07 15:30:07","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09559 36.79827)"
3207794030,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS988990142","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris minuta",NA,"SPECIES","Calidris minuta (Leisler, 1812)","Calidris minuta",NA,"IT","Oasi di Vendicari, Riserva Naturale","Sicilia","PRESENT",20,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.80421,15.09333,NA,NA,NA,NA,NA,NA,"2020-09-30T00:00:00",30,9,2020,2481749,2481749,"HUMAN_OBSERVATION","CLO","EBIRD","OBS988990142",NA,"","","CC_BY_4_0","","obsr834385",NA,NA,"2023-06-07 15:28:49","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09333 36.80421)"
2843678953,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/163058530","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris minuta",NA,"SPECIES","Calidris minuta (Leisler, 1812)","Calidris minuta",NA,"IT","Italy - Noto (comuni)","","PRESENT",80,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",36.79854,15.09306,25,NA,NA,NA,NA,NA,"2018-09-26T00:00:00",26,9,2018,2481749,2481749,"HUMAN_OBSERVATION","","Observations","OBS.163058530",NA,"","","CC_BY_NC_4_0","Stichting Observation International","User 87908",NA,NA,"2023-06-13 15:56:59","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (15.09306 36.79854)"
2841761169,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/176199232","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris minuta",NA,"SPECIES","Calidris minuta (Leisler, 1812)","Calidris minuta",NA,"IT","Italy - Noto (comuni)","","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",36.80436,15.09327,5,NA,NA,NA,NA,NA,"2019-07-11T00:00:00",11,7,2019,2481749,2481749,"HUMAN_OBSERVATION","","Observations","OBS.176199232",NA,"","","CC_BY_NC_4_0","Stichting Observation International","User 57388",NA,NA,"2023-06-13 15:59:18","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (15.09327 36.80436)"
2840484806,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/100734828","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris minuta",NA,"SPECIES","Calidris minuta (Leisler, 1812)","Calidris minuta",NA,"IT","Italy - Noto (comuni)","","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",36.80423,15.09707,10,NA,NA,NA,NA,NA,"2015-04-08T00:00:00",8,4,2015,2481749,2481749,"HUMAN_OBSERVATION","","Observations","OBS.100734828",NA,"","","CC_BY_NC_4_0","Stichting Observation International","User 45872",NA,NA,"2023-06-13 15:58:33","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (15.09707 36.80423)"
2838418590,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/123872671","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris minuta",NA,"SPECIES","Calidris minuta (Leisler, 1812)","Calidris minuta",NA,"IT","Italy - Noto (comuni)","","PRESENT",45,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",36.80432,15.09322,25,NA,NA,NA,NA,NA,"2016-09-20T00:00:00",20,9,2016,2481749,2481749,"HUMAN_OBSERVATION","","Observations","OBS.123872671",NA,"","","CC_BY_NC_4_0","Stichting Observation International","User 1650",NA,NA,"2023-06-13 15:56:32","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (15.09322 36.80432)"
2836735618,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/142172222","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris minuta",NA,"SPECIES","Calidris minuta (Leisler, 1812)","Calidris minuta",NA,"IT","Italy - Sicilia","","PRESENT",19,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",36.8038,15.09774,25,NA,NA,NA,NA,NA,"2017-07-29T00:00:00",29,7,2017,2481749,2481749,"HUMAN_OBSERVATION","","Observations","OBS.142172222",NA,"","","CC_BY_NC_4_0","Stichting Observation International","User 14399",NA,NA,"2023-06-13 15:58:58","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (15.09774 36.8038)"
2833912980,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/176129524","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris minuta",NA,"SPECIES","Calidris minuta (Leisler, 1812)","Calidris minuta",NA,"IT","Italy - Noto (comuni)","","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",36.80436,15.09332,25,NA,NA,NA,NA,NA,"2019-07-11T00:00:00",11,7,2019,2481749,2481749,"HUMAN_OBSERVATION","","Observations","OBS.176129524",NA,"","","CC_BY_NC_4_0","Stichting Observation International","User 132747",NA,NA,"2023-06-13 15:57:08","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (15.09332 36.80436)"
2833374166,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/162788263","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris minuta",NA,"SPECIES","Calidris minuta (Leisler, 1812)","Calidris minuta",NA,"IT","Italy - Noto (comuni)","","PRESENT",10,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",36.7985,15.09306,25,NA,NA,NA,NA,NA,"2018-09-21T00:00:00",21,9,2018,2481749,2481749,"HUMAN_OBSERVATION","","Observations","OBS.162788263",NA,"","","CC_BY_NC_4_0","Stichting Observation International","User 44955",NA,NA,"2023-06-13 16:00:37","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (15.09306 36.7985)"
