"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
4127338016,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/164588761","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Carduelis","Carduelis carduelis","","SPECIES","Carduelis carduelis (Linnaeus, 1758)","Carduelis carduelis","","IT","","Sicily","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",36.79403,15.09594,122,NA,NA,NA,NA,NA,"2023-05-23T12:01:00",23,5,2023,2494686,2494686,"HUMAN_OBSERVATION","iNaturalist","Observations","164588761","","Ricardo Rodero Henández","2023-05-30T06:46:57","CC_BY_NC_4_0","Ricardo Rodero Henández","Ricardo Rodero Henández",NA,"","2023-06-14 09:55:34","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09594 36.79403)"
4127292631,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/164588697","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Carduelis","Carduelis carduelis","","SPECIES","Carduelis carduelis (Linnaeus, 1758)","Carduelis carduelis","","IT","","Sicily","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",36.80248,15.09277,122,NA,NA,NA,NA,NA,"2023-05-23T09:24:00",23,5,2023,2494686,2494686,"HUMAN_OBSERVATION","iNaturalist","Observations","164588697","","Ricardo Rodero Henández","2023-05-30T06:46:44","CC_BY_NC_4_0","Ricardo Rodero Henández","Ricardo Rodero Henández",NA,"","2023-06-14 10:14:55","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09277 36.80248)"
4126999586,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/164588737","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Carduelis","Carduelis carduelis","","SPECIES","Carduelis carduelis (Linnaeus, 1758)","Carduelis carduelis","","IT","","Sicily","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",36.78733,15.094,NA,NA,NA,NA,NA,NA,"2023-05-23T11:01:00",23,5,2023,2494686,2494686,"HUMAN_OBSERVATION","iNaturalist","Observations","164588737","","Ricardo Rodero Henández","2023-05-30T06:46:52","CC_BY_NC_4_0","Ricardo Rodero Henández","Ricardo Rodero Henández",NA,"","2023-06-14 09:55:36","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.094 36.78733)"
3923257057,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/137031400","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Carduelis","Carduelis carduelis","","SPECIES","Carduelis carduelis (Linnaeus, 1758)","Carduelis carduelis","","IT","","Sicily","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",36.81814,15.09821,2,NA,NA,NA,NA,NA,"2021-07-06T19:12:00",6,7,2021,2494686,2494686,"HUMAN_OBSERVATION","iNaturalist","Observations","137031400","","Alessandro Mazzoleni","2022-09-30T15:12:38","CC_BY_NC_4_0","Alessandro Mazzoleni","Alessandro Mazzoleni",NA,"","2023-06-14 09:53:22","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09821 36.81814)"
3760297909,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/111395584","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Carduelis","Carduelis carduelis","","SPECIES","Carduelis carduelis (Linnaeus, 1758)","Carduelis carduelis","","IT","","Sicily","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",36.80381,15.10231,NA,NA,NA,NA,NA,NA,"2019-04-30T12:18:00",30,4,2019,2494686,2494686,"HUMAN_OBSERVATION","iNaturalist","Observations","111395584","","Luca Boscain","2022-04-14T09:39:01","CC_BY_NC_4_0","Luca Boscain","Luca Boscain",NA,"","2023-06-14 09:51:01","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.10231 36.80381)"
3632145646,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1204041551","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Carduelis","Carduelis carduelis","","SPECIES","Carduelis carduelis (Linnaeus, 1758)","Carduelis carduelis","","IT","Oasi di Vendicari, Riserva Naturale","Sicilia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.80421,15.09333,NA,NA,NA,NA,NA,NA,"2021-07-20T00:00:00",20,7,2021,2494686,2494686,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1204041551","","","","CC_BY_4_0","","obsr1218083",NA,"","2023-06-07 15:14:37","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09333 36.80421)"
3281713778,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1006054103","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Carduelis","Carduelis carduelis","","SPECIES","Carduelis carduelis (Linnaeus, 1758)","Carduelis carduelis","","IT","Oasi di Vendicari","Sicilia","PRESENT",NA,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.80794,15.105,NA,NA,NA,NA,NA,NA,"2020-11-01T00:00:00",1,11,2020,2494686,2494686,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1006054103","","","","CC_BY_4_0","","obsr1090608",NA,"","2023-06-07 15:15:05","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.105 36.80794)"
3280341125,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1048570767","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Carduelis","Carduelis carduelis","","SPECIES","Carduelis carduelis (Linnaeus, 1758)","Carduelis carduelis","","IT","36.7982741679142,15.0955924645894","Sicilia","PRESENT",15,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.79827,15.09559,NA,NA,NA,NA,NA,NA,"2020-11-07T00:00:00",7,11,2020,2494686,2494686,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1048570767","","","","CC_BY_4_0","","obsr1198275",NA,"","2023-06-07 15:15:45","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09559 36.79827)"
3215594324,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1048570707","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Carduelis","Carduelis carduelis","","SPECIES","Carduelis carduelis (Linnaeus, 1758)","Carduelis carduelis","","IT","36.8072888316417,15.0956033417509","Sicilia","PRESENT",15,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.80729,15.0956,NA,NA,NA,NA,NA,NA,"2020-11-07T00:00:00",7,11,2020,2494686,2494686,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1048570707","","","","CC_BY_4_0","","obsr1198275",NA,"","2023-06-07 15:27:55","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.0956 36.80729)"
3200978012,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1048570734","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Carduelis","Carduelis carduelis","","SPECIES","Carduelis carduelis (Linnaeus, 1758)","Carduelis carduelis","","IT","36.825318140675,15.0956255544499","Sicilia","PRESENT",10,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.82532,15.09563,NA,NA,NA,NA,NA,NA,"2020-11-07T00:00:00",7,11,2020,2494686,2494686,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1048570734","","","","CC_BY_4_0","","obsr1198275",NA,"","2023-06-07 15:30:20","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09563 36.82532)"
