"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
4133883655,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/165886174","Animalia","Chordata","Aves","Passeriformes","Certhiidae","Certhia","Certhia brachydactyla","","SPECIES","Certhia brachydactyla C.L.Brehm, 1820","Certhia brachydactyla",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.78393,8.72255,158,NA,NA,NA,NA,NA,"2023-06-06T09:37:09",6,6,2023,7806848,7806848,"HUMAN_OBSERVATION","iNaturalist","Observations","165886174",NA,"roby","2023-06-06T12:26:14","CC_BY_NC_4_0","roby","roby",NA,"","2023-06-21 11:24:19","Sound","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.72255 45.78393)"
4133750363,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/92585818","Animalia","Chordata","Aves","Passeriformes","Certhiidae","Certhia","Certhia brachydactyla","","SPECIES","Certhia brachydactyla C.L.Brehm, 1820","Certhia brachydactyla",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.78709,8.72752,4,NA,NA,NA,NA,NA,"2021-08-26T10:13:07",26,8,2021,7806848,7806848,"HUMAN_OBSERVATION","iNaturalist","Observations","92585818",NA,"roby","2021-08-26T16:51:07","CC_BY_NC_4_0","roby","roby",NA,"","2023-06-21 11:19:27","Sound","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.72752 45.78709)"
4133640405,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/151370516","Animalia","Chordata","Aves","Passeriformes","Certhiidae","Certhia","Certhia brachydactyla","","SPECIES","Certhia brachydactyla C.L.Brehm, 1820","Certhia brachydactyla",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.78388,8.7294,4,NA,NA,NA,NA,NA,"2023-03-16T14:58:37",16,3,2023,7806848,7806848,"HUMAN_OBSERVATION","iNaturalist","Observations","151370516",NA,"roby","2023-03-17T07:02:26","CC_BY_NC_4_0","roby","roby",NA,"","2023-06-21 11:24:23","Sound","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.7294 45.78388)"
4133592478,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/154231643","Animalia","Chordata","Aves","Passeriformes","Certhiidae","Certhia","Certhia brachydactyla","","SPECIES","Certhia brachydactyla C.L.Brehm, 1820","Certhia brachydactyla",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.78396,8.72272,4,NA,NA,NA,NA,NA,"2023-04-09T12:31:11",9,4,2023,7806848,7806848,"HUMAN_OBSERVATION","iNaturalist","Observations","154231643",NA,"roby","2023-04-10T05:48:33","CC_BY_NC_4_0","roby","roby",NA,"","2023-06-21 11:11:39","Sound","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.72272 45.78396)"
4096500570,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/140853725","Animalia","Chordata","Aves","Passeriformes","Certhiidae","Certhia","Certhia brachydactyla","","SPECIES","Certhia brachydactyla C.L.Brehm, 1820","Certhia brachydactyla",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.7842,8.72428,3039,NA,NA,NA,NA,NA,"2022-10-31T12:30:48",31,10,2022,7806848,7806848,"HUMAN_OBSERVATION","iNaturalist","Observations","140853725",NA,"Tom Heijnen","2022-11-02T17:01:09","CC_BY_NC_4_0","roby","roby",NA,"","2023-06-21 11:22:31","Sound","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.72428 45.7842)"
3773259191,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/116516409","Animalia","Chordata","Aves","Passeriformes","Certhiidae","Certhia","Certhia brachydactyla","","SPECIES","Certhia brachydactyla C.L.Brehm, 1820","Certhia brachydactyla",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.78547,8.72653,4,NA,NA,NA,NA,NA,"2022-05-10T11:00:53",10,5,2022,7806848,7806848,"HUMAN_OBSERVATION","iNaturalist","Observations","116516409",NA,"roby","2022-05-11T03:47:30","CC_BY_NC_4_0","roby","roby",NA,"","2023-06-21 11:09:22","Sound","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.72653 45.78547)"
3605454668,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1079609166","Animalia","Chordata","Aves","Passeriformes","Certhiidae","Certhia","Certhia brachydactyla","","SPECIES","Certhia brachydactyla C.L.Brehm, 1820","Certhia brachydactyla",NA,"IT","Palude Brabbia--Torretta e 'Agricola Paludi'","Lombardia","PRESENT",NA,"e2e717bf-551a-4917-bdc9-4fa0f342c530",45.77602,8.72016,NA,NA,NA,NA,NA,NA,"2021-02-21T00:00:00",21,2,2021,7806848,7806848,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1079609166",NA,"","","CC_BY_4_0","","obsr497615",NA,"","2023-06-07 15:29:25","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.72016 45.77602)"
3596422867,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1078800634","Animalia","Chordata","Aves","Passeriformes","Certhiidae","Certhia","Certhia brachydactyla","","SPECIES","Certhia brachydactyla C.L.Brehm, 1820","Certhia brachydactyla",NA,"IT","Palude Brabbia--Torbiera di Inarzo","Lombardia","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",45.7844,8.72518,NA,NA,NA,NA,NA,NA,"2021-02-20T00:00:00",20,2,2021,7806848,7806848,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1078800634",NA,"","","CC_BY_4_0","","obsr497615",NA,"","2023-06-07 15:12:52","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.72518 45.7844)"
3519302947,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1078573696","Animalia","Chordata","Aves","Passeriformes","Certhiidae","Certhia","Certhia brachydactyla","","SPECIES","Certhia brachydactyla C.L.Brehm, 1820","Certhia brachydactyla",NA,"IT","Palude Brabbia--Torbiera di Inarzo","Lombardia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",45.7844,8.72518,NA,NA,NA,NA,NA,NA,"2021-02-19T00:00:00",19,2,2021,7806848,7806848,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1078573696",NA,"","","CC_BY_4_0","","obsr1683716",NA,"","2023-06-07 15:14:09","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.72518 45.7844)"
2206374248,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS679043607","Animalia","Chordata","Aves","Passeriformes","Certhiidae","Certhia","Certhia brachydactyla","","SPECIES","Certhia brachydactyla C.L.Brehm, 1820","Certhia brachydactyla",NA,"IT","Palude Brabbia--Torbiera di Inarzo","Lombardia","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",45.7844,8.72518,NA,NA,NA,NA,NA,NA,"2014-07-07T00:00:00",7,7,2014,7806848,7806848,"HUMAN_OBSERVATION","CLO","EBIRD","OBS679043607",NA,"","","CC_BY_4_0","","obsr790590",NA,"","2023-06-07 15:36:19","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.72518 45.7844)"
