"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
3694801251,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1225147735","Animalia","Chordata","Aves","Passeriformes","Cettiidae","Cettia","Cettia cetti","","SPECIES","Cettia cetti (Temminck, 1820)","Cettia cetti","","IT","Variconi","Campania","PRESENT",4,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02203,13.93208,NA,NA,NA,NA,NA,NA,"2021-08-27T00:00:00",27,8,2021,2493012,2493012,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1225147735",NA,"","","CC_BY_4_0","","obsr212715",NA,"","2023-06-07 15:29:15","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93208 41.02203)"
3691189009,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1061485929","Animalia","Chordata","Aves","Passeriformes","Cettiidae","Cettia","Cettia cetti","","SPECIES","Cettia cetti (Temminck, 1820)","Cettia cetti","","IT","Oasi dei Variconi","Campania","PRESENT",4,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02252,13.93077,NA,NA,NA,NA,NA,NA,"2021-01-28T00:00:00",28,1,2021,2493012,2493012,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1061485929",NA,"","","CC_BY_4_0","","obsr917699",NA,"","2023-06-07 15:13:41","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93077 41.02252)"
3675156904,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1156409521","Animalia","Chordata","Aves","Passeriformes","Cettiidae","Cettia","Cettia cetti","","SPECIES","Cettia cetti (Temminck, 1820)","Cettia cetti","","IT","Oasi dei Variconi","Campania","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02252,13.93077,NA,NA,NA,NA,NA,NA,"2021-05-14T00:00:00",14,5,2021,2493012,2493012,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1156409521",NA,"","","CC_BY_4_0","","obsr819422",NA,"","2023-06-07 15:32:11","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93077 41.02252)"
3672687645,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1065680776","Animalia","Chordata","Aves","Passeriformes","Cettiidae","Cettia","Cettia cetti","","SPECIES","Cettia cetti (Temminck, 1820)","Cettia cetti","","IT","Variconi","Campania","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02203,13.93208,NA,NA,NA,NA,NA,NA,"2021-01-30T00:00:00",30,1,2021,2493012,2493012,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1065680776",NA,"","","CC_BY_4_0","","obsr212715",NA,"","2023-06-07 15:14:01","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93208 41.02203)"
3660879535,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1303605511","Animalia","Chordata","Aves","Passeriformes","Cettiidae","Cettia","Cettia cetti","","SPECIES","Cettia cetti (Temminck, 1820)","Cettia cetti","","IT","Oasi dei Variconi","Campania","PRESENT",4,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02252,13.93077,NA,NA,NA,NA,NA,NA,"2021-12-22T00:00:00",22,12,2021,2493012,2493012,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1303605511",NA,"","","CC_BY_4_0","","obsr917699",NA,"","2023-06-07 15:16:08","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93077 41.02252)"
3654022139,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1304392445","Animalia","Chordata","Aves","Passeriformes","Cettiidae","Cettia","Cettia cetti","","SPECIES","Cettia cetti (Temminck, 1820)","Cettia cetti","","IT","Variconi","Campania","PRESENT",4,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02203,13.93208,NA,NA,NA,NA,NA,NA,"2021-12-24T00:00:00",24,12,2021,2493012,2493012,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1304392445",NA,"","","CC_BY_4_0","","obsr212715",NA,"","2023-06-07 15:17:12","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93208 41.02203)"
3652645635,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1225147608","Animalia","Chordata","Aves","Passeriformes","Cettiidae","Cettia","Cettia cetti","","SPECIES","Cettia cetti (Temminck, 1820)","Cettia cetti","","IT","Variconi","Campania","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02203,13.93208,NA,NA,NA,NA,NA,NA,"2021-08-24T00:00:00",24,8,2021,2493012,2493012,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1225147608",NA,"","","CC_BY_4_0","","obsr212715",NA,"","2023-06-07 15:15:09","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93208 41.02203)"
3647884421,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1233523721","Animalia","Chordata","Aves","Passeriformes","Cettiidae","Cettia","Cettia cetti","","SPECIES","Cettia cetti (Temminck, 1820)","Cettia cetti","","IT","Variconi","Campania","PRESENT",6,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02203,13.93208,NA,NA,NA,NA,NA,NA,"2021-09-07T00:00:00",7,9,2021,2493012,2493012,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1233523721",NA,"","","CC_BY_4_0","","obsr212715",NA,"","2023-06-07 15:35:22","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93208 41.02203)"
3643034077,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1154656435","Animalia","Chordata","Aves","Passeriformes","Cettiidae","Cettia","Cettia cetti","","SPECIES","Cettia cetti (Temminck, 1820)","Cettia cetti","","IT","Oasi dei Variconi","Campania","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02252,13.93077,NA,NA,NA,NA,NA,NA,"2021-05-14T00:00:00",14,5,2021,2493012,2493012,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1154656435",NA,"","","CC_BY_4_0","","obsr668799",NA,"","2023-06-07 15:32:41","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93077 41.02252)"
3630493014,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1225147530","Animalia","Chordata","Aves","Passeriformes","Cettiidae","Cettia","Cettia cetti","","SPECIES","Cettia cetti (Temminck, 1820)","Cettia cetti","","IT","Variconi","Campania","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02203,13.93208,NA,NA,NA,NA,NA,NA,"2021-08-18T00:00:00",18,8,2021,2493012,2493012,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1225147530",NA,"","","CC_BY_4_0","","obsr212715",NA,"","2023-06-07 15:32:22","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93208 41.02203)"
