"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
4121437601,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/163109649","Animalia","Arthropoda","Insecta","Odonata","Lestidae","Chalcolestes","Chalcolestes parvidens",NA,"SPECIES","Chalcolestes parvidens (Artobolevsky, 1929)","Chalcolestes parvidens",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.118644,10.538148,515,NA,NA,NA,NA,NA,"2023-05-22T12:47:00",22,5,2023,5865097,5865097,"HUMAN_OBSERVATION","iNaturalist","Observations","163109649",NA,"Paolo","2023-05-22T12:51:53","CC_BY_4_0","Paolo","Paolo",NA,NA,2023-06-21 11:12:07,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4076119876,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/153422732","Animalia","Arthropoda","Insecta","Odonata","Lestidae","Chalcolestes","Chalcolestes parvidens",NA,"SPECIES","Chalcolestes parvidens (Artobolevsky, 1929)","Chalcolestes parvidens",NA,"HU","","Zala","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",46.712387,17.238247,8,NA,NA,NA,NA,NA,"2015-09-15T16:24:00",15,9,2015,5865097,5865097,"HUMAN_OBSERVATION","iNaturalist","Observations","153422732",NA,"schmidtpeter","2023-04-04T08:42:31","CC_BY_NC_4_0","schmidtpeter","schmidtpeter",NA,NA,2023-06-21 11:23:42,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4075799466,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/152222520","Animalia","Arthropoda","Insecta","Odonata","Lestidae","Chalcolestes","Chalcolestes parvidens",NA,"SPECIES","Chalcolestes parvidens (Artobolevsky, 1929)","Chalcolestes parvidens",NA,"IT","","Friuli-Venezia Giulia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.761006,13.498247,1661,NA,NA,NA,NA,NA,"2022-08-30T17:30:00",30,8,2022,5865097,5865097,"HUMAN_OBSERVATION","iNaturalist","Observations","152222520",NA,"odole","2023-03-25T10:20:40","CC_BY_NC_4_0","Kristyn Donnelly","Kristyn Donnelly",NA,NA,2023-06-21 11:11:36,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4075728360,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/34510397","Animalia","Arthropoda","Insecta","Odonata","Lestidae","Chalcolestes","Chalcolestes parvidens",NA,"SPECIES","Chalcolestes parvidens (Artobolevsky, 1929)","Chalcolestes parvidens",NA,"HR","","Istarska","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.145676,13.84183,2,NA,NA,NA,NA,NA,"2019-10-17T14:46:00",17,10,2019,5865097,5865097,"HUMAN_OBSERVATION","iNaturalist","Observations","34510397",NA,"odole","2023-03-26T19:09:15","CC_BY_NC_4_0","Edi Gljušćić","Edi Gljušćić",NA,NA,2023-06-21 11:04:27,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4075671752,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/140562004","Animalia","Arthropoda","Insecta","Odonata","Lestidae","Chalcolestes","Chalcolestes parvidens",NA,"SPECIES","Chalcolestes parvidens (Artobolevsky, 1929)","Chalcolestes parvidens",NA,"IT","","Veneto","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.341389,12.325369,10,NA,NA,NA,NA,NA,"2022-10-30T12:16:00",30,10,2022,5865097,5865097,"HUMAN_OBSERVATION","iNaturalist","Observations","140562004",NA,"odole","2022-10-30T19:56:48","CC_BY_4_0","odole","odole",NA,NA,2023-06-21 11:10:47,"StillImage","CONTINENT_DERIVED_FROM_COORDINATES"
4046552106,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/149683857","Animalia","Arthropoda","Insecta","Odonata","Lestidae","Chalcolestes","Chalcolestes parvidens",NA,"SPECIES","Chalcolestes parvidens (Artobolevsky, 1929)","Chalcolestes parvidens",NA,"FR","","Corse","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",41.719661,8.808035,31,NA,NA,NA,NA,NA,"2020-06-16T00:00:00",16,6,2020,5865097,5865097,"HUMAN_OBSERVATION","iNaturalist","Observations","149683857",NA,"mathieu_pelissie","2023-02-26T00:51:43","CC_BY_NC_4_0","mathieu_pelissie","mathieu_pelissie",NA,NA,2023-06-21 11:11:34,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4046391093,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/149683858","Animalia","Arthropoda","Insecta","Odonata","Lestidae","Chalcolestes","Chalcolestes parvidens",NA,"SPECIES","Chalcolestes parvidens (Artobolevsky, 1929)","Chalcolestes parvidens",NA,"FR","","Corse","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",41.719696,8.807976,31,NA,NA,NA,NA,NA,"2020-06-16T00:00:00",16,6,2020,5865097,5865097,"HUMAN_OBSERVATION","iNaturalist","Observations","149683858",NA,"mathieu_pelissie","2023-02-26T00:51:43","CC_BY_NC_4_0","mathieu_pelissie","mathieu_pelissie",NA,NA,2023-06-21 11:11:42,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
3994137111,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/144163805","Animalia","Arthropoda","Insecta","Odonata","Lestidae","Chalcolestes","Chalcolestes parvidens",NA,"SPECIES","Chalcolestes parvidens (Artobolevsky, 1929)","Chalcolestes parvidens",NA,"ME","","Podgorica","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",42.321166,19.165003,244,NA,NA,NA,NA,NA,"2017-06-24T08:46:00",24,6,2017,5865097,5865097,"HUMAN_OBSERVATION","iNaturalist","Observations","144163805",NA,"elbebiber","2022-12-11T17:37:47","CC_BY_NC_4_0","elbebiber","elbebiber",NA,NA,2023-06-21 11:11:35,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
3985953571,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/142540467","Animalia","Arthropoda","Insecta","Odonata","Lestidae","Chalcolestes","Chalcolestes parvidens",NA,"SPECIES","Chalcolestes parvidens (Artobolevsky, 1929)","Chalcolestes parvidens",NA,"HR","","Splitsko-Dalmatinska","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",43.512056,16.532657,24,NA,NA,NA,NA,NA,"2022-11-21T11:07:39",21,11,2022,5865097,5865097,"HUMAN_OBSERVATION","iNaturalist","Observations","142540467",NA,"Anton Gjeldum","2022-11-21T16:58:51","CC_BY_NC_4_0","Anton Gjeldum","Anton Gjeldum",NA,NA,2023-06-21 11:11:09,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
3966687044,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/141807673","Animalia","Arthropoda","Insecta","Odonata","Lestidae","Chalcolestes","Chalcolestes parvidens",NA,"SPECIES","Chalcolestes parvidens (Artobolevsky, 1929)","Chalcolestes parvidens",NA,"AL","","Fier","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",41.014011,19.476304,5,NA,NA,NA,NA,NA,"2022-11-12T13:34:00",12,11,2022,5865097,5865097,"HUMAN_OBSERVATION","iNaturalist","Observations","141807673",NA,"Hitoshi WATANABE 渡辺仁","2022-11-12T18:53:14","CC0_1_0","Hitoshi WATANABE 渡辺仁","Hitoshi WATANABE 渡辺仁",NA,NA,2023-06-21 11:11:35,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
3966529070,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/141807749","Animalia","Arthropoda","Insecta","Odonata","Lestidae","Chalcolestes","Chalcolestes parvidens",NA,"SPECIES","Chalcolestes parvidens (Artobolevsky, 1929)","Chalcolestes parvidens",NA,"AL","","Fier","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",41.015694,19.482312,15,NA,NA,NA,NA,NA,"2022-11-12T14:16:00",12,11,2022,5865097,5865097,"HUMAN_OBSERVATION","iNaturalist","Observations","141807749",NA,"Hitoshi WATANABE 渡辺仁","2022-11-12T18:53:33","CC0_1_0","Hitoshi WATANABE 渡辺仁","Hitoshi WATANABE 渡辺仁",NA,NA,2023-06-21 11:11:05,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
3966400058,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/141807753","Animalia","Arthropoda","Insecta","Odonata","Lestidae","Chalcolestes","Chalcolestes parvidens",NA,"SPECIES","Chalcolestes parvidens (Artobolevsky, 1929)","Chalcolestes parvidens",NA,"AL","","Fier","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",41.01589,19.483034,15,NA,NA,NA,NA,NA,"2022-11-12T14:19:00",12,11,2022,5865097,5865097,"HUMAN_OBSERVATION","iNaturalist","Observations","141807753",NA,"Hitoshi WATANABE 渡辺仁","2022-11-12T18:53:34","CC0_1_0","Hitoshi WATANABE 渡辺仁","Hitoshi WATANABE 渡辺仁",NA,NA,2023-06-21 11:10:53,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
3961254283,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/140462278","Animalia","Arthropoda","Insecta","Odonata","Lestidae","Chalcolestes","Chalcolestes parvidens",NA,"SPECIES","Chalcolestes parvidens (Artobolevsky, 1929)","Chalcolestes parvidens",NA,"AL","","Fier","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",40.990304,19.494525,5,NA,NA,NA,NA,NA,"2022-10-29T13:00:00",29,10,2022,5865097,5865097,"HUMAN_OBSERVATION","iNaturalist","Observations","140462278",NA,"odole","2022-10-31T06:15:18","CC0_1_0","Hitoshi WATANABE 渡辺仁","Hitoshi WATANABE 渡辺仁",NA,NA,2023-06-21 11:10:45,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
3961162553,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/140792954","Animalia","Arthropoda","Insecta","Odonata","Lestidae","Chalcolestes","Chalcolestes parvidens",NA,"SPECIES","Chalcolestes parvidens (Artobolevsky, 1929)","Chalcolestes parvidens",NA,"IT","","Veneto","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.341389,12.325369,10,NA,NA,NA,NA,NA,"2022-10-31T14:31:00",31,10,2022,5865097,5865097,"HUMAN_OBSERVATION","iNaturalist","Observations","140792954",NA,"odole","2022-11-01T17:20:51","CC_BY_4_0","odole","odole",NA,NA,2023-06-21 11:10:53,"StillImage","CONTINENT_DERIVED_FROM_COORDINATES"
3961032330,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/140479755","Animalia","Arthropoda","Insecta","Odonata","Lestidae","Chalcolestes","Chalcolestes parvidens",NA,"SPECIES","Chalcolestes parvidens (Artobolevsky, 1929)","Chalcolestes parvidens",NA,"IT","","Veneto","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.394059,12.357549,3,NA,NA,NA,NA,NA,"2022-06-23T14:26:00",23,6,2022,5865097,5865097,"HUMAN_OBSERVATION","iNaturalist","Observations","140479755",NA,"odole","2022-10-30T07:08:09","CC_BY_4_0","odole","odole",NA,NA,2023-06-21 11:23:24,"StillImage","CONTINENT_DERIVED_FROM_COORDINATES"
3961019041,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/140263027","Animalia","Arthropoda","Insecta","Odonata","Lestidae","Chalcolestes","Chalcolestes parvidens",NA,"SPECIES","Chalcolestes parvidens (Artobolevsky, 1929)","Chalcolestes parvidens",NA,"IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.506569,12.219415,310,NA,NA,NA,NA,NA,"2022-10-25T12:04:17",25,10,2022,5865097,5865097,"HUMAN_OBSERVATION","iNaturalist","Observations","140263027",NA,"Fabrizio Borghesi","2022-10-28T15:05:18","CC_BY_NC_4_0","Fabrizio Borghesi","Fabrizio Borghesi",NA,NA,2023-06-21 11:23:07,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
3947445350,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/138718910","Animalia","Arthropoda","Insecta","Odonata","Lestidae","Chalcolestes","Chalcolestes parvidens",NA,"SPECIES","Chalcolestes parvidens (Artobolevsky, 1929)","Chalcolestes parvidens",NA,"SI","","Obalno-kraška","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.548192,13.7616,NA,NA,NA,NA,NA,NA,"2022-10-08T11:53:00",8,10,2022,5865097,5865097,"HUMAN_OBSERVATION","iNaturalist","Observations","138718910",NA,"Luca Boscain","2022-10-14T14:10:45","CC_BY_NC_4_0","Luca Boscain","Luca Boscain",NA,NA,2023-06-21 11:22:17,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
3931418973,"e357cdec-295a-4b91-ac7d-abf5fbbc43bb","838def60-5987-4103-9eb6-9d89fa88912f","Animalia","Arthropoda","Insecta","Odonata","Lestidae","Chalcolestes","Chalcolestes parvidens",NA,"SPECIES","Chalcolestes parvidens (Artobolevsky, 1929)","Chalcolestes parvidens (Artobolevskij, 1929)",NA,"FR","","","PRESENT",NA,"1928bdf0-f5d2-11dc-8c12-b8a03c50a862",41.55563,9.18165,6665,NA,NA,NA,NA,NA,"2020-07-11T00:00:00",11,7,2020,5865097,5865097,"HUMAN_OBSERVATION","","","",NA,"","","CC_BY_4_0","","",NA,NA,2023-03-08 00:13:34,"","CONTINENT_DERIVED_FROM_COORDINATES"
3931234291,"e357cdec-295a-4b91-ac7d-abf5fbbc43bb","6b8ab616-2630-4adf-abc9-274b3a344a64","Animalia","Arthropoda","Insecta","Odonata","Lestidae","Chalcolestes","Chalcolestes parvidens",NA,"SPECIES","Chalcolestes parvidens (Artobolevsky, 1929)","Chalcolestes parvidens (Artobolevskij, 1929)",NA,"FR","","","PRESENT",NA,"1928bdf0-f5d2-11dc-8c12-b8a03c50a862",41.74129,8.81269,5141,NA,NA,NA,NA,NA,"2020-06-16T00:00:00",16,6,2020,5865097,5865097,"HUMAN_OBSERVATION","","","",NA,"","","CC_BY_4_0","","",NA,NA,2023-03-08 00:12:20,"","CONTINENT_DERIVED_FROM_COORDINATES"
3925460927,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/137727107","Animalia","Arthropoda","Insecta","Odonata","Lestidae","Chalcolestes","Chalcolestes parvidens",NA,"SPECIES","Chalcolestes parvidens (Artobolevsky, 1929)","Chalcolestes parvidens",NA,"SI","","Obalno-kraška","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.548263,13.76142,NA,NA,NA,NA,NA,NA,"2022-10-01T12:56:00",1,10,2022,5865097,5865097,"HUMAN_OBSERVATION","iNaturalist","Observations","137727107",NA,"Luca Boscain","2022-10-06T09:31:20","CC_BY_NC_4_0","Luca Boscain","Luca Boscain",NA,NA,2023-06-21 11:22:20,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
