"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
3915377015,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/135891630","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius dubius","","SPECIES","Charadrius dubius Scopoli, 1786","Charadrius dubius","","IT","","Sicily","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",36.80398,15.09478,NA,NA,NA,NA,NA,NA,"2022-09-14T12:58:00",14,9,2022,7937336,7937336,"HUMAN_OBSERVATION","iNaturalist","Observations","135891630","","Luca Boscain","2022-09-21T09:58:49","CC_BY_NC_4_0","Luca Boscain","Luca Boscain",NA,"","2023-06-21 11:23:23","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09478 36.80398)"
3614071124,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1204041545","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius dubius","","SPECIES","Charadrius dubius Scopoli, 1786","Charadrius dubius","","IT","Oasi di Vendicari, Riserva Naturale","Sicilia","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.80421,15.09333,NA,NA,NA,NA,NA,NA,"2021-07-20T00:00:00",20,7,2021,7937336,7937336,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1204041545","","","","CC_BY_4_0","","obsr1218083",NA,"","2023-06-07 15:16:53","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09333 36.80421)"
3271029040,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS988986442","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius dubius","","SPECIES","Charadrius dubius Scopoli, 1786","Charadrius dubius","","IT","Oasi di Vendicari, Riserva Naturale","Sicilia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.80421,15.09333,NA,NA,NA,NA,NA,NA,"2020-09-30T00:00:00",30,9,2020,7937336,7937336,"HUMAN_OBSERVATION","CLO","EBIRD","OBS988986442","","","","CC_BY_4_0","","obsr834385",NA,"","2023-06-07 15:13:04","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09333 36.80421)"
2843996201,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/144410047","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius dubius","","SPECIES","Charadrius dubius Scopoli, 1786","Charadrius dubius","","IT","Italy - Noto (comuni)","","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",36.80405,15.09452,25,NA,NA,NA,NA,NA,"2017-09-18T00:00:00",18,9,2017,7937336,7937336,"HUMAN_OBSERVATION","","Observations","OBS.144410047","","","","CC_BY_NC_4_0","Stichting Observation International","User 84341",NA,"","2023-06-13 15:59:09","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (15.09452 36.80405)"
2841748639,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/142172220","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius dubius","","SPECIES","Charadrius dubius Scopoli, 1786","Charadrius dubius","","IT","Italy - Sicilia","","PRESENT",4,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",36.8038,15.09773,25,NA,NA,NA,NA,NA,"2017-07-29T00:00:00",29,7,2017,7937336,7937336,"HUMAN_OBSERVATION","","Observations","OBS.142172220","","","","CC_BY_NC_4_0","Stichting Observation International","User 14399",NA,"","2023-06-13 15:56:41","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (15.09773 36.8038)"
2840282821,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/137634377","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius dubius","","SPECIES","Charadrius dubius Scopoli, 1786","Charadrius dubius","","IT","Italy - Noto (comuni)","","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",36.80424,15.09335,25,NA,NA,NA,NA,NA,"2017-04-30T00:00:00",30,4,2017,7937336,7937336,"HUMAN_OBSERVATION","","Observations","OBS.137634377","","","","CC_BY_NC_4_0","Stichting Observation International","User 15070",NA,"","2023-06-13 15:59:13","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (15.09335 36.80424)"
2833458107,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/162788273","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius dubius","","SPECIES","Charadrius dubius Scopoli, 1786","Charadrius dubius","","IT","Italy - Noto (comuni)","","PRESENT",10,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",36.79851,15.09309,25,NA,NA,NA,NA,NA,"2018-09-21T00:00:00",21,9,2018,7937336,7937336,"HUMAN_OBSERVATION","","Observations","OBS.162788273","","","","CC_BY_NC_4_0","Stichting Observation International","User 44955",NA,"","2023-06-13 15:57:01","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (15.09309 36.79851)"
2833281961,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/162809390","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius dubius","","SPECIES","Charadrius dubius Scopoli, 1786","Charadrius dubius","","IT","Italy - Noto (comuni)","","PRESENT",10,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",36.79851,15.09309,25,NA,NA,NA,NA,NA,"2018-09-21T00:00:00",21,9,2018,7937336,7937336,"HUMAN_OBSERVATION","","Observations","OBS.162809390","","","","CC_BY_NC_4_0","Stichting Observation International","User 113117",NA,"","2023-06-13 15:59:22","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (15.09309 36.79851)"
2786053541,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS895291089","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius dubius","","SPECIES","Charadrius dubius Scopoli, 1786","Charadrius dubius","","IT","Oasi di Vendicari, Riserva Naturale","Sicilia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.80421,15.09333,NA,NA,NA,NA,NA,NA,"2014-04-30T00:00:00",30,4,2014,7937336,7937336,"HUMAN_OBSERVATION","CLO","EBIRD","OBS895291089","","","","CC_BY_4_0","","obsr954291",NA,"","2023-06-07 15:26:16","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09333 36.80421)"
2766547695,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS809568951","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius dubius","","SPECIES","Charadrius dubius Scopoli, 1786","Charadrius dubius","","IT","Oasi di Vendicari, Riserva Naturale","Sicilia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.80421,15.09333,NA,NA,NA,NA,NA,NA,"2019-09-25T00:00:00",25,9,2019,7937336,7937336,"HUMAN_OBSERVATION","CLO","EBIRD","OBS809568951","","","","CC_BY_4_0","","obsr706341",NA,"","2023-06-07 15:09:58","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09333 36.80421)"
2752865163,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS718437235","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius dubius","","SPECIES","Charadrius dubius Scopoli, 1786","Charadrius dubius","","IT","36.794475,15.092188","Sicilia","PRESENT",40,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.79448,15.09219,NA,NA,NA,NA,NA,NA,"2016-09-08T00:00:00",8,9,2016,7937336,7937336,"HUMAN_OBSERVATION","CLO","EBIRD","OBS718437235","","","","CC_BY_4_0","","obsr1198275",NA,"","2023-06-07 15:24:33","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09219 36.79448)"
2736377232,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS718439209","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius dubius","","SPECIES","Charadrius dubius Scopoli, 1786","Charadrius dubius","","IT","36.790354,15.093299","Sicilia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.79036,15.0933,NA,NA,NA,NA,NA,NA,"2014-12-23T00:00:00",23,12,2014,7937336,7937336,"HUMAN_OBSERVATION","CLO","EBIRD","OBS718439209","","","","CC_BY_4_0","","obsr1198275",NA,"","2023-06-07 15:25:32","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.0933 36.79036)"
2723906457,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS845751156","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius dubius","","SPECIES","Charadrius dubius Scopoli, 1786","Charadrius dubius","","IT","Oasi di Vendicari, Riserva Naturale","Sicilia","PRESENT",7,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.80421,15.09333,NA,NA,NA,NA,NA,NA,"2019-09-22T00:00:00",22,9,2019,7937336,7937336,"HUMAN_OBSERVATION","CLO","EBIRD","OBS845751156","","","","CC_BY_4_0","","obsr994019",NA,"","2023-06-07 15:10:12","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09333 36.80421)"
2712039560,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS807789989","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius dubius","","SPECIES","Charadrius dubius Scopoli, 1786","Charadrius dubius","","IT","Oasi di Vendicari, Riserva Naturale","Sicilia","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.80421,15.09333,NA,NA,NA,NA,NA,NA,"2019-09-21T00:00:00",21,9,2019,7937336,7937336,"HUMAN_OBSERVATION","CLO","EBIRD","OBS807789989","","","","CC_BY_4_0","","obsr706341",NA,"","2023-06-07 15:25:03","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09333 36.80421)"
2697581186,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD_MA:OBS808744260","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius dubius","","SPECIES","Charadrius dubius Scopoli, 1786","Charadrius dubius","","IT","Oasi di Vendicari, Riserva Naturale","Sicilia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.80421,15.09333,NA,NA,NA,NA,NA,NA,"2019-09-23T00:00:00",23,9,2019,7937336,7937336,"HUMAN_OBSERVATION","CLO","EBIRD_MA","OBS808744260","","","","CC_BY_4_0","","obsr150042",NA,"","2023-06-07 15:11:09","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09333 36.80421)"
2667289220,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS718450053","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius dubius","","SPECIES","Charadrius dubius Scopoli, 1786","Charadrius dubius","","IT","36.81012,15.104133","Sicilia","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.81012,15.10413,NA,NA,NA,NA,NA,NA,"2016-09-08T00:00:00",8,9,2016,7937336,7937336,"HUMAN_OBSERVATION","CLO","EBIRD","OBS718450053","","","","CC_BY_4_0","","obsr1198275",NA,"","2023-06-07 15:24:41","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.10413 36.81012)"
2660227069,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS718450045","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius dubius","","SPECIES","Charadrius dubius Scopoli, 1786","Charadrius dubius","","IT","36.804956,15.096054","Sicilia","PRESENT",25,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.80496,15.09605,NA,NA,NA,NA,NA,NA,"2016-09-08T00:00:00",8,9,2016,7937336,7937336,"HUMAN_OBSERVATION","CLO","EBIRD","OBS718450045","","","","CC_BY_4_0","","obsr1198275",NA,"","2023-06-07 15:30:40","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09605 36.80496)"
