"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
3997202773,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/252612763","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Chloris","Chloris chloris","","SPECIES","Chloris chloris (Linnaeus, 1758)","Chloris chloris","","IT","Italy - Cagliari","","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",39.20764,9.14851,5,NA,NA,NA,NA,NA,"2022-08-04T00:00:00",4,8,2022,5845582,5845582,"HUMAN_OBSERVATION","","Observations","OBS.252612763","","","","CC_BY_NC_4_0","Stichting Observation International","User 278780",NA,"","2023-06-13 15:58:17","StillImage;Sound","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (9.14851 39.20764)"
3747362602,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/109448560","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Chloris","Chloris chloris","","SPECIES","Chloris chloris (Linnaeus, 1758)","Chloris chloris","","IT","","Sardegna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",39.22845,9.18807,81,NA,NA,NA,NA,NA,"2022-03-23T18:47:55",23,3,2022,5845582,5845582,"HUMAN_OBSERVATION","iNaturalist","Observations","109448560","","Filippo Melis","2022-03-25T12:37:24","CC_BY_NC_4_0","Filippo Melis","Filippo Melis",NA,"","2023-06-14 10:08:35","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.18807 39.22845)"
3656250787,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1302023877","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Chloris","Chloris chloris","","SPECIES","Chloris chloris (Linnaeus, 1758)","Chloris chloris","","IT","Molentargius-Saline -- Perda Bianca","Sardegna","PRESENT",5,"e2e717bf-551a-4917-bdc9-4fa0f342c530",39.21211,9.14786,NA,NA,NA,NA,NA,NA,"2021-12-24T00:00:00",24,12,2021,5845582,5845582,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1302023877","","","","CC_BY_4_0","","obsr1683716",NA,"","2023-06-07 15:14:51","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.14786 39.21211)"
3542355994,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1220867800","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Chloris","Chloris chloris","","SPECIES","Chloris chloris (Linnaeus, 1758)","Chloris chloris","","IT","111 Via A. Toscanini, Quartu Sant'Elena, Sardegna, IT (39,227, 9,186)","Sardegna","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",39.22715,9.18642,NA,NA,NA,NA,NA,NA,"2021-08-19T00:00:00",19,8,2021,5845582,5845582,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1220867800","","","","CC_BY_4_0","","obsr2096915",NA,"","2023-06-07 15:35:41","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.18642 39.22715)"
3515553015,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1134619532","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Chloris","Chloris chloris","","SPECIES","Chloris chloris (Linnaeus, 1758)","Chloris chloris","","IT","Saline di Quartu & Stagno di Molentargius","Sardegna","PRESENT",20,"e2e717bf-551a-4917-bdc9-4fa0f342c530",39.22547,9.17753,NA,NA,NA,NA,NA,NA,"2014-04-29T00:00:00",29,4,2014,5845582,5845582,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1134619532","","","","CC_BY_4_0","","obsr2128622",NA,"","2023-06-07 15:13:35","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.17753 39.22547)"
3265456695,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1006018070","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Chloris","Chloris chloris","","SPECIES","Chloris chloris (Linnaeus, 1758)","Chloris chloris","","IT","Capanno di osservazione Molentargius","Sardegna","PRESENT",10,"e2e717bf-551a-4917-bdc9-4fa0f342c530",39.21416,9.14905,NA,NA,NA,NA,NA,NA,"2014-07-21T00:00:00",21,7,2014,5845582,5845582,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1006018070","","","","CC_BY_4_0","","obsr1931850",NA,"","2023-06-07 15:29:49","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.14905 39.21416)"
3193485334,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1005772049","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Chloris","Chloris chloris","","SPECIES","Chloris chloris (Linnaeus, 1758)","Chloris chloris","","IT","Capanno di osservazione Molentargius","Sardegna","PRESENT",10,"e2e717bf-551a-4917-bdc9-4fa0f342c530",39.21416,9.14905,NA,NA,NA,NA,NA,NA,"2014-07-21T00:00:00",21,7,2014,5845582,5845582,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1005772049","","","","CC_BY_4_0","","obsr1042163",NA,"","2023-06-07 15:27:05","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.14905 39.21416)"
2734728993,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS712980379","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Chloris","Chloris chloris","","SPECIES","Chloris chloris (Linnaeus, 1758)","Chloris chloris","","IT","4 Sentiero del Bellarosa Maggiore, Quartu Sant'Elena, Sardegna, IT (39,222, 9,158)","Sardegna","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",39.22175,9.15807,NA,NA,NA,NA,NA,NA,"2019-02-19T00:00:00",19,2,2019,5845582,5845582,"HUMAN_OBSERVATION","CLO","EBIRD","OBS712980379","","","","CC_BY_4_0","","obsr277992",NA,"","2023-06-07 15:22:36","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.15807 39.22175)"
2728443190,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS713039575","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Chloris","Chloris chloris","","SPECIES","Chloris chloris (Linnaeus, 1758)","Chloris chloris","","IT","13 Via della Fauna, Medau Su Cramu, Sardegna, IT (39,21, 9,149)","Sardegna","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",39.20993,9.1492,NA,NA,NA,NA,NA,NA,"2019-02-19T00:00:00",19,2,2019,5845582,5845582,"HUMAN_OBSERVATION","CLO","EBIRD","OBS713039575","","","","CC_BY_4_0","","obsr277992",NA,"","2023-06-07 15:23:22","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.1492 39.20993)"
2432595174,"e3ce628e-9683-4af7-b7a9-47eef785d3bb","1e23cbc2-5a35-4f20-9c66-715f31c09a7b","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Chloris","Chloris chloris","","SPECIES","Chloris chloris (Linnaeus, 1758)","Chloris chloris","(Linnaeus, 1758)","IT","","","PRESENT",NA,"17726825-3aa2-4fbc-b0e3-303d3fc5702f",39.22139,9.16241,NA,NA,NA,NA,NA,NA,"2019-04-06T22:34:00",6,4,2019,5845582,5845582,"HUMAN_OBSERVATION","","","","questagame-252289","<a href=https://bee.questagame.com/#/profile/14758?questagame_user_id=14758>octonaughts (Low)</a>;<a href=https://bee.questagame.com/#/profile/4426?questagame_user_id=4426>Jenny Donald (Low)</a>","","CC_BY_NC_4_0","","<a href='https://bee.questagame.com/#/profile/4426?questagame_user_id=4426'> Jenny Donald;questagame.com</a>",NA,"","2023-06-19 09:39:20","StillImage","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.16241 39.22139)"
