"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
4134057155,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/167258010","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Chloroclystis","Chloroclystis v-ata",NA,"SPECIES","Chloroclystis v-ata (Haworth, 1809)","Chloroclystis v-ata",NA,"IT","","Toscana","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",43.736271,10.520505,15,NA,NA,NA,NA,NA,"2023-06-06T00:00:00",6,6,2023,1989428,1989428,"HUMAN_OBSERVATION","iNaturalist","Observations","167258010",NA,"Andrea Piccinini","2023-06-13T20:53:58","CC_BY_NC_4_0","Andrea Piccinini","Andrea Piccinini",NA,NA,2023-06-21 11:24:41,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4133710223,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/166334605","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Chloroclystis","Chloroclystis v-ata",NA,"SPECIES","Chloroclystis v-ata (Haworth, 1809)","Chloroclystis v-ata",NA,"IT","","Toscana","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",43.624465,10.681218,36,NA,NA,NA,NA,NA,"2023-06-08T15:36:17",8,6,2023,1989428,1989428,"HUMAN_OBSERVATION","iNaturalist","Observations","166334605",NA,"Levi smith","2023-06-09T00:07:55","CC_BY_NC_4_0","Levi smith","Levi smith",NA,NA,2023-06-21 11:24:09,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4129747876,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/164971505","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Chloroclystis","Chloroclystis v-ata",NA,"SPECIES","Chloroclystis v-ata (Haworth, 1809)","Chloroclystis v-ata",NA,"AT","","Vorarlberg","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",47.206259,9.667778,24,NA,NA,NA,NA,NA,"2023-05-31T22:34:18",31,5,2023,1989428,1989428,"HUMAN_OBSERVATION","iNaturalist","Observations","164971505",NA,"Friedrich","2023-06-01T13:32:27","CC_BY_4_0","Cosimo Costanzia di Costigliole","Cosimo Costanzia di Costigliole",NA,NA,2023-06-21 11:22:52,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4129697196,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/164943976","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Chloroclystis","Chloroclystis v-ata",NA,"SPECIES","Chloroclystis v-ata (Haworth, 1809)","Chloroclystis v-ata",NA,"CH","","Ticino","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.830003,9.005217,157,NA,NA,NA,NA,NA,"2023-05-29T22:01:00",29,5,2023,1989428,1989428,"HUMAN_OBSERVATION","iNaturalist","Observations","164943976",NA,"Jörg und Ines","2023-06-01T08:52:56","CC_BY_4_0","Valentin Moser","Valentin Moser",NA,NA,2023-06-21 11:12:07,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4127353428,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/164442380","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Chloroclystis","Chloroclystis v-ata",NA,"SPECIES","Chloroclystis v-ata (Haworth, 1809)","Chloroclystis v-ata",NA,"AT","","Steiermark","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",47.219018,15.808335,2,NA,NA,NA,NA,NA,"2023-05-26T23:55:00",26,5,2023,1989428,1989428,"HUMAN_OBSERVATION","iNaturalist","Observations","164442380",NA,"Tobias Gratzer","2023-05-29T15:57:37","CC_BY_4_0","Tobias Gratzer","Tobias Gratzer",NA,NA,2023-06-21 11:12:40,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4127112428,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/164071184","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Chloroclystis","Chloroclystis v-ata",NA,"SPECIES","Chloroclystis v-ata (Haworth, 1809)","Chloroclystis v-ata",NA,"IT","","Piemonte","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.777872,8.428739,NA,NA,NA,NA,NA,NA,"2023-05-27T22:46:06",27,5,2023,1989428,1989428,"HUMAN_OBSERVATION","iNaturalist","Observations","164071184",NA,"Nella","2023-05-27T20:49:59","CC_BY_NC_4_0","Nella","Nella",NA,NA,2023-06-21 11:12:10,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4126921629,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/163771625","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Chloroclystis","Chloroclystis v-ata",NA,"SPECIES","Chloroclystis v-ata (Haworth, 1809)","Chloroclystis v-ata",NA,"IT","","Lazio","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",42.301098,12.424172,3,NA,NA,NA,NA,NA,"2023-05-26T00:52:00",26,5,2023,1989428,1989428,"HUMAN_OBSERVATION","iNaturalist","Observations","163771625",NA,"stefanodirektor","2023-05-26T06:24:52","CC_BY_NC_4_0","stefanodirektor","stefanodirektor",NA,NA,2023-06-21 11:12:02,"StillImage","CONTINENT_DERIVED_FROM_COORDINATES"
4116623428,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/161323353","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Chloroclystis","Chloroclystis v-ata",NA,"SPECIES","Chloroclystis v-ata (Haworth, 1809)","Chloroclystis v-ata",NA,"FR","","Provence-Alpes-Côte d'Azur","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",43.613964,7.062449,NA,NA,NA,NA,NA,NA,"2023-05-13T00:15:48",13,5,2023,1989428,1989428,"HUMAN_OBSERVATION","iNaturalist","Observations","161323353",NA,"bscrl","2023-05-13T00:38:35","CC_BY_NC_4_0","bscrl","bscrl",NA,NA,2023-06-21 11:12:10,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4116164829,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/160969731","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Chloroclystis","Chloroclystis v-ata",NA,"SPECIES","Chloroclystis v-ata (Haworth, 1809)","Chloroclystis v-ata",NA,"IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.245709,11.700987,83,NA,NA,NA,NA,NA,"2023-05-08T22:07:43",8,5,2023,1989428,1989428,"HUMAN_OBSERVATION","iNaturalist","Observations","160969731",NA,"Luca Sattin","2023-05-10T20:51:13","CC_BY_NC_4_0","Luca Sattin","Luca Sattin",NA,NA,2023-06-21 11:24:31,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4111917611,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/160127628","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Chloroclystis","Chloroclystis v-ata",NA,"SPECIES","Chloroclystis v-ata (Haworth, 1809)","Chloroclystis v-ata",NA,"AT","","Steiermark","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",47.217782,15.810897,5,NA,NA,NA,NA,NA,"2023-04-29T22:48:00",29,4,2023,1989428,1989428,"HUMAN_OBSERVATION","iNaturalist","Observations","160127628",NA,"gernotkunz","2023-05-06T18:29:58","CC_BY_NC_4_0","gernotkunz","gernotkunz",NA,NA,2023-06-21 11:23:36,"","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
