"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
3620940161,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1264226323","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Circus","Circus aeruginosus","","SPECIES","Circus aeruginosus (Linnaeus, 1758)","Circus aeruginosus",NA,"IT","Salinagrande","Sicilia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",37.9591,12.50534,NA,NA,NA,NA,NA,NA,"2021-10-24T00:00:00",24,10,2021,2480482,2480482,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1264226323",NA,"","","CC_BY_4_0","","obsr1240819",NA,NA,"2023-06-07 15:17:20","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.50534 37.9591)"
3584059319,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1277157925","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Circus","Circus aeruginosus","","SPECIES","Circus aeruginosus (Linnaeus, 1758)","Circus aeruginosus",NA,"IT","Saline di Trapani--Ovest","Sicilia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",38.00292,12.50981,NA,NA,NA,NA,NA,NA,"2021-11-14T00:00:00",14,11,2021,2480482,2480482,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1277157925",NA,"","","CC_BY_4_0","","obsr1622555",NA,NA,"2023-06-07 15:30:34","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.50981 38.00292)"
3557030346,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1280697084","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Circus","Circus aeruginosus","","SPECIES","Circus aeruginosus (Linnaeus, 1758)","Circus aeruginosus",NA,"IT","Saline di Trapani--Ovest","Sicilia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",38.00292,12.50981,NA,NA,NA,NA,NA,NA,"2021-11-20T00:00:00",20,11,2021,2480482,2480482,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1280697084",NA,"","","CC_BY_4_0","","obsr1622555",NA,NA,"2023-06-07 15:16:34","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.50981 38.00292)"
3549132308,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1233545762","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Circus","Circus aeruginosus","","SPECIES","Circus aeruginosus (Linnaeus, 1758)","Circus aeruginosus",NA,"IT","Salinagrande","Sicilia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",37.9591,12.50534,NA,NA,NA,NA,NA,NA,"2021-09-09T00:00:00",9,9,2021,2480482,2480482,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1233545762",NA,"","","CC_BY_4_0","","obsr1147494",NA,NA,"2023-06-07 15:29:54","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.50534 37.9591)"
3547434685,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1273927912","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Circus","Circus aeruginosus","","SPECIES","Circus aeruginosus (Linnaeus, 1758)","Circus aeruginosus",NA,"IT","Saline di Trapani--Nord","Sicilia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",37.99325,12.53274,NA,NA,NA,NA,NA,NA,"2021-11-09T00:00:00",9,11,2021,2480482,2480482,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1273927912",NA,"","","CC_BY_4_0","","obsr1622555",NA,NA,"2023-06-07 15:14:36","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.53274 37.99325)"
3539295380,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1281434284","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Circus","Circus aeruginosus","","SPECIES","Circus aeruginosus (Linnaeus, 1758)","Circus aeruginosus",NA,"IT","Saline di Trapani--Ovest","Sicilia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",38.00292,12.50981,NA,NA,NA,NA,NA,NA,"2021-11-21T00:00:00",21,11,2021,2480482,2480482,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1281434284",NA,"","","CC_BY_4_0","","obsr1622555",NA,NA,"2023-06-07 15:30:46","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.50981 38.00292)"
2984439867,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/64630030","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Circus","Circus aeruginosus","","SPECIES","Circus aeruginosus (Linnaeus, 1758)","Circus aeruginosus",NA,"IT","","Sicily","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",37.9945,12.50976,31,NA,NA,NA,NA,NA,"2020-11-05T23:49:00",5,11,2020,2480482,2480482,"HUMAN_OBSERVATION","iNaturalist","Observations","64630030",NA,"Mathia Coco","2020-11-10T22:51:00","CC_BY_NC_4_0","Mathia Coco","Mathia Coco",NA,NA,"2023-06-14 09:45:50","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.50976 37.9945)"
2100812122,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS560775927","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Circus","Circus aeruginosus","","SPECIES","Circus aeruginosus (Linnaeus, 1758)","Circus aeruginosus",NA,"IT","Saline di Trapani--Nord","Sicilia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",37.99325,12.53274,NA,NA,NA,NA,NA,NA,"2015-10-11T00:00:00",11,10,2015,2480482,2480482,"HUMAN_OBSERVATION","CLO","EBIRD","OBS560775927",NA,"","","CC_BY_4_0","","obsr23890",NA,NA,"2023-06-07 15:07:18","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.53274 37.99325)"
1728508396,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS392092908","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Circus","Circus aeruginosus","","SPECIES","Circus aeruginosus (Linnaeus, 1758)","Circus aeruginosus",NA,"IT","Saline di Trapani--Nord","Sicilia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",37.99325,12.53274,NA,NA,NA,NA,NA,NA,"2016-04-16T00:00:00",16,4,2016,2480482,2480482,"HUMAN_OBSERVATION","CLO","EBIRD","OBS392092908",NA,"","","CC_BY_4_0","","obsr346914",NA,NA,"2023-06-07 15:04:18","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.53274 37.99325)"
1715018762,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS373008864","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Circus","Circus aeruginosus","","SPECIES","Circus aeruginosus (Linnaeus, 1758)","Circus aeruginosus",NA,"IT","Saline di Trapani--Nord","Sicilia","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",37.99325,12.53274,NA,NA,NA,NA,NA,NA,"2016-02-13T00:00:00",13,2,2016,2480482,2480482,"HUMAN_OBSERVATION","CLO","EBIRD","OBS373008864",NA,"","","CC_BY_4_0","","obsr346914",NA,NA,"2023-06-07 15:04:25","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.53274 37.99325)"
