"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
3996019238,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/259576660","Animalia","Chordata","Aves","Passeriformes","Cisticolidae","Cisticola","Cisticola juncidis","","SPECIES","Cisticola juncidis (Rafinesque, 1810)","Cisticola juncidis","","IT","Italy - Cagliari","","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",39.22024,9.16449,5,NA,NA,NA,NA,NA,"2022-11-14T00:00:00",14,11,2022,2492822,2492822,"HUMAN_OBSERVATION","","Observations","OBS.259576660","","","","CC_BY_NC_4_0","Stichting Observation International","User 753725",NA,NA,"2023-06-13 16:01:28","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (9.16449 39.22024)"
3915422452,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/115873667","Animalia","Chordata","Aves","Passeriformes","Cisticolidae","Cisticola","Cisticola juncidis","","SPECIES","Cisticola juncidis (Rafinesque, 1810)","Cisticola juncidis","","IT","","Sardegna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",39.21319,9.14846,8,NA,NA,NA,NA,NA,"2022-04-29T11:22:00",29,4,2022,2492822,2492822,"HUMAN_OBSERVATION","iNaturalist","Observations","115873667","","Giuseppe Molinari","2022-05-07T09:34:27","CC_BY_NC_4_0","Giuseppe Molinari","Giuseppe Molinari",NA,NA,"2023-06-14 10:08:29","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.14846 39.21319)"
3693723339,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1301595136","Animalia","Chordata","Aves","Passeriformes","Cisticolidae","Cisticola","Cisticola juncidis","","SPECIES","Cisticola juncidis (Rafinesque, 1810)","Cisticola juncidis","","IT","Molentargius-Saline -- Sentiero del Bellarosa Maggiore","Sardegna","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",39.21683,9.15124,NA,NA,NA,NA,NA,NA,"2021-12-19T00:00:00",19,12,2021,2492822,2492822,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1301595136","","","","CC_BY_4_0","","obsr1680066",NA,NA,"2023-06-07 15:14:42","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.15124 39.21683)"
3669084776,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1302023888","Animalia","Chordata","Aves","Passeriformes","Cisticolidae","Cisticola","Cisticola juncidis","","SPECIES","Cisticola juncidis (Rafinesque, 1810)","Cisticola juncidis","","IT","Molentargius-Saline -- Perda Bianca","Sardegna","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",39.21211,9.14786,NA,NA,NA,NA,NA,NA,"2021-12-24T00:00:00",24,12,2021,2492822,2492822,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1302023888","","","","CC_BY_4_0","","obsr1683716",NA,NA,"2023-06-07 15:15:22","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.14786 39.21211)"
3533923919,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1210946024","Animalia","Chordata","Aves","Passeriformes","Cisticolidae","Cisticola","Cisticola juncidis","","SPECIES","Cisticola juncidis (Rafinesque, 1810)","Cisticola juncidis","","IT","Via Lungo Saline, Cagliari IT-Sardinien 39.21556, 9.16951","Sardegna","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",39.21556,9.16951,NA,NA,NA,NA,NA,NA,"2021-08-02T00:00:00",2,8,2021,2492822,2492822,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1210946024","","","","CC_BY_4_0","","obsr1487489",NA,NA,"2023-06-07 15:42:33","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.16951 39.21556)"
3516208988,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1134619546","Animalia","Chordata","Aves","Passeriformes","Cisticolidae","Cisticola","Cisticola juncidis","","SPECIES","Cisticola juncidis (Rafinesque, 1810)","Cisticola juncidis","","IT","Saline di Quartu & Stagno di Molentargius","Sardegna","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",39.22547,9.17753,NA,NA,NA,NA,NA,NA,"2014-04-29T00:00:00",29,4,2014,2492822,2492822,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1134619546","","","","CC_BY_4_0","","obsr2128622",NA,NA,"2023-06-07 15:14:03","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.17753 39.22547)"
3292661891,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1006018142","Animalia","Chordata","Aves","Passeriformes","Cisticolidae","Cisticola","Cisticola juncidis","","SPECIES","Cisticola juncidis (Rafinesque, 1810)","Cisticola juncidis","","IT","Capanno di osservazione Molentargius","Sardegna","PRESENT",5,"e2e717bf-551a-4917-bdc9-4fa0f342c530",39.21416,9.14905,NA,NA,NA,NA,NA,NA,"2014-07-21T00:00:00",21,7,2014,2492822,2492822,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1006018142","","","","CC_BY_4_0","","obsr1931850",NA,NA,"2023-06-07 15:13:10","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.14905 39.21416)"
3211488549,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1005772069","Animalia","Chordata","Aves","Passeriformes","Cisticolidae","Cisticola","Cisticola juncidis","","SPECIES","Cisticola juncidis (Rafinesque, 1810)","Cisticola juncidis","","IT","Capanno di osservazione Molentargius","Sardegna","PRESENT",5,"e2e717bf-551a-4917-bdc9-4fa0f342c530",39.21416,9.14905,NA,NA,NA,NA,NA,NA,"2014-07-21T00:00:00",21,7,2014,2492822,2492822,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1005772069","","","","CC_BY_4_0","","obsr1042163",NA,NA,"2023-06-07 15:27:27","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.14905 39.21416)"
2666935084,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS713039557","Animalia","Chordata","Aves","Passeriformes","Cisticolidae","Cisticola","Cisticola juncidis","","SPECIES","Cisticola juncidis (Rafinesque, 1810)","Cisticola juncidis","","IT","13 Via della Fauna, Medau Su Cramu, Sardegna, IT (39,21, 9,149)","Sardegna","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",39.20993,9.1492,NA,NA,NA,NA,NA,NA,"2019-02-19T00:00:00",19,2,2019,2492822,2492822,"HUMAN_OBSERVATION","CLO","EBIRD","OBS713039557","","","","CC_BY_4_0","","obsr277992",NA,NA,"2023-06-07 15:10:34","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.1492 39.20993)"
2228480071,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS678003009","Animalia","Chordata","Aves","Passeriformes","Cisticolidae","Cisticola","Cisticola juncidis","","SPECIES","Cisticola juncidis (Rafinesque, 1810)","Cisticola juncidis","","IT","(39.206, 9.145)","Sardegna","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",39.20618,9.14544,NA,NA,NA,NA,NA,NA,"2018-11-16T00:00:00",16,11,2018,2492822,2492822,"HUMAN_OBSERVATION","CLO","EBIRD","OBS678003009","","","","CC_BY_4_0","","obsr900795",NA,NA,"2023-06-07 15:23:14","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.14544 39.20618)"
