"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
3963575664,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/140577398","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Colias","Colias croceus","","SPECIES","Colias croceus (Geoffroy, 1785)","Colias croceus",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.64538,10.03483,10,NA,NA,NA,NA,NA,"2022-10-28T15:36:00",28,10,2022,5137612,5137612,"HUMAN_OBSERVATION","iNaturalist","Observations","140577398",NA,"Gabriele La Grasta","2022-10-30T21:52:57","CC_BY_NC_4_0","Gabriele La Grasta","Gabriele La Grasta",NA,NA,"2023-06-21 11:23:20","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.03483 45.64538)"
3925227508,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/138251076","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Colias","Colias croceus","","SPECIES","Colias croceus (Geoffroy, 1785)","Colias croceus",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.64664,10.0383,32,NA,NA,NA,NA,NA,"2022-10-02T13:29:00",2,10,2022,5137612,5137612,"HUMAN_OBSERVATION","iNaturalist","Observations","138251076",NA,"Gabriele La Grasta","2022-10-10T13:23:10","CC_BY_NC_4_0","Gabriele La Grasta","Gabriele La Grasta",NA,NA,"2023-06-21 11:10:46","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.0383 45.64664)"
3925170137,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/137889480","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Colias","Colias croceus","","SPECIES","Colias croceus (Geoffroy, 1785)","Colias croceus",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.64677,10.03846,17,NA,NA,NA,NA,NA,"2022-09-27T13:29:00",27,9,2022,5137612,5137612,"HUMAN_OBSERVATION","iNaturalist","Observations","137889480",NA,"Gabriele La Grasta","2022-10-07T18:53:44","CC_BY_NC_4_0","Gabriele La Grasta","Gabriele La Grasta",NA,NA,"2023-06-21 11:21:18","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.03846 45.64677)"
3903485048,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/134342595","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Colias","Colias croceus","","SPECIES","Colias croceus (Geoffroy, 1785)","Colias croceus",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.64117,10.03648,184,NA,NA,NA,NA,NA,"2022-09-09T15:04:09",9,9,2022,5137612,5137612,"HUMAN_OBSERVATION","iNaturalist","Observations","134342595",NA,"Gabriele La Grasta","2022-09-09T20:49:10","CC_BY_NC_4_0","Gabriele La Grasta","Gabriele La Grasta",NA,NA,"2023-06-21 11:10:23","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.03648 45.64117)"
3873733451,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/126100835","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Colias","Colias croceus","","SPECIES","Colias croceus (Geoffroy, 1785)","Colias croceus",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.64371,10.0224,18,NA,NA,NA,NA,NA,"2022-07-08T15:12:00",8,7,2022,5137612,5137612,"HUMAN_OBSERVATION","iNaturalist","Observations","126100835",NA,"Gabriele La Grasta","2022-07-14T15:56:30","CC_BY_NC_4_0","Gabriele La Grasta","Gabriele La Grasta",NA,NA,"2023-06-21 11:21:57","StillImage","CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.0224 45.64371)"
3384368367,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/94352388","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Colias","Colias croceus","","SPECIES","Colias croceus (Geoffroy, 1785)","Colias croceus",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.64578,10.0349,251,NA,NA,NA,NA,NA,"2021-09-09T13:51:00",9,9,2021,5137612,5137612,"HUMAN_OBSERVATION","iNaturalist","Observations","94352388",NA,"Gabriele La Grasta","2021-09-10T18:35:32","CC_BY_NC_4_0","Gabriele La Grasta","Gabriele La Grasta",NA,NA,"2023-06-21 11:08:00","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.0349 45.64578)"
3384008351,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/94352393","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Colias","Colias croceus","","SPECIES","Colias croceus (Geoffroy, 1785)","Colias croceus",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.64554,10.03492,80,NA,NA,NA,NA,NA,"2021-09-09T13:53:00",9,9,2021,5137612,5137612,"HUMAN_OBSERVATION","iNaturalist","Observations","94352393",NA,"Gabriele La Grasta","2021-09-10T18:35:34","CC_BY_NC_4_0","Gabriele La Grasta","Gabriele La Grasta",NA,NA,"2023-06-21 11:07:59","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.03492 45.64554)"
3343927856,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/91844504","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Colias","Colias croceus","","SPECIES","Colias croceus (Geoffroy, 1785)","Colias croceus",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.64106,10.03611,183,NA,NA,NA,NA,NA,"2021-08-20T14:10:27",20,8,2021,5137612,5137612,"HUMAN_OBSERVATION","iNaturalist","Observations","91844504",NA,"Gabriele La Grasta","2021-08-20T13:29:48","CC_BY_NC_4_0","Gabriele La Grasta","Gabriele La Grasta",NA,NA,"2023-06-21 11:08:16","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.03611 45.64106)"
3333375983,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/88512332","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Colias","Colias croceus","","SPECIES","Colias croceus (Geoffroy, 1785)","Colias croceus",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.63791,10.0296,194,NA,NA,NA,NA,NA,"2021-07-22T10:08:00",22,7,2021,5137612,5137612,"HUMAN_OBSERVATION","iNaturalist","Observations","88512332",NA,"Gabriele La Grasta","2021-07-25T09:09:39","CC_BY_NC_4_0","Gabriele La Grasta","Gabriele La Grasta",NA,NA,"2023-06-21 11:18:10","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.0296 45.63791)"
1889259863,"6ac3f774-d9fb-4796-b3e9-92bf6c81c084","","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Colias","Colias croceus","","SPECIES","Colias croceus (Geoffroy, 1785)","Colias croceus",NA,"IT","Torbiere del Sebino","","PRESENT",NA,"bb646dff-a905-4403-a49b-6d378c2cf0d9",45.64393,10.02734,250,NA,NA,NA,NA,NA,"2018-07-19T00:00:00",19,7,2018,5137612,5137612,"HUMAN_OBSERVATION","naturgucker","naturgucker","1639450156",NA,"","","CC_BY_4_0","","-1284495155",NA,NA,"2023-06-07 15:02:24","","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.02734 45.64393)"
