"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
4129771234,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/165113657","Animalia","Chordata","Aves","Columbiformes","Columbidae","Columba","Columba palumbus","","SPECIES","Columba palumbus Linnaeus, 1758","Columba palumbus",NA,"IT","","Sicily","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",36.80296,15.09969,NA,NA,NA,NA,NA,NA,"2023-05-31T13:04:08",31,5,2023,2495455,2495455,"HUMAN_OBSERVATION","iNaturalist","Observations","165113657",NA,"lorenzodotti","2023-06-02T10:35:59","CC_BY_NC_4_0","lorenzodotti","lorenzodotti",NA,NA,"2023-06-14 10:15:07","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09969 36.80296)"
4127207484,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/164588700","Animalia","Chordata","Aves","Columbiformes","Columbidae","Columba","Columba palumbus","","SPECIES","Columba palumbus Linnaeus, 1758","Columba palumbus",NA,"IT","","Sicily","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",36.80008,15.09362,NA,NA,NA,NA,NA,NA,"2023-05-23T09:30:00",23,5,2023,2495455,2495455,"HUMAN_OBSERVATION","iNaturalist","Observations","164588700",NA,"Ricardo Rodero Henández","2023-05-30T06:46:46","CC_BY_NC_4_0","Ricardo Rodero Henández","Ricardo Rodero Henández",NA,NA,"2023-06-14 09:55:26","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09362 36.80008)"
4126995446,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/164387129","Animalia","Chordata","Aves","Columbiformes","Columbidae","Columba","Columba palumbus","","SPECIES","Columba palumbus Linnaeus, 1758","Columba palumbus",NA,"IT","","Sicily","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",36.78417,15.08898,359,NA,NA,NA,NA,NA,"2023-05-21T09:26:00",21,5,2023,2495455,2495455,"HUMAN_OBSERVATION","iNaturalist","Observations","164387129",NA,"Ricardo Rodero Henández","2023-05-29T09:23:10","CC_BY_NC_4_0","Ricardo Rodero Henández","Ricardo Rodero Henández",NA,NA,"2023-06-14 10:14:46","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.08898 36.78417)"
3760356856,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/111395586","Animalia","Chordata","Aves","Columbiformes","Columbidae","Columba","Columba palumbus","","SPECIES","Columba palumbus Linnaeus, 1758","Columba palumbus",NA,"IT","","Sicily","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",36.80367,15.09865,NA,NA,NA,NA,NA,NA,"2019-04-30T12:29:00",30,4,2019,2495455,2495455,"HUMAN_OBSERVATION","iNaturalist","Observations","111395586",NA,"Luca Boscain","2022-04-14T09:39:02","CC_BY_NC_4_0","Luca Boscain","Luca Boscain",NA,NA,"2023-06-14 09:50:47","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09865 36.80367)"
3760056869,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/111395315","Animalia","Chordata","Aves","Columbiformes","Columbidae","Columba","Columba palumbus","","SPECIES","Columba palumbus Linnaeus, 1758","Columba palumbus",NA,"IT","","Sicily","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",36.8263,15.08773,NA,NA,NA,NA,NA,NA,"2019-04-30T10:41:00",30,4,2019,2495455,2495455,"HUMAN_OBSERVATION","iNaturalist","Observations","111395315",NA,"Luca Boscain","2022-04-14T09:31:26","CC_BY_NC_4_0","Luca Boscain","Luca Boscain",NA,NA,"2023-06-14 09:50:50","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.08773 36.8263)"
3603998063,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1204041548","Animalia","Chordata","Aves","Columbiformes","Columbidae","Columba","Columba palumbus","","SPECIES","Columba palumbus Linnaeus, 1758","Columba palumbus",NA,"IT","Oasi di Vendicari, Riserva Naturale","Sicilia","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.80421,15.09333,NA,NA,NA,NA,NA,NA,"2021-07-20T00:00:00",20,7,2021,2495455,2495455,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1204041548",NA,"","","CC_BY_4_0","","obsr1218083",NA,NA,"2023-06-07 15:31:49","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09333 36.80421)"
3567895064,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1260010179","Animalia","Chordata","Aves","Columbiformes","Columbidae","Columba","Columba palumbus","","SPECIES","Columba palumbus Linnaeus, 1758","Columba palumbus",NA,"IT","Riserva Naturali Oasi Faunistica di Vendicari, Noto IT-Sicily 36.80582, 15.09084","Sicilia","PRESENT",16,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.80582,15.09084,NA,NA,NA,NA,NA,NA,"2021-10-17T00:00:00",17,10,2021,2495455,2495455,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1260010179",NA,"","","CC_BY_4_0","","obsr1399206",NA,NA,"2023-06-07 15:17:16","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09084 36.80582)"
3558325504,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1295626272","Animalia","Chordata","Aves","Columbiformes","Columbidae","Columba","Columba palumbus","","SPECIES","Columba palumbus Linnaeus, 1758","Columba palumbus",NA,"IT","Riserva Naturale Oasi Faunistica Vendicari, Noto IT-Sicily (36.8041,15.0934)","Sicilia","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.80409,15.09339,NA,NA,NA,NA,NA,NA,"2021-12-14T00:00:00",14,12,2021,2495455,2495455,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1295626272",NA,"","","CC_BY_4_0","","obsr1218083",NA,NA,"2023-06-07 15:36:07","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09339 36.80409)"
3296031402,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1006054112","Animalia","Chordata","Aves","Columbiformes","Columbidae","Columba","Columba palumbus","","SPECIES","Columba palumbus Linnaeus, 1758","Columba palumbus",NA,"IT","Oasi di Vendicari","Sicilia","PRESENT",NA,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.80794,15.105,NA,NA,NA,NA,NA,NA,"2020-11-01T00:00:00",1,11,2020,2495455,2495455,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1006054112",NA,"","","CC_BY_4_0","","obsr1090608",NA,NA,"2023-06-07 15:12:56","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.105 36.80794)"
3262336097,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS988986447","Animalia","Chordata","Aves","Columbiformes","Columbidae","Columba","Columba palumbus","","SPECIES","Columba palumbus Linnaeus, 1758","Columba palumbus",NA,"IT","Oasi di Vendicari, Riserva Naturale","Sicilia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",36.80421,15.09333,NA,NA,NA,NA,NA,NA,"2020-09-30T00:00:00",30,9,2020,2495455,2495455,"HUMAN_OBSERVATION","CLO","EBIRD","OBS988986447",NA,"","","CC_BY_4_0","","obsr834385",NA,NA,"2023-06-07 15:12:49","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (15.09333 36.80421)"
