"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
3675105166,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1254338770","Animalia","Chordata","Aves","Columbiformes","Columbidae","Columba","Columba palumbus","","SPECIES","Columba palumbus Linnaeus, 1758","Columba palumbus",NA,"IT","Valli di Argenta--settore Sud (south sector)","Emilia-Romagna","PRESENT",20,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.5711,11.83676,NA,NA,NA,NA,NA,NA,"2021-10-09T00:00:00",9,10,2021,2495455,2495455,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1254338770",NA,"","","CC_BY_4_0","","obsr608674",NA,NA,"2023-06-07 15:14:40","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.83676 44.5711)"
3634635121,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1046829066","Animalia","Chordata","Aves","Columbiformes","Columbidae","Columba","Columba palumbus","","SPECIES","Columba palumbus Linnaeus, 1758","Columba palumbus",NA,"IT","Valli di Argenta--settore Sud (south sector)","Emilia-Romagna","PRESENT",30,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.5711,11.83676,NA,NA,NA,NA,NA,NA,"2021-01-08T00:00:00",8,1,2021,2495455,2495455,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1046829066",NA,"","","CC_BY_4_0","","obsr608674",NA,NA,"2023-06-07 15:13:17","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.83676 44.5711)"
3603735878,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1121715675","Animalia","Chordata","Aves","Columbiformes","Columbidae","Columba","Columba palumbus","","SPECIES","Columba palumbus Linnaeus, 1758","Columba palumbus",NA,"IT","Valli di Argenta--settore Sud (south sector)","Emilia-Romagna","PRESENT",20,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.5711,11.83676,NA,NA,NA,NA,NA,NA,"2021-04-15T00:00:00",15,4,2021,2495455,2495455,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1121715675",NA,"","","CC_BY_4_0","","obsr608674",NA,NA,"2023-06-07 15:16:22","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.83676 44.5711)"
3592260545,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1091078042","Animalia","Chordata","Aves","Columbiformes","Columbidae","Columba","Columba palumbus","","SPECIES","Columba palumbus Linnaeus, 1758","Columba palumbus",NA,"IT","Valli di Argenta--settore Sud (south sector)","Emilia-Romagna","PRESENT",50,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.5711,11.83676,NA,NA,NA,NA,NA,NA,"2021-03-09T00:00:00",9,3,2021,2495455,2495455,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1091078042",NA,"","","CC_BY_4_0","","obsr608674",NA,NA,"2023-06-07 15:28:45","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.83676 44.5711)"
3571503656,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1274972820","Animalia","Chordata","Aves","Columbiformes","Columbidae","Columba","Columba palumbus","","SPECIES","Columba palumbus Linnaeus, 1758","Columba palumbus",NA,"IT","Valli di Argenta--settore Sud (south sector)","Emilia-Romagna","PRESENT",50,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.5711,11.83676,NA,NA,NA,NA,NA,NA,"2021-11-10T00:00:00",10,11,2021,2495455,2495455,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1274972820",NA,"","","CC_BY_4_0","","obsr608674",NA,NA,"2023-06-07 15:17:04","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.83676 44.5711)"
3549704540,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1155877826","Animalia","Chordata","Aves","Columbiformes","Columbidae","Columba","Columba palumbus","","SPECIES","Columba palumbus Linnaeus, 1758","Columba palumbus",NA,"IT","Valli di Argenta--settore Sud (south sector)","Emilia-Romagna","PRESENT",30,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.5711,11.83676,NA,NA,NA,NA,NA,NA,"2021-05-15T00:00:00",15,5,2021,2495455,2495455,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1155877826",NA,"","","CC_BY_4_0","","obsr608674",NA,NA,"2023-06-07 15:29:28","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.83676 44.5711)"
3544324710,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1250022092","Animalia","Chordata","Aves","Columbiformes","Columbidae","Columba","Columba palumbus","","SPECIES","Columba palumbus Linnaeus, 1758","Columba palumbus",NA,"IT","Valli di Argenta--settore Sud (south sector)","Emilia-Romagna","PRESENT",50,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.5711,11.83676,NA,NA,NA,NA,NA,NA,"2021-10-04T00:00:00",4,10,2021,2495455,2495455,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1250022092",NA,"","","CC_BY_4_0","","obsr608674",NA,NA,"2023-06-07 15:31:21","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.83676 44.5711)"
3538986439,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1286777132","Animalia","Chordata","Aves","Columbiformes","Columbidae","Columba","Columba palumbus","","SPECIES","Columba palumbus Linnaeus, 1758","Columba palumbus",NA,"IT","Valli di Argenta--settore Sud (south sector)","Emilia-Romagna","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.5711,11.83676,NA,NA,NA,NA,NA,NA,"2021-11-30T00:00:00",30,11,2021,2495455,2495455,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1286777132",NA,"","","CC_BY_4_0","","obsr670438",NA,NA,"2023-06-07 15:15:46","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.83676 44.5711)"
3516871921,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1075966144","Animalia","Chordata","Aves","Columbiformes","Columbidae","Columba","Columba palumbus","","SPECIES","Columba palumbus Linnaeus, 1758","Columba palumbus",NA,"IT","Valli di Argenta--settore Sud (south sector)","Emilia-Romagna","PRESENT",5,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.5711,11.83676,NA,NA,NA,NA,NA,NA,"2021-02-16T00:00:00",16,2,2021,2495455,2495455,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1075966144",NA,"","","CC_BY_4_0","","obsr608674",NA,NA,"2023-06-07 15:29:18","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.83676 44.5711)"
3225353888,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS876090365","Animalia","Chordata","Aves","Columbiformes","Columbidae","Columba","Columba palumbus","","SPECIES","Columba palumbus Linnaeus, 1758","Columba palumbus",NA,"IT","Valli di Argenta--settore Sud (south sector)","Emilia-Romagna","PRESENT",30,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.5711,11.83676,NA,NA,NA,NA,NA,NA,"2020-03-09T00:00:00",9,3,2020,2495455,2495455,"HUMAN_OBSERVATION","CLO","EBIRD","OBS876090365",NA,"","","CC_BY_4_0","","obsr608674",NA,NA,"2023-06-07 15:26:29","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (11.83676 44.5711)"
