"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
3784666863,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/117180822","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus cornix","","SPECIES","Corvus cornix Linnaeus, 1758","Corvus cornix",NA,"IT","","Lazio","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",41.36698,12.94706,61,NA,NA,NA,NA,NA,"2022-05-15 11:47:00",15,5,2022,2482515,2482515,"HUMAN_OBSERVATION","iNaturalist","Observations","117180822",NA,"Michele Chiacchio","2022-05-15 18:28:36","CC_BY_NC_4_0","Michele Chiacchio","Michele Chiacchio",NA,"","2023-06-14 09:51:35","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.94706 41.36698)"
3665312029,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1066877534","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus cornix","","SPECIES","Corvus cornix Linnaeus, 1758","Corvus cornix",NA,"IT","Lago dei Monaci, Sabaudia IT-Lazio 41.38549, 12.93311","Lazio","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.38549,12.93311,NA,NA,NA,NA,NA,NA,"2021-02-06 00:00:00",6,2,2021,2482515,2482515,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1066877534",NA,"",NA,"CC_BY_4_0","","obsr668799",NA,"","2023-06-07 15:28:02","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.93311 41.38549)"
3564157350,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1146150354","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus cornix","","SPECIES","Corvus cornix Linnaeus, 1758","Corvus cornix",NA,"IT","Lago dei Monaci, Sabaudia IT-Lazio 41.38549, 12.93311","Lazio","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.38549,12.93311,NA,NA,NA,NA,NA,NA,"2021-05-08 00:00:00",8,5,2021,2482515,2482515,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1146150354",NA,"",NA,"CC_BY_4_0","","obsr819422",NA,"","2023-06-07 15:15:40","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.93311 41.38549)"
3519080909,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1145955175","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus cornix","","SPECIES","Corvus cornix Linnaeus, 1758","Corvus cornix",NA,"IT","Lago dei Monaci, Sabaudia IT-Lazio 41.38549, 12.93311","Lazio","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.38549,12.93311,NA,NA,NA,NA,NA,NA,"2021-05-08 00:00:00",8,5,2021,2482515,2482515,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1145955175",NA,"",NA,"CC_BY_4_0","","obsr668799",NA,"","2023-06-07 15:13:46","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.93311 41.38549)"
3297560569,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1009508341","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus cornix","","SPECIES","Corvus cornix Linnaeus, 1758","Corvus cornix",NA,"IT","Rio Martino / Lago dei Monaci","Lazio","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.3853,12.92387,NA,NA,NA,NA,NA,NA,"2020-11-07 00:00:00",7,11,2020,2482515,2482515,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1009508341",NA,"",NA,"CC_BY_4_0","","obsr1108502",NA,"","2023-06-07 15:33:15","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.92387 41.3853)"
3290983764,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS994725262","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus cornix","","SPECIES","Corvus cornix Linnaeus, 1758","Corvus cornix",NA,"IT","Rio Martino / Lago dei Monaci","Lazio","PRESENT",8,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.3853,12.92387,NA,NA,NA,NA,NA,NA,"2020-10-12 00:00:00",12,10,2020,2482515,2482515,"HUMAN_OBSERVATION","CLO","EBIRD","OBS994725262",NA,"",NA,"CC_BY_4_0","","obsr1473331",NA,"","2023-06-07 15:27:50","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.92387 41.3853)"
3289998091,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1009507724","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus cornix","","SPECIES","Corvus cornix Linnaeus, 1758","Corvus cornix",NA,"IT","Rio Martino / Lago dei Monaci","Lazio","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.3853,12.92387,NA,NA,NA,NA,NA,NA,"2020-11-07 00:00:00",7,11,2020,2482515,2482515,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1009507724",NA,"",NA,"CC_BY_4_0","","obsr819422",NA,"","2023-06-07 15:28:22","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.92387 41.3853)"
3210284559,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1027948821","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus cornix","","SPECIES","Corvus cornix Linnaeus, 1758","Corvus cornix",NA,"IT","Lago dei Monaci, Sabaudia IT-Lazio 41.38549, 12.93311","Lazio","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.38549,12.93311,NA,NA,NA,NA,NA,NA,"2020-12-13 00:00:00",13,12,2020,2482515,2482515,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1027948821",NA,"",NA,"CC_BY_4_0","","obsr668799",NA,"","2023-06-07 15:39:44","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.93311 41.38549)"
2735679151,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS715342519","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus cornix","","SPECIES","Corvus cornix Linnaeus, 1758","Corvus cornix",NA,"IT","Lago dei Monaci (zona umida IWC)","Lazio","PRESENT",30,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.38126,12.9321,NA,NA,NA,NA,NA,NA,"2019-02-17 00:00:00",17,2,2019,2482515,2482515,"HUMAN_OBSERVATION","CLO","EBIRD","OBS715342519",NA,"",NA,"CC_BY_4_0","","obsr212715",NA,"","2023-06-07 15:24:52","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.9321 41.38126)"
2731258255,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS728588264","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus cornix","","SPECIES","Corvus cornix Linnaeus, 1758","Corvus cornix",NA,"IT","Unnamed Road, Sabaudia, Lazio, IT (41.368, 12.943)","Lazio","PRESENT",NA,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.36762,12.94318,NA,NA,NA,NA,NA,NA,"2019-03-24 00:00:00",24,3,2019,2482515,2482515,"HUMAN_OBSERVATION","CLO","EBIRD","OBS728588264",NA,"",NA,"CC_BY_4_0","","obsr772762",NA,"","2023-06-07 15:08:49","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.94318 41.36762)"
