"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
3825009180,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/157612724","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus cornix","","SPECIES","Corvus cornix Linnaeus, 1758","Corvus cornix",NA,"IT","Italy - Castel Volturno (comuni)","","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",41.02359,13.93354,25,NA,NA,NA,NA,NA,"2018-05-05 00:00:00",5,5,2018,2482515,2482515,"HUMAN_OBSERVATION","","Observations","OBS.157612724",NA,"",NA,"CC_BY_NC_4_0","Stichting Observation International","User 100414",NA,"","2023-06-13 15:56:50","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (13.93354 41.02359)"
3695091728,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1332570523","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus cornix","","SPECIES","Corvus cornix Linnaeus, 1758","Corvus cornix",NA,"IT","Oasi dei Variconi","Campania","PRESENT",10,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02252,13.93077,NA,NA,NA,NA,NA,NA,"2014-09-23 00:00:00",23,9,2014,2482515,2482515,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1332570523",NA,"",NA,"CC_BY_4_0","","obsr917699",NA,"","2023-06-07 15:30:13","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93077 41.02252)"
3687590175,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1225147729","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus cornix","","SPECIES","Corvus cornix Linnaeus, 1758","Corvus cornix",NA,"IT","Variconi","Campania","PRESENT",6,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02203,13.93208,NA,NA,NA,NA,NA,NA,"2021-08-27 00:00:00",27,8,2021,2482515,2482515,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1225147729",NA,"",NA,"CC_BY_4_0","","obsr212715",NA,"","2023-06-07 15:15:43","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93208 41.02203)"
3676170465,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1061485912","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus cornix","","SPECIES","Corvus cornix Linnaeus, 1758","Corvus cornix",NA,"IT","Oasi dei Variconi","Campania","PRESENT",4,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02252,13.93077,NA,NA,NA,NA,NA,NA,"2021-01-28 00:00:00",28,1,2021,2482515,2482515,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1061485912",NA,"",NA,"CC_BY_4_0","","obsr917699",NA,"","2023-06-07 15:33:26","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93077 41.02252)"
3675051311,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1156409517","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus cornix","","SPECIES","Corvus cornix Linnaeus, 1758","Corvus cornix",NA,"IT","Oasi dei Variconi","Campania","PRESENT",4,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02252,13.93077,NA,NA,NA,NA,NA,NA,"2021-05-14 00:00:00",14,5,2021,2482515,2482515,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1156409517",NA,"",NA,"CC_BY_4_0","","obsr819422",NA,"","2023-06-07 15:13:43","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93077 41.02252)"
3674232162,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1227563809","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus cornix","","SPECIES","Corvus cornix Linnaeus, 1758","Corvus cornix",NA,"IT","Oasi dei Variconi","Campania","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02252,13.93077,NA,NA,NA,NA,NA,NA,"2021-08-31 00:00:00",31,8,2021,2482515,2482515,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1227563809",NA,"",NA,"CC_BY_4_0","","obsr1068637",NA,"","2023-06-07 15:17:39","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93077 41.02252)"
3673768473,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1099756136","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus cornix","","SPECIES","Corvus cornix Linnaeus, 1758","Corvus cornix",NA,"IT","Variconi","Campania","PRESENT",20,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02203,13.93208,NA,NA,NA,NA,NA,NA,"2021-03-19 00:00:00",19,3,2021,2482515,2482515,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1099756136",NA,"",NA,"CC_BY_4_0","","obsr212715",NA,"","2023-06-07 15:28:01","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93208 41.02203)"
3665804417,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1065680772","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus cornix","","SPECIES","Corvus cornix Linnaeus, 1758","Corvus cornix",NA,"IT","Variconi","Campania","PRESENT",20,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02203,13.93208,NA,NA,NA,NA,NA,NA,"2021-01-30 00:00:00",30,1,2021,2482515,2482515,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1065680772",NA,"",NA,"CC_BY_4_0","","obsr212715",NA,"","2023-06-07 15:30:00","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93208 41.02203)"
3657798761,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1303605521","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus cornix","","SPECIES","Corvus cornix Linnaeus, 1758","Corvus cornix",NA,"IT","Oasi dei Variconi","Campania","PRESENT",23,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02252,13.93077,NA,NA,NA,NA,NA,NA,"2021-12-22 00:00:00",22,12,2021,2482515,2482515,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1303605521",NA,"",NA,"CC_BY_4_0","","obsr917699",NA,"","2023-06-07 15:30:26","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93077 41.02252)"
3652154832,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1195286644","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus cornix","","SPECIES","Corvus cornix Linnaeus, 1758","Corvus cornix",NA,"IT","Oasi dei Variconi","Campania","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02252,13.93077,NA,NA,NA,NA,NA,NA,"2021-07-05 00:00:00",5,7,2021,2482515,2482515,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1195286644",NA,"",NA,"CC_BY_4_0","","obsr736226",NA,"","2023-06-07 15:28:54","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93077 41.02252)"
