"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
3662944975,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1277159374","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus cornix","","SPECIES","Corvus cornix Linnaeus, 1758","Corvus cornix",NA,"IT","Saline di Trapani--Ovest","Sicilia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",38.00292,12.50981,NA,NA,NA,NA,NA,NA,"2021-11-14 00:00:00",14,11,2021,2482515,2482515,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1277159374",NA,"",NA,"CC_BY_4_0","","obsr1622555",NA,"","2023-06-07 15:32:38","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.50981 38.00292)"
3627350464,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1276358311","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus cornix","","SPECIES","Corvus cornix Linnaeus, 1758","Corvus cornix",NA,"IT","Saline di Trapani--Ovest","Sicilia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",38.00292,12.50981,NA,NA,NA,NA,NA,NA,"2021-11-13 00:00:00",13,11,2021,2482515,2482515,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1276358311",NA,"",NA,"CC_BY_4_0","","obsr1622555",NA,"","2023-06-07 15:33:11","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.50981 38.00292)"
3617767014,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1228212627","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus cornix","","SPECIES","Corvus cornix Linnaeus, 1758","Corvus cornix",NA,"IT","Saline di Trapani--Nord","Sicilia","PRESENT",NA,"e2e717bf-551a-4917-bdc9-4fa0f342c530",37.99325,12.53274,NA,NA,NA,NA,NA,NA,"2021-08-21 00:00:00",21,8,2021,2482515,2482515,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1228212627",NA,"",NA,"CC_BY_4_0","","obsr1608671",NA,"","2023-06-07 15:32:45","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.53274 37.99325)"
3562322464,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1281422710","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus cornix","","SPECIES","Corvus cornix Linnaeus, 1758","Corvus cornix",NA,"IT","Saline di Trapani--Ovest","Sicilia","PRESENT",5,"e2e717bf-551a-4917-bdc9-4fa0f342c530",38.00292,12.50981,NA,NA,NA,NA,NA,NA,"2021-11-21 00:00:00",21,11,2021,2482515,2482515,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1281422710",NA,"",NA,"CC_BY_4_0","","obsr1622555",NA,"","2023-06-07 15:15:22","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.50981 38.00292)"
3544850466,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1280686773","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus cornix","","SPECIES","Corvus cornix Linnaeus, 1758","Corvus cornix",NA,"IT","Saline di Trapani--Ovest","Sicilia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",38.00292,12.50981,NA,NA,NA,NA,NA,NA,"2021-11-20 00:00:00",20,11,2021,2482515,2482515,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1280686773",NA,"",NA,"CC_BY_4_0","","obsr1622555",NA,"","2023-06-07 15:15:27","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.50981 38.00292)"
3534676218,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1273927899","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus cornix","","SPECIES","Corvus cornix Linnaeus, 1758","Corvus cornix",NA,"IT","Saline di Trapani--Nord","Sicilia","PRESENT",5,"e2e717bf-551a-4917-bdc9-4fa0f342c530",37.99325,12.53274,NA,NA,NA,NA,NA,NA,"2021-11-09 00:00:00",9,11,2021,2482515,2482515,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1273927899",NA,"",NA,"CC_BY_4_0","","obsr1622555",NA,"","2023-06-07 15:16:46","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.53274 37.99325)"
2205780367,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS665927452","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus cornix","","SPECIES","Corvus cornix Linnaeus, 1758","Corvus cornix",NA,"IT","Resirva Naturale Saline Trapani","Sicilia","PRESENT",4,"e2e717bf-551a-4917-bdc9-4fa0f342c530",37.99495,12.53495,NA,NA,NA,NA,NA,NA,"2018-10-12 00:00:00",12,10,2018,2482515,2482515,"HUMAN_OBSERVATION","CLO","EBIRD","OBS665927452",NA,"",NA,"CC_BY_4_0","","obsr477983",NA,"","2023-06-07 15:22:50","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.53495 37.99495)"
2123014269,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS560775866","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus cornix","","SPECIES","Corvus cornix Linnaeus, 1758","Corvus cornix",NA,"IT","Salinagrande","Sicilia","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",37.9591,12.50534,NA,NA,NA,NA,NA,NA,"2015-10-11 00:00:00",11,10,2015,2482515,2482515,"HUMAN_OBSERVATION","CLO","EBIRD","OBS560775866",NA,"",NA,"CC_BY_4_0","","obsr23890",NA,"","2023-06-07 15:27:16","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.50534 37.9591)"
2091697964,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS525053993","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus cornix","","SPECIES","Corvus cornix Linnaeus, 1758","Corvus cornix",NA,"IT","Saline di Trapani--Nord","Sicilia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",37.99325,12.53274,NA,NA,NA,NA,NA,NA,"2017-05-07 00:00:00",7,5,2017,2482515,2482515,"HUMAN_OBSERVATION","CLO","EBIRD","OBS525053993",NA,"",NA,"CC_BY_4_0","","obsr215832",NA,"","2023-06-07 15:06:16","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.53274 37.99325)"
2077713885,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD_TX:OBS514214646","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus cornix","","SPECIES","Corvus cornix Linnaeus, 1758","Corvus cornix",NA,"IT","Saline di Trapani--Nord","Sicilia","PRESENT",NA,"e2e717bf-551a-4917-bdc9-4fa0f342c530",37.99325,12.53274,NA,NA,NA,NA,NA,NA,"2017-05-07 00:00:00",7,5,2017,2482515,2482515,"HUMAN_OBSERVATION","CLO","EBIRD_TX","OBS514214646",NA,"",NA,"CC_BY_4_0","","obsr31143",NA,"","2023-06-07 15:06:52","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.53274 37.99325)"
2074715651,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS525299591","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus cornix","","SPECIES","Corvus cornix Linnaeus, 1758","Corvus cornix",NA,"IT","Saline di Trapani--Nord","Sicilia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",37.99325,12.53274,NA,NA,NA,NA,NA,NA,"2017-05-07 00:00:00",7,5,2017,2482515,2482515,"HUMAN_OBSERVATION","CLO","EBIRD","OBS525299591",NA,"",NA,"CC_BY_4_0","","obsr454809",NA,"","2023-06-07 15:05:29","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.53274 37.99325)"
