"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
3746985640,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/108977691","Animalia","Chordata","Aves","Passeriformes","Corvidae","Coloeus","Coloeus monedula",NA,"SPECIES","Corvus monedula Linnaeus, 1758","Corvus monedula",NA,"IT","","Lazio","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",41.39852,12.91197,401,NA,NA,NA,NA,NA,"2022-03-19T17:33:00",19,3,2022,2482473,6100954,"HUMAN_OBSERVATION","iNaturalist","Observations","108977691",NA,"Andrea Maurici","2022-03-19T20:15:38","CC_BY_4_0","Daniel Pizzoni","Daniel Pizzoni",NA,NA,"2023-06-14 09:50:58","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.91197 41.39852)"
3654875775,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1245203351","Animalia","Chordata","Aves","Passeriformes","Corvidae","Coloeus","Coloeus monedula",NA,"SPECIES","Corvus monedula Linnaeus, 1758","Corvus monedula",NA,"IT","Pantani di Cicerchia","Lazio","PRESENT",NA,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.41136,12.90252,NA,NA,NA,NA,NA,NA,"2021-09-22T00:00:00",22,9,2021,2482473,6100954,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1245203351",NA,"","","CC_BY_4_0","","obsr1610518",NA,NA,"2023-06-07 15:28:32","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.90252 41.41136)"
3603223309,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1079524139","Animalia","Chordata","Aves","Passeriformes","Corvidae","Coloeus","Coloeus monedula",NA,"SPECIES","Corvus monedula Linnaeus, 1758","Corvus monedula",NA,"IT","Lago di Fogliano","Lazio","PRESENT",6,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.40134,12.89731,NA,NA,NA,NA,NA,NA,"2021-02-21T00:00:00",21,2,2021,2482473,6100954,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1079524139",NA,"","","CC_BY_4_0","","obsr358977",NA,NA,"2023-06-07 15:13:37","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.89731 41.40134)"
3596524854,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1089329393","Animalia","Chordata","Aves","Passeriformes","Corvidae","Coloeus","Coloeus monedula",NA,"SPECIES","Corvus monedula Linnaeus, 1758","Corvus monedula",NA,"IT","Lago di Fogliano","Lazio","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.40134,12.89731,NA,NA,NA,NA,NA,NA,"2021-03-07T00:00:00",7,3,2021,2482473,6100954,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1089329393",NA,"","","CC_BY_4_0","","obsr668799",NA,NA,"2023-06-07 15:12:56","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.89731 41.40134)"
2795487152,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS823813324","Animalia","Chordata","Aves","Passeriformes","Corvidae","Coloeus","Coloeus monedula",NA,"SPECIES","Corvus monedula Linnaeus, 1758","Corvus monedula",NA,"IT","Lago di Fogliano","Lazio","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.40134,12.89731,NA,NA,NA,NA,NA,NA,"2019-11-03T00:00:00",3,11,2019,2482473,6100954,"HUMAN_OBSERVATION","CLO","EBIRD","OBS823813324",NA,"","","CC_BY_4_0","","obsr668799",NA,NA,"2023-06-07 15:27:21","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.89731 41.40134)"
2746935317,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS751539499","Animalia","Chordata","Aves","Passeriformes","Corvidae","Coloeus","Coloeus monedula",NA,"SPECIES","Corvus monedula Linnaeus, 1758","Corvus monedula",NA,"IT","Lago di Fogliano","Lazio","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.40134,12.89731,NA,NA,NA,NA,NA,NA,"2016-12-01T00:00:00",1,12,2016,2482473,6100954,"HUMAN_OBSERVATION","CLO","EBIRD","OBS751539499",NA,"","","CC_BY_4_0","","obsr1240819",NA,NA,"2023-06-07 15:09:12","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.89731 41.40134)"
2732693675,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS723836437","Animalia","Chordata","Aves","Passeriformes","Corvidae","Coloeus","Coloeus monedula",NA,"SPECIES","Corvus monedula Linnaeus, 1758","Corvus monedula",NA,"IT","Lago di Fogliano","Lazio","PRESENT",4,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.40134,12.89731,NA,NA,NA,NA,NA,NA,"2019-03-13T00:00:00",13,3,2019,2482473,6100954,"HUMAN_OBSERVATION","CLO","EBIRD","OBS723836437",NA,"","","CC_BY_4_0","","obsr411224",NA,NA,"2023-06-07 15:24:02","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.89731 41.40134)"
2707782226,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS823841686","Animalia","Chordata","Aves","Passeriformes","Corvidae","Coloeus","Coloeus monedula",NA,"SPECIES","Corvus monedula Linnaeus, 1758","Corvus monedula",NA,"IT","Lago di Fogliano","Lazio","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.40134,12.89731,NA,NA,NA,NA,NA,NA,"2019-11-03T00:00:00",3,11,2019,2482473,6100954,"HUMAN_OBSERVATION","CLO","EBIRD","OBS823841686",NA,"","","CC_BY_4_0","","obsr819422",NA,NA,"2023-06-07 15:24:40","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.89731 41.40134)"
2705663393,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS823909285","Animalia","Chordata","Aves","Passeriformes","Corvidae","Coloeus","Coloeus monedula",NA,"SPECIES","Corvus monedula Linnaeus, 1758","Corvus monedula",NA,"IT","Lago di Fogliano","Lazio","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.40134,12.89731,NA,NA,NA,NA,NA,NA,"2019-11-03T00:00:00",3,11,2019,2482473,6100954,"HUMAN_OBSERVATION","CLO","EBIRD","OBS823909285",NA,"","","CC_BY_4_0","","obsr623650",NA,NA,"2023-06-07 15:09:41","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.89731 41.40134)"
2046234997,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS474405449","Animalia","Chordata","Aves","Passeriformes","Corvidae","Coloeus","Coloeus monedula",NA,"SPECIES","Corvus monedula Linnaeus, 1758","Corvus monedula",NA,"IT","Pantani di Cicerchia","Lazio","PRESENT",NA,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.41136,12.90252,NA,NA,NA,NA,NA,NA,"2017-03-11T00:00:00",11,3,2017,2482473,6100954,"HUMAN_OBSERVATION","CLO","EBIRD","OBS474405449",NA,"","","CC_BY_4_0","","obsr163746",NA,NA,"2023-06-07 15:22:44","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.90252 41.41136)"
1773719875,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS443264041","Animalia","Chordata","Aves","Passeriformes","Corvidae","Coloeus","Coloeus monedula",NA,"SPECIES","Corvus monedula Linnaeus, 1758","Corvus monedula",NA,"IT","Dormitori dei chiurli","Lazio","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.4025,12.88033,NA,NA,NA,NA,NA,NA,"2016-11-13T00:00:00",13,11,2016,2482473,6100954,"HUMAN_OBSERVATION","CLO","EBIRD","OBS443264041",NA,"","","CC_BY_4_0","","obsr536183",NA,NA,"2023-06-07 15:20:13","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.88033 41.4025)"
1773718348,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS443261117","Animalia","Chordata","Aves","Passeriformes","Corvidae","Coloeus","Coloeus monedula",NA,"SPECIES","Corvus monedula Linnaeus, 1758","Corvus monedula",NA,"IT","Pantani di Cicerchia","Lazio","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.41136,12.90252,NA,NA,NA,NA,NA,NA,"2016-11-13T00:00:00",13,11,2016,2482473,6100954,"HUMAN_OBSERVATION","CLO","EBIRD","OBS443261117",NA,"","","CC_BY_4_0","","obsr536183",NA,NA,"2023-06-07 15:08:55","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.90252 41.41136)"
1762041720,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS430550624","Animalia","Chordata","Aves","Passeriformes","Corvidae","Coloeus","Coloeus monedula",NA,"SPECIES","Corvus monedula Linnaeus, 1758","Corvus monedula",NA,"IT","Pantani di Cicerchia","Lazio","PRESENT",4,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.41136,12.90252,NA,NA,NA,NA,NA,NA,"2016-09-17T00:00:00",17,9,2016,2482473,6100954,"HUMAN_OBSERVATION","CLO","EBIRD","OBS430550624",NA,"","","CC_BY_4_0","","obsr536183",NA,NA,"2023-06-07 15:05:07","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.90252 41.41136)"
