"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
3773157825,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/113465451","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Cuculus","Cuculus canorus","","SPECIES","Cuculus canorus Linnaeus, 1758","Cuculus canorus",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",46.16211,9.38412,NA,NA,NA,NA,NA,NA,"2022-04-29T15:59:00",29,4,2022,5231918,5231918,"HUMAN_OBSERVATION","iNaturalist","Observations","113465451",NA,"lellodellario","2022-04-29T16:57:09","CC_BY_NC_4_0","lellodellario","lellodellario",NA,NA,"2023-06-14 10:09:00","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.38412 46.16211)"
3688665900,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1196074778","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Cuculus","Cuculus canorus","","SPECIES","Cuculus canorus Linnaeus, 1758","Cuculus canorus",NA,"IT","Riserva Naturale Pian di Spagna e Lago di Mezzola","Lombardia","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",46.18102,9.42953,NA,NA,NA,NA,NA,NA,"2021-07-03T00:00:00",3,7,2021,5231918,5231918,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1196074778",NA,"","","CC_BY_4_0","","obsr112627",NA,NA,"2023-06-07 15:15:06","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.42953 46.18102)"
3659422553,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1263517669","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Cuculus","Cuculus canorus","","SPECIES","Cuculus canorus Linnaeus, 1758","Cuculus canorus",NA,"IT","Foce del fiume Adda","Lombardia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",46.15603,9.38126,NA,NA,NA,NA,NA,NA,"2021-05-15T00:00:00",15,5,2021,5231918,5231918,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1263517669",NA,"","","CC_BY_4_0","","obsr2811114",NA,NA,"2023-06-07 15:29:23","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.38126 46.15603)"
3639925311,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1147576269","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Cuculus","Cuculus canorus","","SPECIES","Cuculus canorus Linnaeus, 1758","Cuculus canorus",NA,"IT","Riserva Naturale Pian di Spagna e Lago di Mezzola","Lombardia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",46.18102,9.42953,NA,NA,NA,NA,NA,NA,"2021-05-08T00:00:00",8,5,2021,5231918,5231918,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1147576269",NA,"","","CC_BY_4_0","","obsr1243236",NA,NA,"2023-06-07 15:29:26","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.42953 46.18102)"
3633582851,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1140386064","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Cuculus","Cuculus canorus","","SPECIES","Cuculus canorus Linnaeus, 1758","Cuculus canorus",NA,"IT","Riserva Naturale Pian di Spagna e Lago di Mezzola","Lombardia","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",46.18102,9.42953,NA,NA,NA,NA,NA,NA,"2021-05-02T00:00:00",2,5,2021,5231918,5231918,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1140386064",NA,"","","CC_BY_4_0","","obsr1635194",NA,NA,"2023-06-07 15:13:24","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.42953 46.18102)"
3631276410,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1156645168","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Cuculus","Cuculus canorus","","SPECIES","Cuculus canorus Linnaeus, 1758","Cuculus canorus",NA,"IT","Foce del fiume Adda","Lombardia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",46.15603,9.38126,NA,NA,NA,NA,NA,NA,"2021-05-15T00:00:00",15,5,2021,5231918,5231918,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1156645168",NA,"","","CC_BY_4_0","","obsr1635194",NA,NA,"2023-06-07 15:15:05","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.38126 46.15603)"
3616163040,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1154953544","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Cuculus","Cuculus canorus","","SPECIES","Cuculus canorus Linnaeus, 1758","Cuculus canorus",NA,"IT","Foce del fiume Adda","Lombardia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",46.15603,9.38126,NA,NA,NA,NA,NA,NA,"2021-05-14T00:00:00",14,5,2021,5231918,5231918,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1154953544",NA,"","","CC_BY_4_0","","obsr1635194",NA,NA,"2023-06-07 15:13:41","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.38126 46.15603)"
3546119592,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1263518322","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Cuculus","Cuculus canorus","","SPECIES","Cuculus canorus Linnaeus, 1758","Cuculus canorus",NA,"IT","Riserva Naturale Pian di Spagna e Lago di Mezzola","Lombardia","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",46.18102,9.42953,NA,NA,NA,NA,NA,NA,"2021-05-02T00:00:00",2,5,2021,5231918,5231918,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1263518322",NA,"","","CC_BY_4_0","","obsr2811114",NA,NA,"2023-06-07 15:38:12","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.42953 46.18102)"
3545384927,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1196057894","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Cuculus","Cuculus canorus","","SPECIES","Cuculus canorus Linnaeus, 1758","Cuculus canorus",NA,"IT","Riserva Naturale Pian di Spagna e Lago di Mezzola","Lombardia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",46.18102,9.42953,NA,NA,NA,NA,NA,NA,"2021-06-28T00:00:00",28,6,2021,5231918,5231918,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1196057894",NA,"","","CC_BY_4_0","","obsr112627",NA,NA,"2023-06-07 15:41:15","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.42953 46.18102)"
3124572810,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/79995485","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Cuculus","Cuculus canorus","","SPECIES","Cuculus canorus Linnaeus, 1758","Cuculus canorus",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",46.17468,9.41822,122,NA,NA,NA,NA,NA,"2021-05-23T09:01:00",23,5,2021,5231918,5231918,"HUMAN_OBSERVATION","iNaturalist","Observations","79995485",NA,"Roberto Brembilla","2021-05-23T19:15:04","CC_BY_NC_4_0","Roberto Brembilla","Roberto Brembilla",NA,NA,"2023-06-14 10:03:20","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.41822 46.17468)"
