"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
4102732533,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/154231403","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Cuculus","Cuculus canorus","","SPECIES","Cuculus canorus Linnaeus, 1758","Cuculus canorus",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.78517,8.72704,3,NA,NA,NA,NA,NA,"2023-04-09T09:30:53",9,4,2023,5231918,5231918,"HUMAN_OBSERVATION","iNaturalist","Observations","154231403",NA,"roby","2023-04-10T05:46:07","CC_BY_NC_4_0","roby","roby",NA,NA,"2023-06-14 10:13:17","Sound","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.72704 45.78517)"
3631276922,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1156912468","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Cuculus","Cuculus canorus","","SPECIES","Cuculus canorus Linnaeus, 1758","Cuculus canorus",NA,"IT","Palude Brabbia--Torbiera di Inarzo","Lombardia","PRESENT",4,"e2e717bf-551a-4917-bdc9-4fa0f342c530",45.7844,8.72518,NA,NA,NA,NA,NA,NA,"2021-05-15T00:00:00",15,5,2021,5231918,5231918,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1156912468",NA,"","","CC_BY_4_0","","obsr1243236",NA,NA,"2023-06-07 15:14:33","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.72518 45.7844)"
3592651277,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1148903301","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Cuculus","Cuculus canorus","","SPECIES","Cuculus canorus Linnaeus, 1758","Cuculus canorus",NA,"IT","Palude Brabbia--Torbiera di Inarzo","Lombardia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",45.7844,8.72518,NA,NA,NA,NA,NA,NA,"2021-05-09T00:00:00",9,5,2021,5231918,5231918,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1148903301",NA,"","","CC_BY_4_0","","obsr1213855",NA,NA,"2023-06-07 15:33:47","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.72518 45.7844)"
3535361389,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1146001441","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Cuculus","Cuculus canorus","","SPECIES","Cuculus canorus Linnaeus, 1758","Cuculus canorus",NA,"IT","Palude Brabbia--Torbiera di Inarzo","Lombardia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",45.7844,8.72518,NA,NA,NA,NA,NA,NA,"2021-05-08T00:00:00",8,5,2021,5231918,5231918,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1146001441",NA,"","","CC_BY_4_0","","obsr1081878",NA,NA,"2023-06-07 15:13:17","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.72518 45.7844)"
3466224650,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/83121877","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Cuculus","Cuculus canorus","","SPECIES","Cuculus canorus Linnaeus, 1758","Cuculus canorus",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.78796,8.72657,4,NA,NA,NA,NA,NA,"2021-06-15T09:58:09",15,6,2021,5231918,5231918,"HUMAN_OBSERVATION","iNaturalist","Observations","83121877",NA,"roby","2021-06-15T12:17:19","CC_BY_NC_4_0","roby","roby",NA,NA,"2023-06-14 09:47:48","Sound","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.72657 45.78796)"
3307332729,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/83122034","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Cuculus","Cuculus canorus","","SPECIES","Cuculus canorus Linnaeus, 1758","Cuculus canorus",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.78393,8.72261,5,NA,NA,NA,NA,NA,"2021-06-15T10:54:17",15,6,2021,5231918,5231918,"HUMAN_OBSERVATION","iNaturalist","Observations","83122034",NA,"roby","2021-06-15T12:34:14","CC_BY_NC_4_0","roby","roby",NA,NA,"2023-06-14 09:47:32","Sound","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.72261 45.78393)"
3307250732,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/83121885","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Cuculus","Cuculus canorus","","SPECIES","Cuculus canorus Linnaeus, 1758","Cuculus canorus",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.78797,8.72657,4,NA,NA,NA,NA,NA,"2021-06-15T09:58:29",15,6,2021,5231918,5231918,"HUMAN_OBSERVATION","iNaturalist","Observations","83121885",NA,"roby","2021-06-15T12:17:24","CC_BY_NC_4_0","roby","roby",NA,NA,"2023-06-14 09:47:43","Sound","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.72657 45.78797)"
3242310319,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS942497943","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Cuculus","Cuculus canorus","","SPECIES","Cuculus canorus Linnaeus, 1758","Cuculus canorus",NA,"IT","Palude Brabbia (area generale)","Lombardia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",45.78793,8.72671,NA,NA,NA,NA,NA,NA,"2020-06-14T00:00:00",14,6,2020,5231918,5231918,"HUMAN_OBSERVATION","CLO","EBIRD","OBS942497943",NA,"","","CC_BY_4_0","","obsr1419603",NA,NA,"2023-06-07 15:11:41","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.72671 45.78793)"
3171341810,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS943118358","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Cuculus","Cuculus canorus","","SPECIES","Cuculus canorus Linnaeus, 1758","Cuculus canorus",NA,"IT","Palude Brabbia--Torbiera di Inarzo","Lombardia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",45.7844,8.72518,NA,NA,NA,NA,NA,NA,"2020-06-14T00:00:00",14,6,2020,5231918,5231918,"HUMAN_OBSERVATION","CLO","EBIRD","OBS943118358",NA,"","","CC_BY_4_0","","obsr1243236",NA,NA,"2023-06-07 15:11:13","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.72518 45.7844)"
2218486121,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS679043604","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Cuculus","Cuculus canorus","","SPECIES","Cuculus canorus Linnaeus, 1758","Cuculus canorus",NA,"IT","Palude Brabbia--Torbiera di Inarzo","Lombardia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",45.7844,8.72518,NA,NA,NA,NA,NA,NA,"2014-07-07T00:00:00",7,7,2014,5231918,5231918,"HUMAN_OBSERVATION","CLO","EBIRD","OBS679043604",NA,"","","CC_BY_4_0","","obsr790590",NA,NA,"2023-06-07 15:08:21","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.72518 45.7844)"
