"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
3683282324,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1136545828","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Cuculus","Cuculus canorus","","SPECIES","Cuculus canorus Linnaeus, 1758","Cuculus canorus",NA,"IT","Oasi di Punte Alberete","Emilia-Romagna","PRESENT",5,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.5167,12.22648,NA,NA,NA,NA,NA,NA,"2021-04-30T00:00:00",30,4,2021,5231918,5231918,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1136545828",NA,"","","CC_BY_4_0","","obsr1756759",NA,NA,"2023-06-07 15:30:28","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.22648 44.5167)"
3535453158,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1171870523","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Cuculus","Cuculus canorus","","SPECIES","Cuculus canorus Linnaeus, 1758","Cuculus canorus",NA,"IT","Oasi di Punte Alberete","Emilia-Romagna","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.5167,12.22648,NA,NA,NA,NA,NA,NA,"2021-05-30T00:00:00",30,5,2021,5231918,5231918,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1171870523",NA,"","","CC_BY_4_0","","obsr819422",NA,NA,"2023-06-07 15:15:49","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.22648 44.5167)"
3534698506,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1172248669","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Cuculus","Cuculus canorus","","SPECIES","Cuculus canorus Linnaeus, 1758","Cuculus canorus",NA,"IT","Oasi di Punte Alberete","Emilia-Romagna","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.5167,12.22648,NA,NA,NA,NA,NA,NA,"2021-05-30T00:00:00",30,5,2021,5231918,5231918,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1172248669",NA,"","","CC_BY_4_0","","obsr1108502",NA,NA,"2023-06-07 15:16:21","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.22648 44.5167)"
3528600162,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1170810499","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Cuculus","Cuculus canorus","","SPECIES","Cuculus canorus Linnaeus, 1758","Cuculus canorus",NA,"IT","Oasi di Punte Alberete","Emilia-Romagna","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.5167,12.22648,NA,NA,NA,NA,NA,NA,"2021-05-30T00:00:00",30,5,2021,5231918,5231918,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1170810499",NA,"","","CC_BY_4_0","","obsr668799",NA,NA,"2023-06-07 15:29:36","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.22648 44.5167)"
3188409311,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS965689851","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Cuculus","Cuculus canorus","","SPECIES","Cuculus canorus Linnaeus, 1758","Cuculus canorus",NA,"IT","Oasi di Punte Alberete","Emilia-Romagna","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.5167,12.22648,NA,NA,NA,NA,NA,NA,"2020-08-08T00:00:00",8,8,2020,5231918,5231918,"HUMAN_OBSERVATION","CLO","EBIRD","OBS965689851",NA,"","","CC_BY_4_0","","obsr1593915",NA,NA,"2023-06-07 15:12:06","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.22648 44.5167)"
2159343691,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS626752741","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Cuculus","Cuculus canorus","","SPECIES","Cuculus canorus Linnaeus, 1758","Cuculus canorus",NA,"IT","P.O. Delta general","Emilia-Romagna","PRESENT",NA,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.53277,12.23098,NA,NA,NA,NA,NA,NA,"2018-06-02T00:00:00",2,6,2018,5231918,5231918,"HUMAN_OBSERVATION","CLO","EBIRD","OBS626752741",NA,"","","CC_BY_4_0","","obsr227271",NA,NA,"2023-06-07 15:23:40","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.23098 44.53277)"
2055856263,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS487494774","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Cuculus","Cuculus canorus","","SPECIES","Cuculus canorus Linnaeus, 1758","Cuculus canorus",NA,"IT","Oasi di Punte Alberete","Emilia-Romagna","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.5167,12.22648,NA,NA,NA,NA,NA,NA,"2017-04-14T00:00:00",14,4,2017,5231918,5231918,"HUMAN_OBSERVATION","CLO","EBIRD","OBS487494774",NA,"","","CC_BY_4_0","","obsr497615",NA,NA,"2023-06-07 15:24:29","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.22648 44.5167)"
2045436337,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS487494731","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Cuculus","Cuculus canorus","","SPECIES","Cuculus canorus Linnaeus, 1758","Cuculus canorus",NA,"IT","Valle Mandriole--Torre di avvistamento Nord","Emilia-Romagna","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.54606,12.23508,NA,NA,NA,NA,NA,NA,"2017-04-14T00:00:00",14,4,2017,5231918,5231918,"HUMAN_OBSERVATION","CLO","EBIRD","OBS487494731",NA,"","","CC_BY_4_0","","obsr497615",NA,NA,"2023-06-07 15:22:45","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.23508 44.54606)"
1731566821,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS395974976","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Cuculus","Cuculus canorus","","SPECIES","Cuculus canorus Linnaeus, 1758","Cuculus canorus",NA,"IT","Valle della Canna (Valle Mandriole)","Emilia-Romagna","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.53524,12.2263,NA,NA,NA,NA,NA,NA,"2016-04-24T00:00:00",24,4,2016,5231918,5231918,"HUMAN_OBSERVATION","CLO","EBIRD","OBS395974976",NA,"","","CC_BY_4_0","","obsr450799",NA,NA,"2023-06-07 15:04:37","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.2263 44.53524)"
1579989537,"6ac3f774-d9fb-4796-b3e9-92bf6c81c084","","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Cuculus","Cuculus canorus","","SPECIES","Cuculus canorus Linnaeus, 1758","Cuculus canorus",NA,"IT","Valle Mandriole Nordteil","","PRESENT",NA,"bb646dff-a905-4403-a49b-6d378c2cf0d9",44.54636,12.23761,250,NA,NA,NA,NA,NA,"2016-06-01T00:00:00",1,6,2016,5231918,5231918,"HUMAN_OBSERVATION","naturgucker","naturgucker","-800329544",NA,"","","CC_BY_4_0","","688861900",NA,NA,"2023-06-07 15:00:46","","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.23761 44.54636)"
