"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
3660982700,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1146147915","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Curruca","Curruca melanocephala",NA,"SPECIES","Curruca melanocephala (J.F.Gmelin, 1789)","Curruca melanocephala","","IT","Caprolace--Pantani dell'Inferno","Lazio","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.335,12.9878,NA,NA,NA,NA,NA,NA,"2021-05-08T00:00:00",8,5,2021,9990095,9990095,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1146147915",NA,"","","CC_BY_4_0","","obsr819422",NA,"","2023-06-07 15:37:02","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.9878 41.335)"
3643682101,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1264224999","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Curruca","Curruca melanocephala",NA,"SPECIES","Curruca melanocephala (J.F.Gmelin, 1789)","Curruca melanocephala","","IT","Bufalara Lavorazione","Lazio","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.3638,12.96365,NA,NA,NA,NA,NA,NA,"2021-10-24T00:00:00",24,10,2021,9990095,9990095,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1264224999",NA,"","","CC_BY_4_0","","obsr668799",NA,"","2023-06-07 15:43:01","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.96365 41.3638)"
3615984176,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1082227614","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Curruca","Curruca melanocephala",NA,"SPECIES","Curruca melanocephala (J.F.Gmelin, 1789)","Curruca melanocephala","","IT","Caprolace--Pantani dell'Inferno","Lazio","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.335,12.9878,NA,NA,NA,NA,NA,NA,"2021-02-25T00:00:00",25,2,2021,9990095,9990095,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1082227614",NA,"","","CC_BY_4_0","","obsr668799",NA,"","2023-06-07 15:19:05","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.9878 41.335)"
3570317643,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1149338849","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Curruca","Curruca melanocephala",NA,"SPECIES","Curruca melanocephala (J.F.Gmelin, 1789)","Curruca melanocephala","","IT","Caprolace--Pantani dell'Inferno","Lazio","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.335,12.9878,NA,NA,NA,NA,NA,NA,"2021-05-08T00:00:00",8,5,2021,9990095,9990095,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1149338849",NA,"","","CC_BY_4_0","","obsr1321064",NA,"","2023-06-07 15:28:27","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.9878 41.335)"
3561032802,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1164000804","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Curruca","Curruca melanocephala",NA,"SPECIES","Curruca melanocephala (J.F.Gmelin, 1789)","Curruca melanocephala","","IT","Caprolace--Pantani dell'Inferno","Lazio","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.335,12.9878,NA,NA,NA,NA,NA,NA,"2021-05-22T00:00:00",22,5,2021,9990095,9990095,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1164000804",NA,"","","CC_BY_4_0","","obsr2487937",NA,"","2023-06-07 15:30:02","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.9878 41.335)"
3516972782,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1145954310","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Curruca","Curruca melanocephala",NA,"SPECIES","Curruca melanocephala (J.F.Gmelin, 1789)","Curruca melanocephala","","IT","Caprolace--Pantani dell'Inferno","Lazio","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.335,12.9878,NA,NA,NA,NA,NA,NA,"2021-05-08T00:00:00",8,5,2021,9990095,9990095,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1145954310",NA,"","","CC_BY_4_0","","obsr668799",NA,"","2023-06-07 15:40:47","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.9878 41.335)"
3201745030,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1027924962","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Curruca","Curruca melanocephala",NA,"SPECIES","Curruca melanocephala (J.F.Gmelin, 1789)","Curruca melanocephala","","IT","Caprolace--Pantani dell'Inferno","Lazio","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.335,12.9878,NA,NA,NA,NA,NA,NA,"2020-12-13T00:00:00",13,12,2020,9990095,9990095,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1027924962",NA,"","","CC_BY_4_0","","obsr668799",NA,"","2023-06-07 15:28:46","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.9878 41.335)"
3183432107,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS994724740","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Curruca","Curruca melanocephala",NA,"SPECIES","Curruca melanocephala (J.F.Gmelin, 1789)","Curruca melanocephala","","IT","Caprolace--Pantani dell'Inferno","Lazio","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.335,12.9878,NA,NA,NA,NA,NA,NA,"2020-10-12T00:00:00",12,10,2020,9990095,9990095,"HUMAN_OBSERVATION","CLO","EBIRD","OBS994724740",NA,"","","CC_BY_4_0","","obsr1473331",NA,"","2023-06-07 15:14:10","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.9878 41.335)"
3133318912,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS852696800","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Curruca","Curruca melanocephala",NA,"SPECIES","Curruca melanocephala (J.F.Gmelin, 1789)","Curruca melanocephala","","IT","Caprolace--Pantani dell'Inferno","Lazio","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.335,12.9878,NA,NA,NA,NA,NA,NA,"2020-01-18T00:00:00",18,1,2020,9990095,9990095,"HUMAN_OBSERVATION","CLO","EBIRD","OBS852696800",NA,"","","CC_BY_4_0","","obsr668799",NA,"","2023-06-07 15:11:23","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.9878 41.335)"
3133257137,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS853658517","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Curruca","Curruca melanocephala",NA,"SPECIES","Curruca melanocephala (J.F.Gmelin, 1789)","Curruca melanocephala","","IT","Caprolace--Pantani dell'Inferno","Lazio","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.335,12.9878,NA,NA,NA,NA,NA,NA,"2020-01-18T00:00:00",18,1,2020,9990095,9990095,"HUMAN_OBSERVATION","CLO","EBIRD","OBS853658517",NA,"","","CC_BY_4_0","","obsr819422",NA,"","2023-06-07 15:27:32","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.9878 41.335)"
