"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
3691129137,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1281240404","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Curruca","Curruca melanocephala",NA,"SPECIES","Curruca melanocephala (J.F.Gmelin, 1789)","Curruca melanocephala","","IT","Lago di Fogliano","Lazio","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.40134,12.89731,NA,NA,NA,NA,NA,NA,"2021-11-21T00:00:00",21,11,2021,9990095,9990095,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1281240404",NA,"","","CC_BY_4_0","","obsr668799",NA,"","2023-06-07 15:31:03","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.89731 41.40134)"
3689244805,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1264392847","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Curruca","Curruca melanocephala",NA,"SPECIES","Curruca melanocephala (J.F.Gmelin, 1789)","Curruca melanocephala","","IT","Lago di Fogliano","Lazio","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.40134,12.89731,NA,NA,NA,NA,NA,NA,"2021-10-24T00:00:00",24,10,2021,9990095,9990095,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1264392847",NA,"","","CC_BY_4_0","","obsr819422",NA,"","2023-06-07 15:16:32","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.89731 41.40134)"
3659273559,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1248643242","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Curruca","Curruca melanocephala",NA,"SPECIES","Curruca melanocephala (J.F.Gmelin, 1789)","Curruca melanocephala","","IT","Lago di Fogliano","Lazio","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.40134,12.89731,NA,NA,NA,NA,NA,NA,"2021-10-02T00:00:00",2,10,2021,9990095,9990095,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1248643242",NA,"","","CC_BY_4_0","","obsr668799",NA,"","2023-06-07 15:31:03","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.89731 41.40134)"
3620325001,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1146150385","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Curruca","Curruca melanocephala",NA,"SPECIES","Curruca melanocephala (J.F.Gmelin, 1789)","Curruca melanocephala","","IT","Lago di Fogliano","Lazio","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.40134,12.89731,NA,NA,NA,NA,NA,NA,"2021-05-08T00:00:00",8,5,2021,9990095,9990095,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1146150385",NA,"","","CC_BY_4_0","","obsr819422",NA,"","2023-06-07 15:15:18","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.89731 41.40134)"
3608169239,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1145991563","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Curruca","Curruca melanocephala",NA,"SPECIES","Curruca melanocephala (J.F.Gmelin, 1789)","Curruca melanocephala","","IT","Lago di Fogliano","Lazio","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.40134,12.89731,NA,NA,NA,NA,NA,NA,"2021-05-08T00:00:00",8,5,2021,9990095,9990095,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1145991563",NA,"","","CC_BY_4_0","","obsr668799",NA,"","2023-06-07 15:31:30","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.89731 41.40134)"
3604905524,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1089329391","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Curruca","Curruca melanocephala",NA,"SPECIES","Curruca melanocephala (J.F.Gmelin, 1789)","Curruca melanocephala","","IT","Lago di Fogliano","Lazio","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.40134,12.89731,NA,NA,NA,NA,NA,NA,"2021-03-07T00:00:00",7,3,2021,9990095,9990095,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1089329391",NA,"","","CC_BY_4_0","","obsr668799",NA,"","2023-06-07 15:30:27","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.89731 41.40134)"
3596219219,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1082233744","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Curruca","Curruca melanocephala",NA,"SPECIES","Curruca melanocephala (J.F.Gmelin, 1789)","Curruca melanocephala","","IT","Lago di Fogliano","Lazio","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.40134,12.89731,NA,NA,NA,NA,NA,NA,"2021-02-25T00:00:00",25,2,2021,9990095,9990095,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1082233744",NA,"","","CC_BY_4_0","","obsr668799",NA,"","2023-06-07 15:28:38","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.89731 41.40134)"
3572033582,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1264285044","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Curruca","Curruca melanocephala",NA,"SPECIES","Curruca melanocephala (J.F.Gmelin, 1789)","Curruca melanocephala","","IT","Lago di Fogliano","Lazio","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.40134,12.89731,NA,NA,NA,NA,NA,NA,"2021-10-24T00:00:00",24,10,2021,9990095,9990095,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1264285044",NA,"","","CC_BY_4_0","","obsr668799",NA,"","2023-06-07 15:14:55","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.89731 41.40134)"
3570440674,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1166880316","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Curruca","Curruca melanocephala",NA,"SPECIES","Curruca melanocephala (J.F.Gmelin, 1789)","Curruca melanocephala","","IT","Lago di Fogliano","Lazio","PRESENT",NA,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.40134,12.89731,NA,NA,NA,NA,NA,NA,"2016-01-01T00:00:00",1,1,2016,9990095,9990095,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1166880316",NA,"","","CC_BY_4_0","","obsr819422",NA,"","2023-06-07 15:15:32","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.89731 41.40134)"
3292232427,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1009508330","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Curruca","Curruca melanocephala",NA,"SPECIES","Curruca melanocephala (J.F.Gmelin, 1789)","Curruca melanocephala","","IT","Lago di Fogliano","Lazio","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.40134,12.89731,NA,NA,NA,NA,NA,NA,"2020-11-07T00:00:00",7,11,2020,9990095,9990095,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1009508330",NA,"","","CC_BY_4_0","","obsr1108502",NA,"","2023-06-07 15:14:03","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.89731 41.40134)"
