"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
3620835157,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1134618841","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta","Egretta garzetta","","SPECIES","Egretta garzetta (Linnaeus, 1766)","Egretta garzetta","","IT","Saline di Santa Gilla","Sardegna","PRESENT",15,"e2e717bf-551a-4917-bdc9-4fa0f342c530",39.17056,9.03084,NA,NA,NA,NA,NA,NA,"2014-04-27T00:00:00",27,4,2014,2480876,2480876,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1134618841","","","","CC_BY_4_0","","obsr2128622",NA,NA,"2023-06-07 15:14:37","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.03084 39.17056)"
3249291698,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS942245542","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta","Egretta garzetta","","SPECIES","Egretta garzetta (Linnaeus, 1766)","Egretta garzetta","","IT","Stagno di Capoterra","Sardegna","PRESENT",10,"e2e717bf-551a-4917-bdc9-4fa0f342c530",39.18076,9.01662,NA,NA,NA,NA,NA,NA,"2020-06-13T00:00:00",13,6,2020,2480876,2480876,"HUMAN_OBSERVATION","CLO","EBIRD","OBS942245542","","","","CC_BY_4_0","","obsr1683716",NA,NA,"2023-06-07 15:26:56","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.01662 39.18076)"
2697092873,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS785624493","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta","Egretta garzetta","","SPECIES","Egretta garzetta (Linnaeus, 1766)","Egretta garzetta","","IT","Stagno di Capoterra","Sardegna","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",39.18076,9.01662,NA,NA,NA,NA,NA,NA,"2016-04-29T00:00:00",29,4,2016,2480876,2480876,"HUMAN_OBSERVATION","CLO","EBIRD","OBS785624493","","","","CC_BY_4_0","","obsr1240819",NA,NA,"2023-06-07 15:24:37","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.01662 39.18076)"
2687243959,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS785623016","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta","Egretta garzetta","","SPECIES","Egretta garzetta (Linnaeus, 1766)","Egretta garzetta","","IT","Stagno di Capoterra","Sardegna","PRESENT",5,"e2e717bf-551a-4917-bdc9-4fa0f342c530",39.18076,9.01662,NA,NA,NA,NA,NA,NA,"2016-05-02T00:00:00",2,5,2016,2480876,2480876,"HUMAN_OBSERVATION","CLO","EBIRD","OBS785623016","","","","CC_BY_4_0","","obsr1240819",NA,NA,"2023-06-07 15:25:54","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.01662 39.18076)"
2666827039,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS722411641","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta","Egretta garzetta","","SPECIES","Egretta garzetta (Linnaeus, 1766)","Egretta garzetta","","IT","Stagno di Capoterra","Sardegna","PRESENT",50,"e2e717bf-551a-4917-bdc9-4fa0f342c530",39.18076,9.01662,NA,NA,NA,NA,NA,NA,"2018-09-10T00:00:00",10,9,2018,2480876,2480876,"HUMAN_OBSERVATION","CLO","EBIRD","OBS722411641","","","","CC_BY_4_0","","obsr1240819",NA,NA,"2023-06-07 15:08:31","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.01662 39.18076)"
2432656809,"e3ce628e-9683-4af7-b7a9-47eef785d3bb","d1b46b68-4af3-448d-b839-85644c61adb4","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta","Egretta garzetta","","SPECIES","Egretta garzetta (Linnaeus, 1766)","Egretta garzetta","(Linnaeus, 1766)","IT","","","PRESENT",NA,"17726825-3aa2-4fbc-b0e3-303d3fc5702f",39.19715,9.04482,NA,NA,NA,NA,NA,NA,"2019-04-08T20:40:00",8,4,2019,2480876,2480876,"HUMAN_OBSERVATION","","","","questagame-252517","<a href=https://bee.questagame.com/#/profile/14758?questagame_user_id=14758>octonaughts (Low)</a>;<a href=https://bee.questagame.com/#/profile/4426?questagame_user_id=4426>Jenny Donald (Low)</a>","","CC_BY_NC_4_0","","<a href='https://bee.questagame.com/#/profile/4426?questagame_user_id=4426'> Jenny Donald;questagame.com</a>",NA,NA,"2023-06-19 09:39:37","StillImage","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.04482 39.19715)"
2236849053,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/22387670","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta","Egretta garzetta","","SPECIES","Egretta garzetta (Linnaeus, 1766)","Egretta garzetta","","IT","","Sardegna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",39.19715,9.04482,NA,NA,NA,NA,NA,NA,"2019-04-08T20:40:00",8,4,2019,2480876,2480876,"HUMAN_OBSERVATION","iNaturalist","Observations","22387670","","Jenny Donald","2019-04-12T22:31:47","CC_BY_4_0","Jenny Donald","Jenny Donald",NA,NA,"2023-06-14 09:41:38","StillImage","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.04482 39.19715)"
2220003651,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS677678462","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta","Egretta garzetta","","SPECIES","Egretta garzetta (Linnaeus, 1766)","Egretta garzetta","","IT","Stagno di Capoterra","Sardegna","PRESENT",85,"e2e717bf-551a-4917-bdc9-4fa0f342c530",39.18076,9.01662,NA,NA,NA,NA,NA,NA,"2018-11-18T00:00:00",18,11,2018,2480876,2480876,"HUMAN_OBSERVATION","CLO","EBIRD","OBS677678462","","","","CC_BY_4_0","","obsr900795",NA,NA,"2023-06-07 15:23:08","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.01662 39.18076)"
1760618422,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS429206878","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta","Egretta garzetta","","SPECIES","Egretta garzetta (Linnaeus, 1766)","Egretta garzetta","","IT","IT-Sardegna-Cagliari - 39,254x9,035 - 11 Set 2016 21:39","Sardegna","PRESENT",17,"e2e717bf-551a-4917-bdc9-4fa0f342c530",39.25361,9.03504,NA,NA,NA,NA,NA,NA,"2016-09-06T00:00:00",6,9,2016,2480876,2480876,"HUMAN_OBSERVATION","CLO","EBIRD","OBS429206878","","","","CC_BY_4_0","","obsr801068",NA,NA,"2023-06-07 15:05:18","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.03504 39.25361)"
1201942893,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS289873780","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta","Egretta garzetta","","SPECIES","Egretta garzetta (Linnaeus, 1766)","Egretta garzetta","","IT","Stagno on SS195","Sardegna","PRESENT",NA,"e2e717bf-551a-4917-bdc9-4fa0f342c530",39.16512,9.02417,NA,NA,NA,NA,NA,NA,"2014-12-28T00:00:00",28,12,2014,2480876,2480876,"HUMAN_OBSERVATION","CLO","EBIRD","OBS289873780","","","","CC_BY_4_0","","obsr332935",NA,NA,"2023-06-07 15:19:06","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.02417 39.16512)"
