"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
3903590219,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/134028343","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta","Egretta garzetta","","SPECIES","Egretta garzetta (Linnaeus, 1766)","Egretta garzetta","","IT","","Sardegna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",39.82768,8.56709,244,NA,NA,NA,NA,NA,"2022-08-28T17:44:00",28,8,2022,2480876,2480876,"HUMAN_OBSERVATION","iNaturalist","Observations","134028343","","Elan Zucchetti","2022-09-07T12:28:25","CC_BY_NC_4_0","Elan Zucchetti","Elan Zucchetti",NA,NA,"2023-06-14 10:10:51","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.56709 39.82768)"
3731231285,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/227088012","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta","Egretta garzetta","","SPECIES","Egretta garzetta (Linnaeus, 1766)","Egretta garzetta","","IT","Italy - Arborea (comuni)","","PRESENT",25,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",39.81658,8.5573,10,NA,NA,NA,NA,NA,"2021-10-06T00:00:00",6,10,2021,2480876,2480876,"HUMAN_OBSERVATION","","Observations","OBS.227088012","","","","CC_BY_NC_4_0","Stichting Observation International","User 11007",NA,NA,"2023-06-13 16:00:29","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (8.5573 39.81658)"
3721921882,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/221005239","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta","Egretta garzetta","","SPECIES","Egretta garzetta (Linnaeus, 1766)","Egretta garzetta","","IT","Italy - Arborea (comuni)","","PRESENT",6,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",39.83011,8.56265,5,NA,NA,NA,NA,NA,"2021-07-24T00:00:00",24,7,2021,2480876,2480876,"HUMAN_OBSERVATION","","Observations","OBS.221005239","","","","CC_BY_NC_4_0","Stichting Observation International","User 12347",NA,NA,"2023-06-13 15:57:32","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (8.56265 39.83011)"
3720710790,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/218137895","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta","Egretta garzetta","","SPECIES","Egretta garzetta (Linnaeus, 1766)","Egretta garzetta","","IT","Italy - Arborea (comuni)","","PRESENT",5,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",39.82567,8.56178,10,NA,NA,NA,NA,NA,"2019-11-18T00:00:00",18,11,2019,2480876,2480876,"HUMAN_OBSERVATION","","Observations","OBS.218137895","","","","CC_BY_NC_4_0","Stichting Observation International","User 183575",NA,NA,"2023-06-13 15:57:39","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (8.56178 39.82567)"
3716157623,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/181211299","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta","Egretta garzetta","","SPECIES","Egretta garzetta (Linnaeus, 1766)","Egretta garzetta","","IT","Italy - Arborea (comuni)","","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",39.81769,8.5565,25,NA,NA,NA,NA,NA,"2019-10-18T00:00:00",18,10,2019,2480876,2480876,"HUMAN_OBSERVATION","","Observations","OBS.181211299","","","","CC_BY_NC_4_0","Stichting Observation International","User 108237",NA,NA,"2023-06-13 15:57:16","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (8.5565 39.81769)"
3645809971,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1247389574","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta","Egretta garzetta","","SPECIES","Egretta garzetta (Linnaeus, 1766)","Egretta garzetta","","IT","Stagno di S'Ena Arrubia","Sardegna","PRESENT",20,"e2e717bf-551a-4917-bdc9-4fa0f342c530",39.82299,8.56683,NA,NA,NA,NA,NA,NA,"2021-09-30T00:00:00",30,9,2021,2480876,2480876,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1247389574","","","","CC_BY_4_0","","obsr430866",NA,NA,"2023-06-07 15:29:46","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.56683 39.82299)"
3626990878,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1238858391","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta","Egretta garzetta","","SPECIES","Egretta garzetta (Linnaeus, 1766)","Egretta garzetta","","IT","Stagno di S'Ena Arrubia","Sardegna","PRESENT",5,"e2e717bf-551a-4917-bdc9-4fa0f342c530",39.82299,8.56683,NA,NA,NA,NA,NA,NA,"2021-09-16T00:00:00",16,9,2021,2480876,2480876,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1238858391","","","","CC_BY_4_0","","obsr430866",NA,NA,"2023-06-07 15:32:54","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.56683 39.82299)"
3599003126,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1241867240","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta","Egretta garzetta","","SPECIES","Egretta garzetta (Linnaeus, 1766)","Egretta garzetta","","IT","Stagno di S'Ena Arrubia","Sardegna","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",39.82299,8.56683,NA,NA,NA,NA,NA,NA,"2021-09-22T00:00:00",22,9,2021,2480876,2480876,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1241867240","","","","CC_BY_4_0","","obsr1895498",NA,NA,"2023-06-07 15:15:28","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.56683 39.82299)"
3583725300,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1287245227","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta","Egretta garzetta","","SPECIES","Egretta garzetta (Linnaeus, 1766)","Egretta garzetta","","IT","Stagno di S'Ena Arrubia","Sardegna","PRESENT",4,"e2e717bf-551a-4917-bdc9-4fa0f342c530",39.82299,8.56683,NA,NA,NA,NA,NA,NA,"2021-12-01T00:00:00",1,12,2021,2480876,2480876,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1287245227","","","","CC_BY_4_0","","obsr430866",NA,NA,"2023-06-07 15:15:00","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.56683 39.82299)"
3581517025,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1247027029","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta","Egretta garzetta","","SPECIES","Egretta garzetta (Linnaeus, 1766)","Egretta garzetta","","IT","Stagno di S'Ena Arrubia","Sardegna","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",39.82299,8.56683,NA,NA,NA,NA,NA,NA,"2021-09-22T00:00:00",22,9,2021,2480876,2480876,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1247027029","","","","CC_BY_4_0","","obsr1895498",NA,NA,"2023-06-07 15:29:50","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.56683 39.82299)"
