"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
4056880970,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/259844413","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Emberiza calandra","","SPECIES","Emberiza calandra Linnaeus, 1758","Emberiza calandra","","IT","Italy - Riola Sardo (comuni)","","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",39.98191,8.48219,25,NA,NA,NA,NA,NA,"2022-09-24T00:00:00",24,9,2022,7634625,7634625,"HUMAN_OBSERVATION","","Observations","OBS.259844413",NA,"","","CC_BY_NC_4_0","Stichting Observation International","User 763159",NA,"","2023-06-13 16:00:38","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (8.48219 39.98191)"
3205608287,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD_CAMERICA:OBS1081866972","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Emberiza calandra","","SPECIES","Emberiza calandra Linnaeus, 1758","Emberiza calandra","","IT","Pauli e Sali (paule Su Pauli)","Sardegna","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",39.94701,8.5079,NA,NA,NA,NA,NA,NA,"2016-06-30T00:00:00",30,6,2016,7634625,7634625,"HUMAN_OBSERVATION","CLO","EBIRD_CAMERICA","OBS1081866972",NA,"","","CC_BY_4_0","","obsr1052543",NA,"","2023-06-07 15:13:39","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.5079 39.94701)"
2841434408,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/116467628","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Emberiza calandra","","SPECIES","Emberiza calandra Linnaeus, 1758","Emberiza calandra","","IT","Italy - Cabras (comuni)","","PRESENT",2,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",39.95157,8.49861,25,NA,NA,NA,NA,NA,"2016-04-13T00:00:00",13,4,2016,7634625,7634625,"HUMAN_OBSERVATION","","Observations","OBS.116467628",NA,"","","CC_BY_NC_4_0","Stichting Observation International","User 42518",NA,"","2023-06-13 15:58:46","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (8.49861 39.95157)"
2840957891,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/162428111","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Emberiza calandra","","SPECIES","Emberiza calandra Linnaeus, 1758","Emberiza calandra","","IT","Italy - Nurachi (comuni)","","PRESENT",50,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",39.96817,8.51209,10,NA,NA,NA,NA,NA,"2018-09-12T00:00:00",12,9,2018,7634625,7634625,"HUMAN_OBSERVATION","","Observations","OBS.162428111",NA,"","","CC_BY_NC_4_0","Stichting Observation International","User 76673",NA,"","2023-06-13 15:57:01","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (8.51209 39.96817)"
2839782449,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/116434657","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Emberiza calandra","","SPECIES","Emberiza calandra Linnaeus, 1758","Emberiza calandra","","IT","Italy - Cabras (comuni)","","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",39.91881,8.51577,25,NA,NA,NA,NA,NA,"2016-04-12T00:00:00",12,4,2016,7634625,7634625,"HUMAN_OBSERVATION","","Observations","OBS.116434657",NA,"","","CC_BY_NC_4_0","Stichting Observation International","User 42518",NA,"","2023-06-13 15:58:54","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (8.51577 39.91881)"
2836475438,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/116517381","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Emberiza calandra","","SPECIES","Emberiza calandra Linnaeus, 1758","Emberiza calandra","","IT","Italy - Cabras (comuni)","","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",39.92829,8.49906,25,NA,NA,NA,NA,NA,"2016-04-14T00:00:00",14,4,2016,7634625,7634625,"HUMAN_OBSERVATION","","Observations","OBS.116517381",NA,"","","CC_BY_NC_4_0","Stichting Observation International","User 42518",NA,"","2023-06-13 15:59:04","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (8.49906 39.92829)"
2832829389,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/116434526","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Emberiza calandra","","SPECIES","Emberiza calandra Linnaeus, 1758","Emberiza calandra","","IT","Italy - Nurachi (comuni)","","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",39.96917,8.51081,25,NA,NA,NA,NA,NA,"2016-04-12T00:00:00",12,4,2016,7634625,7634625,"HUMAN_OBSERVATION","","Observations","OBS.116434526",NA,"","","CC_BY_NC_4_0","Stichting Observation International","User 42518",NA,"","2023-06-13 15:58:46","","CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (8.51081 39.96917)"
2832793401,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/116434627","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Emberiza calandra","","SPECIES","Emberiza calandra Linnaeus, 1758","Emberiza calandra","","IT","Italy - Cabras (comuni)","","PRESENT",2,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",39.91962,8.50912,25,NA,NA,NA,NA,NA,"2016-04-12T00:00:00",12,4,2016,7634625,7634625,"HUMAN_OBSERVATION","","Observations","OBS.116434627",NA,"","","CC_BY_NC_4_0","Stichting Observation International","User 42518",NA,"","2023-06-13 15:56:40","","CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (8.50912 39.91962)"
2832765708,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/116434521","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Emberiza calandra","","SPECIES","Emberiza calandra Linnaeus, 1758","Emberiza calandra","","IT","Italy - Nurachi (comuni)","","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",39.96864,8.50797,25,NA,NA,NA,NA,NA,"2016-04-12T00:00:00",12,4,2016,7634625,7634625,"HUMAN_OBSERVATION","","Observations","OBS.116434521",NA,"","","CC_BY_NC_4_0","Stichting Observation International","User 42518",NA,"","2023-06-13 15:56:29","","CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (8.50797 39.96864)"
2754523689,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS751715444","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Emberiza calandra","","SPECIES","Emberiza calandra Linnaeus, 1758","Emberiza calandra","","IT","Pauli e Sali (paule Su Pauli)","Sardegna","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",39.94701,8.5079,NA,NA,NA,NA,NA,NA,"2016-05-08T00:00:00",8,5,2016,7634625,7634625,"HUMAN_OBSERVATION","CLO","EBIRD","OBS751715444",NA,"","","CC_BY_4_0","","obsr1240819",NA,"","2023-06-07 15:10:05","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.5079 39.94701)"
2706804622,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS830586464","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Emberiza calandra","","SPECIES","Emberiza calandra Linnaeus, 1758","Emberiza calandra","","IT","Stagno di Cabras","Sardegna","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",39.92576,8.50261,NA,NA,NA,NA,NA,NA,"2017-04-17T00:00:00",17,4,2017,7634625,7634625,"HUMAN_OBSERVATION","CLO","EBIRD","OBS830586464",NA,"","","CC_BY_4_0","","obsr1052543",NA,"","2023-06-07 15:26:02","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.50261 39.92576)"
2243766485,"b1047888-ae52-4179-9dd5-5448ea342a24","https://data.biodiversitydata.nl/xeno-canto/observation/XC371966","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Emberiza calandra","","SPECIES","Emberiza calandra Linnaeus, 1758","Emberiza calandra","","IT","Cabras, Provincia di Oristano, Sardegna","","PRESENT",NA,"1f00d75c-f6fc-4224-a595-975e82d7689c",39.9524,8.5125,NA,NA,NA,NA,NA,NA,"2017-05-14T00:00:00",14,5,2017,7634625,7634625,"HUMAN_OBSERVATION","","Wildlife sounds - Birds","XC371966",NA,"","","CC_BY_NC_4_0","Jerome Fischer","Jerome Fischer",NA,"","2023-06-07 21:03:57","StillImage;Sound","CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.5125 39.9524)"
1338576344,"6ac3f774-d9fb-4796-b3e9-92bf6c81c084","","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Emberiza","Emberiza calandra","","SPECIES","Emberiza calandra Linnaeus, 1758","Emberiza calandra","","IT","Stagno di Cabras","","PRESENT",NA,"bb646dff-a905-4403-a49b-6d378c2cf0d9",39.94199,8.47715,250,NA,NA,NA,NA,NA,"2015-05-11T00:00:00",11,5,2015,7634625,7634625,"HUMAN_OBSERVATION","naturgucker","naturgucker","1697850072",NA,"","","CC_BY_4_0","","1647598034",NA,"","2023-06-07 15:02:27","","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.47715 39.94199)"
