"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
4121363070,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/163271740","Animalia","Arthropoda","Insecta","Diptera","Syrphidae","Eristalinus","Eristalinus taeniops",NA,"SPECIES","Eristalinus taeniops (Wiedemann, 1818)","Eristalinus taeniops",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.148036,10.331939,27222,NA,NA,NA,NA,NA,"2023-05-23T06:45:07",23,5,2023,1542714,1542714,"HUMAN_OBSERVATION","iNaturalist","Observations","163271740",NA,"fausto","2023-05-23T07:41:09","CC_BY_NC_4_0","fausto","fausto",NA,NA,2023-06-21 11:23:24,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4120927475,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/163078219","Animalia","Arthropoda","Insecta","Diptera","Syrphidae","Eristalinus","Eristalinus taeniops",NA,"SPECIES","Eristalinus taeniops (Wiedemann, 1818)","Eristalinus taeniops",NA,"IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.475736,11.49453,2,NA,NA,NA,NA,NA,"2023-05-21T00:00:00",21,5,2023,1542714,1542714,"HUMAN_OBSERVATION","iNaturalist","Observations","163078219",NA,"Aurele Baretje","2023-05-22T07:31:49","CC_BY_4_0","Aurele Baretje","Aurele Baretje",NA,NA,2023-06-21 11:12:01,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4112190621,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/160106067","Animalia","Arthropoda","Insecta","Diptera","Syrphidae","Eristalinus","Eristalinus taeniops",NA,"SPECIES","Eristalinus taeniops (Wiedemann, 1818)","Eristalinus taeniops",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.368021,10.21785,2213,NA,NA,NA,NA,NA,"2023-05-05T18:36:00",5,5,2023,1542714,1542714,"HUMAN_OBSERVATION","iNaturalist","Observations","160106067",NA,"Paolo","2023-05-06T16:46:55","CC_BY_4_0","Paolo","Paolo",NA,NA,2023-06-21 11:24:18,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4111864834,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/160326284","Animalia","Arthropoda","Insecta","Diptera","Syrphidae","Eristalinus","Eristalinus taeniops",NA,"SPECIES","Eristalinus taeniops (Wiedemann, 1818)","Eristalinus taeniops",NA,"FR","","Provence-Alpes-Côte d'Azur","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",43.66796,7.218115,4,NA,NA,NA,NA,NA,"2023-05-06T00:00:00",6,5,2023,1542714,1542714,"HUMAN_OBSERVATION","iNaturalist","Observations","160326284",NA,"bernardjulien06000","2023-05-07T15:00:37","CC_BY_NC_4_0","bernardjulien06000","bernardjulien06000",NA,NA,2023-06-21 11:24:37,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4085665262,"cd9e0589-187b-43c0-9692-50d8db7d0467","ac7ad3c3-82b7-493c-83b4-4163482d83d5","Animalia","Arthropoda","Insecta","Diptera","Syrphidae","Eristalinus","Eristalinus taeniops",NA,"SPECIES","Eristalinus taeniops (Wiedemann, 1818)","Eristalinus taeniops (Wiedemann, 1818)",NA,"FR","","","PRESENT",NA,"1928bdf0-f5d2-11dc-8c12-b8a03c50a862",43.69357,7.24946,5208,NA,NA,NA,NA,NA,"2017-02-18T00:00:00",18,2,2017,1542714,1542714,"HUMAN_OBSERVATION","","","",NA,"","2021-04-08T00:00:00","CC_BY_4_0","","SPIPOLL Observateur non mentionné",NA,NA,2023-04-20 18:25:33,"","CONTINENT_DERIVED_FROM_COORDINATES"
4085572443,"cd9e0589-187b-43c0-9692-50d8db7d0467","5f6302e7-9761-49c2-89cb-4bb561680a67","Animalia","Arthropoda","Insecta","Diptera","Syrphidae","Eristalinus","Eristalinus taeniops",NA,"SPECIES","Eristalinus taeniops (Wiedemann, 1818)","Eristalinus taeniops (Wiedemann, 1818)",NA,"FR","","","PRESENT",NA,"1928bdf0-f5d2-11dc-8c12-b8a03c50a862",43.69357,7.24946,5208,NA,NA,NA,NA,NA,"2017-07-28T00:00:00",28,7,2017,1542714,1542714,"HUMAN_OBSERVATION","","","",NA,"","2021-04-08T00:00:00","CC_BY_4_0","","MNHN Observateur non mentionné",NA,NA,2023-04-20 18:25:35,"","CONTINENT_DERIVED_FROM_COORDINATES"
4085519724,"cd9e0589-187b-43c0-9692-50d8db7d0467","4ff62fbc-19e8-4c9c-b593-6453f9dfa956","Animalia","Arthropoda","Insecta","Diptera","Syrphidae","Eristalinus","Eristalinus taeniops",NA,"SPECIES","Eristalinus taeniops (Wiedemann, 1818)","Eristalinus taeniops (Wiedemann, 1818)",NA,"FR","","","PRESENT",NA,"1928bdf0-f5d2-11dc-8c12-b8a03c50a862",43.69357,7.24946,5208,NA,NA,NA,NA,NA,"2017-04-28T00:00:00",28,4,2017,1542714,1542714,"HUMAN_OBSERVATION","","","",NA,"","2021-04-08T00:00:00","CC_BY_4_0","","SPIPOLL Observateur non mentionné",NA,NA,2023-04-20 18:25:35,"","CONTINENT_DERIVED_FROM_COORDINATES"
4084177119,"dd915a74-f2d2-4888-a62d-4a5ebeae4e0e","bfe9db47-8bd4-47cb-a2ff-408f24f088d1","Animalia","Arthropoda","Insecta","Diptera","Syrphidae","Eristalinus","Eristalinus taeniops",NA,"SPECIES","Eristalinus taeniops (Wiedemann, 1818)","Eristalinus taeniops (Wiedemann, 1818)",NA,"FR","","","PRESENT",NA,"1928bdf0-f5d2-11dc-8c12-b8a03c50a862",43.48923,6.67757,250,NA,78,0,NA,NA,"2016-09-18T00:00:00",18,9,2016,1542714,1542714,"HUMAN_OBSERVATION","","","",NA,"DELCLAUX Colette","2017-10-27T00:00:00","CC_BY_4_0","","DELCLAUX Colette",NA,NA,2023-04-20 16:13:46,"","CONTINENT_DERIVED_FROM_COORDINATES"
4084073556,"e2544278-4e9d-4c3f-8b44-a05fa07488c6","70cf29e8-f8c0-4b67-9f03-3ea09d020d3d","Animalia","Arthropoda","Insecta","Diptera","Syrphidae","Eristalinus","Eristalinus taeniops",NA,"SPECIES","Eristalinus taeniops (Wiedemann, 1818)","Eristalinus taeniops (Wiedemann, 1818)",NA,"FR","","","PRESENT",NA,"1928bdf0-f5d2-11dc-8c12-b8a03c50a862",43.45041,6.48967,4364,NA,91,0,NA,NA,"2019-09-25T00:00:00",25,9,2019,1542714,1542714,"HUMAN_OBSERVATION","","","",NA,"KLEIN Arnaud","2019-09-25T00:00:00","CC_BY_4_0","","KLEIN Arnaud",NA,NA,2023-04-20 16:07:18,"","CONTINENT_DERIVED_FROM_COORDINATES"
4083545704,"dd915a74-f2d2-4888-a62d-4a5ebeae4e0e","a28aa441-020a-42d1-9b8e-891d76767bbc","Animalia","Arthropoda","Insecta","Diptera","Syrphidae","Eristalinus","Eristalinus taeniops",NA,"SPECIES","Eristalinus taeniops (Wiedemann, 1818)","Eristalinus taeniops (Wiedemann, 1818)",NA,"FR","","","PRESENT",NA,"1928bdf0-f5d2-11dc-8c12-b8a03c50a862",43.44003,6.79803,25,NA,51,0,NA,NA,"2016-10-22T00:00:00",22,10,2016,1542714,1542714,"HUMAN_OBSERVATION","","","",NA,"DELCLAUX Colette","2017-10-27T00:00:00","CC_BY_4_0","","DELCLAUX Colette",NA,NA,2023-04-20 16:13:34,"","CONTINENT_DERIVED_FROM_COORDINATES"
