"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
3545825826,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1269018070","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Erithacus","Erithacus rubecula","","SPECIES","Erithacus rubecula (Linnaeus, 1758)","Erithacus rubecula","","IT","Valle Mandriole--Torre di avvistamento Sud","Emilia-Romagna","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.52844,12.22845,NA,NA,NA,NA,NA,NA,"2021-11-01T00:00:00",1,11,2021,2492462,2492462,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1269018070",NA,"","","CC_BY_4_0","","obsr960988",NA,"","2023-06-07 15:16:27","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.22845 44.52844)"
3517338875,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1136545860","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Erithacus","Erithacus rubecula","","SPECIES","Erithacus rubecula (Linnaeus, 1758)","Erithacus rubecula","","IT","Oasi di Punte Alberete","Emilia-Romagna","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.5167,12.22648,NA,NA,NA,NA,NA,NA,"2021-04-30T00:00:00",30,4,2021,2492462,2492462,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1136545860",NA,"","","CC_BY_4_0","","obsr1756759",NA,"","2023-06-07 15:28:43","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.22648 44.5167)"
3406523593,"b1047888-ae52-4179-9dd5-5448ea342a24","https://data.biodiversitydata.nl/xeno-canto/observation/XC683343","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Erithacus","Erithacus rubecula","","SPECIES","Erithacus rubecula (Linnaeus, 1758)","Erithacus rubecula","","IT","torre di avvistamento, Provincia di Ravenna, Emilia-Romagna","","PRESENT",NA,"1f00d75c-f6fc-4224-a595-975e82d7689c",44.5285,12.2284,NA,NA,NA,NA,NA,NA,"2021-10-29T00:00:00",29,10,2021,2492462,2492462,"HUMAN_OBSERVATION","","Wildlife sounds - Birds","XC683343",NA,"","","CC_BY_NC_4_0","Giuseppe Speranza","Giuseppe Speranza",NA,"","2023-06-07 21:04:36","StillImage;Sound","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.2284 44.5285)"
2785320354,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS823302879","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Erithacus","Erithacus rubecula","","SPECIES","Erithacus rubecula (Linnaeus, 1758)","Erithacus rubecula","","IT","Oasi di Punte Alberete","Emilia-Romagna","PRESENT",15,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.5167,12.22648,NA,NA,NA,NA,NA,NA,"2019-11-02T00:00:00",2,11,2019,2492462,2492462,"HUMAN_OBSERVATION","CLO","EBIRD","OBS823302879",NA,"","","CC_BY_4_0","","obsr381807",NA,"","2023-06-07 15:24:57","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.22648 44.5167)"
2750063528,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS727710138","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Erithacus","Erithacus rubecula","","SPECIES","Erithacus rubecula (Linnaeus, 1758)","Erithacus rubecula","","IT","Valle Mandriole--Torre di avvistamento Sud","Emilia-Romagna","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.52844,12.22845,NA,NA,NA,NA,NA,NA,"2016-01-04T00:00:00",4,1,2016,2492462,2492462,"HUMAN_OBSERVATION","CLO","EBIRD","OBS727710138",NA,"","","CC_BY_4_0","","obsr1240819",NA,"","2023-06-07 15:09:02","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.22845 44.52844)"
2662320074,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS705731282","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Erithacus","Erithacus rubecula","","SPECIES","Erithacus rubecula (Linnaeus, 1758)","Erithacus rubecula","","IT","Valle Mandriole--Torre di avvistamento Sud","Emilia-Romagna","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.52844,12.22845,NA,NA,NA,NA,NA,NA,"2019-02-02T00:00:00",2,2,2019,2492462,2492462,"HUMAN_OBSERVATION","CLO","EBIRD","OBS705731282",NA,"","","CC_BY_4_0","","obsr608674",NA,"","2023-06-07 15:10:31","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.22845 44.52844)"
2225506307,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS674113859","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Erithacus","Erithacus rubecula","","SPECIES","Erithacus rubecula (Linnaeus, 1758)","Erithacus rubecula","","IT","Valle Mandriole--Torre di avvistamento Sud","Emilia-Romagna","PRESENT",6,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.52844,12.22845,NA,NA,NA,NA,NA,NA,"2018-11-07T00:00:00",7,11,2018,2492462,2492462,"HUMAN_OBSERVATION","CLO","EBIRD","OBS674113859",NA,"","","CC_BY_4_0","","obsr19080",NA,"","2023-06-07 15:24:29","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.22845 44.52844)"
2216913537,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS673999551","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Erithacus","Erithacus rubecula","","SPECIES","Erithacus rubecula (Linnaeus, 1758)","Erithacus rubecula","","IT","Valle Mandriole--Torre di avvistamento Sud","Emilia-Romagna","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.52844,12.22845,NA,NA,NA,NA,NA,NA,"2018-11-06T00:00:00",6,11,2018,2492462,2492462,"HUMAN_OBSERVATION","CLO","EBIRD","OBS673999551",NA,"","","CC_BY_4_0","","obsr19080",NA,"","2023-06-07 15:24:14","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.22845 44.52844)"
2208280540,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS668402074","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Erithacus","Erithacus rubecula","","SPECIES","Erithacus rubecula (Linnaeus, 1758)","Erithacus rubecula","","IT","Valle Mandriole--Torre di avvistamento Sud","Emilia-Romagna","PRESENT",5,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.52844,12.22845,NA,NA,NA,NA,NA,NA,"2018-10-20T00:00:00",20,10,2018,2492462,2492462,"HUMAN_OBSERVATION","CLO","EBIRD","OBS668402074",NA,"","","CC_BY_4_0","","obsr611781",NA,"","2023-06-07 15:23:48","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.22845 44.52844)"
1770980588,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS440276476","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Erithacus","Erithacus rubecula","","SPECIES","Erithacus rubecula (Linnaeus, 1758)","Erithacus rubecula","","IT","Oasi di Punte Alberete","Emilia-Romagna","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.5167,12.22648,NA,NA,NA,NA,NA,NA,"2016-10-30T00:00:00",30,10,2016,2492462,2492462,"HUMAN_OBSERVATION","CLO","EBIRD","OBS440276476",NA,"","","CC_BY_4_0","","obsr210928",NA,"","2023-06-07 15:04:47","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.22648 44.5167)"
