"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
4103440417,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/158932781","Animalia","Chordata","Aves","Gruiformes","Rallidae","Fulica","Fulica atra","","SPECIES","Fulica atra Linnaeus, 1758","Fulica atra","","IT","","Sardegna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",39.92241,8.49987,NA,NA,NA,NA,NA,NA,"2023-05-01T14:15:00",1,5,2023,2474377,2474377,"HUMAN_OBSERVATION","iNaturalist","Observations","158932781","","roberto-07","2023-05-01T23:30:28","CC_BY_NC_4_0","roberto-07","roberto-07",NA,NA,"2023-06-14 09:55:01","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.49987 39.92241)"
3731566275,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/226797611","Animalia","Chordata","Aves","Gruiformes","Rallidae","Fulica","Fulica atra","","SPECIES","Fulica atra Linnaeus, 1758","Fulica atra","","IT","Italy - Cabras (comuni)","","PRESENT",40,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",39.9233,8.50393,73,NA,NA,NA,NA,NA,"2021-09-20T00:00:00",20,9,2021,2474377,2474377,"HUMAN_OBSERVATION","","Observations","OBS.226797611","","","","CC_BY_NC_4_0","Stichting Observation International","User 198304",NA,NA,"2023-06-13 16:00:35","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (8.50393 39.9233)"
3729174568,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/218137848","Animalia","Chordata","Aves","Gruiformes","Rallidae","Fulica","Fulica atra","","SPECIES","Fulica atra Linnaeus, 1758","Fulica atra","","IT","Italy - Cabras (comuni)","","PRESENT",7,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",39.92464,8.52605,10,NA,NA,NA,NA,NA,"2019-11-14T00:00:00",14,11,2019,2474377,2474377,"HUMAN_OBSERVATION","","Observations","OBS.218137848","","","","CC_BY_NC_4_0","Stichting Observation International","User 183575",NA,NA,"2023-06-13 15:59:45","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (8.52605 39.92464)"
3715899291,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/176109404","Animalia","Chordata","Aves","Gruiformes","Rallidae","Fulica","Fulica atra","","SPECIES","Fulica atra Linnaeus, 1758","Fulica atra","","IT","Italy - Cabras (comuni)","","PRESENT",6,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",39.92297,8.50133,25,NA,NA,NA,NA,NA,"2019-07-10T00:00:00",10,7,2019,2474377,2474377,"HUMAN_OBSERVATION","","Observations","OBS.176109404","","","","CC_BY_NC_4_0","Stichting Observation International","User 53753",NA,NA,"2023-06-13 15:57:10","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (8.50133 39.92297)"
3664942599,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1184086407","Animalia","Chordata","Aves","Gruiformes","Rallidae","Fulica","Fulica atra","","SPECIES","Fulica atra Linnaeus, 1758","Fulica atra","","IT","Pauli e Sali (paule Su Pauli)","Sardegna","PRESENT",5,"e2e717bf-551a-4917-bdc9-4fa0f342c530",39.94701,8.5079,NA,NA,NA,NA,NA,NA,"2021-06-17T00:00:00",17,6,2021,2474377,2474377,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1184086407","","","","CC_BY_4_0","","obsr1052543",NA,NA,"2023-06-07 15:33:34","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.5079 39.94701)"
3642430803,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1225231241","Animalia","Chordata","Aves","Gruiformes","Rallidae","Fulica","Fulica atra","","SPECIES","Fulica atra Linnaeus, 1758","Fulica atra","","IT","09072, Cabras IT-Sardegna 39.92317, 8.50072","Sardegna","PRESENT",50,"e2e717bf-551a-4917-bdc9-4fa0f342c530",39.92317,8.50072,NA,NA,NA,NA,NA,NA,"2021-08-27T00:00:00",27,8,2021,2474377,2474377,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1225231241","","","","CC_BY_4_0","","obsr213327",NA,NA,"2023-06-07 15:32:42","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.50072 39.92317)"
3568028109,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1183526270","Animalia","Chordata","Aves","Gruiformes","Rallidae","Fulica","Fulica atra","","SPECIES","Fulica atra Linnaeus, 1758","Fulica atra","","IT","Pauli e Sali (paule Su Pauli)","Sardegna","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",39.94701,8.5079,NA,NA,NA,NA,NA,NA,"2021-06-16T00:00:00",16,6,2021,2474377,2474377,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1183526270","","","","CC_BY_4_0","","obsr1052543",NA,NA,"2023-06-07 15:41:10","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.5079 39.94701)"
3558912292,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1232357576","Animalia","Chordata","Aves","Gruiformes","Rallidae","Fulica","Fulica atra","","SPECIES","Fulica atra Linnaeus, 1758","Fulica atra","","IT","09072, Cabras IT-Sardegna 39.92317, 8.50072","Sardegna","PRESENT",50,"e2e717bf-551a-4917-bdc9-4fa0f342c530",39.92317,8.50072,NA,NA,NA,NA,NA,NA,"2021-08-27T00:00:00",27,8,2021,2474377,2474377,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1232357576","","","","CC_BY_4_0","","obsr1338564",NA,NA,"2023-06-07 15:14:34","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.50072 39.92317)"
3540444878,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1184688515","Animalia","Chordata","Aves","Gruiformes","Rallidae","Fulica","Fulica atra","","SPECIES","Fulica atra Linnaeus, 1758","Fulica atra","","IT","Pauli e Sali (paule Su Pauli)","Sardegna","PRESENT",4,"e2e717bf-551a-4917-bdc9-4fa0f342c530",39.94701,8.5079,NA,NA,NA,NA,NA,NA,"2021-06-18T00:00:00",18,6,2021,2474377,2474377,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1184688515","","","","CC_BY_4_0","","obsr1052543",NA,NA,"2023-06-07 15:16:28","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.5079 39.94701)"
3294473405,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1082340117","Animalia","Chordata","Aves","Gruiformes","Rallidae","Fulica","Fulica atra","","SPECIES","Fulica atra Linnaeus, 1758","Fulica atra","","IT","Pauli e Sali (paule Su Pauli)","Sardegna","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",39.94701,8.5079,NA,NA,NA,NA,NA,NA,"2014-06-12T00:00:00",12,6,2014,2474377,2474377,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1082340117","","","","CC_BY_4_0","","obsr1052543",NA,NA,"2023-06-07 15:29:23","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.5079 39.94701)"
