"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
4063084151,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/150964801","Animalia","Chordata","Aves","Gruiformes","Rallidae","Fulica","Fulica atra","","SPECIES","Fulica atra Linnaeus, 1758","Fulica atra","","IT","","Friuli-Venezia Giulia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.7179,13.46563,11,NA,NA,NA,NA,NA,"2023-03-12T12:30:07",12,3,2023,2474377,2474377,"HUMAN_OBSERVATION","iNaturalist","Observations","150964801","","Miguel","2023-03-12T20:30:50","CC_BY_NC_4_0","Miguel","Miguel",NA,NA,"2023-06-14 09:54:19","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.46563 45.7179)"
3686128586,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1260600514","Animalia","Chordata","Aves","Gruiformes","Rallidae","Fulica","Fulica atra","","SPECIES","Fulica atra Linnaeus, 1758","Fulica atra","","IT","Riserva Naturale della Valle Cavanata","Friuli-Venezia Giulia","PRESENT",NA,"e2e717bf-551a-4917-bdc9-4fa0f342c530",45.71981,13.47294,NA,NA,NA,NA,NA,NA,"2021-10-17T00:00:00",17,10,2021,2474377,2474377,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1260600514","","","","CC_BY_4_0","","obsr810336",NA,NA,"2023-06-07 15:30:13","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.47294 45.71981)"
3683611824,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1263470053","Animalia","Chordata","Aves","Gruiformes","Rallidae","Fulica","Fulica atra","","SPECIES","Fulica atra Linnaeus, 1758","Fulica atra","","IT","Riserva Naturale della Valle Cavanata","Friuli-Venezia Giulia","PRESENT",4,"e2e717bf-551a-4917-bdc9-4fa0f342c530",45.71981,13.47294,NA,NA,NA,NA,NA,NA,"2021-10-17T00:00:00",17,10,2021,2474377,2474377,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1263470053","","","","CC_BY_4_0","","obsr657243",NA,NA,"2023-06-07 15:16:01","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.47294 45.71981)"
3678043867,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1235518832","Animalia","Chordata","Aves","Gruiformes","Rallidae","Fulica","Fulica atra","","SPECIES","Fulica atra Linnaeus, 1758","Fulica atra","","IT","Riserva Naturale della Valle Cavanata","Friuli-Venezia Giulia","PRESENT",30,"e2e717bf-551a-4917-bdc9-4fa0f342c530",45.71981,13.47294,NA,NA,NA,NA,NA,NA,"2021-09-12T00:00:00",12,9,2021,2474377,2474377,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1235518832","","","","CC_BY_4_0","","obsr1190181",NA,NA,"2023-06-07 15:33:33","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.47294 45.71981)"
3647923674,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1259557475","Animalia","Chordata","Aves","Gruiformes","Rallidae","Fulica","Fulica atra","","SPECIES","Fulica atra Linnaeus, 1758","Fulica atra","","IT","Riserva Naturale della Valle Cavanata","Friuli-Venezia Giulia","PRESENT",60,"e2e717bf-551a-4917-bdc9-4fa0f342c530",45.71981,13.47294,NA,NA,NA,NA,NA,NA,"2021-10-17T00:00:00",17,10,2021,2474377,2474377,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1259557475","","","","CC_BY_4_0","","obsr2730422",NA,NA,"2023-06-07 15:35:02","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.47294 45.71981)"
3633645641,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1292049787","Animalia","Chordata","Aves","Gruiformes","Rallidae","Fulica","Fulica atra","","SPECIES","Fulica atra Linnaeus, 1758","Fulica atra","","IT","Riserva Naturale della Valle Cavanata","Friuli-Venezia Giulia","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",45.71981,13.47294,NA,NA,NA,NA,NA,NA,"2021-12-09T00:00:00",9,12,2021,2474377,2474377,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1292049787","","","","CC_BY_4_0","","obsr1635194",NA,NA,"2023-06-07 15:29:16","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.47294 45.71981)"
3626192853,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1207579099","Animalia","Chordata","Aves","Gruiformes","Rallidae","Fulica","Fulica atra","","SPECIES","Fulica atra Linnaeus, 1758","Fulica atra","","IT","11 Via Grado, Grado, Friuli-Venezia Giulia, IT (45.718, 13.465)","Friuli-Venezia Giulia","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",45.71806,13.46516,NA,NA,NA,NA,NA,NA,"2021-07-27T00:00:00",27,7,2021,2474377,2474377,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1207579099","","","","CC_BY_4_0","","obsr2657740",NA,NA,"2023-06-07 15:14:58","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.46516 45.71806)"
3614912867,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1181923130","Animalia","Chordata","Aves","Gruiformes","Rallidae","Fulica","Fulica atra","","SPECIES","Fulica atra Linnaeus, 1758","Fulica atra","","IT","Riserva Naturale della Valle Cavanata","Friuli-Venezia Giulia","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",45.71981,13.47294,NA,NA,NA,NA,NA,NA,"2021-05-14T00:00:00",14,5,2021,2474377,2474377,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1181923130","","","","CC_BY_4_0","","obsr2577137",NA,NA,"2023-06-07 15:29:21","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.47294 45.71981)"
3613019403,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1264208028","Animalia","Chordata","Aves","Gruiformes","Rallidae","Fulica","Fulica atra","","SPECIES","Fulica atra Linnaeus, 1758","Fulica atra","","IT","Riserva Naturale della Valle Cavanata","Friuli-Venezia Giulia","PRESENT",4,"e2e717bf-551a-4917-bdc9-4fa0f342c530",45.71981,13.47294,NA,NA,NA,NA,NA,NA,"2021-10-17T00:00:00",17,10,2021,2474377,2474377,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1264208028","","","","CC_BY_4_0","","obsr960036",NA,NA,"2023-06-07 15:31:18","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.47294 45.71981)"
3608742963,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1191510638","Animalia","Chordata","Aves","Gruiformes","Rallidae","Fulica","Fulica atra","","SPECIES","Fulica atra Linnaeus, 1758","Fulica atra","","IT","Grado, Friaul-Julisch Venetien, IT (45,712, 13,467)","Friuli-Venezia Giulia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",45.71202,13.46701,NA,NA,NA,NA,NA,NA,"2021-06-28T00:00:00",28,6,2021,2474377,2474377,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1191510638","","","","CC_BY_4_0","","obsr1778866",NA,NA,"2023-06-07 15:16:09","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.46701 45.71202)"
