"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
3694638923,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1332570513","Animalia","Chordata","Aves","Passeriformes","Alaudidae","Galerida","Galerida cristata","","SPECIES","Galerida cristata (Linnaeus, 1758)","Galerida cristata",NA,"IT","Oasi dei Variconi","Campania","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02252,13.93077,NA,NA,NA,NA,NA,NA,"2014-09-23T00:00:00",23,9,2014,2490669,2490669,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1332570513",NA,"","","CC_BY_4_0","","obsr917699",NA,NA,"2023-06-07 15:15:12","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93077 41.02252)"
3679215116,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1061485925","Animalia","Chordata","Aves","Passeriformes","Alaudidae","Galerida","Galerida cristata","","SPECIES","Galerida cristata (Linnaeus, 1758)","Galerida cristata",NA,"IT","Oasi dei Variconi","Campania","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02252,13.93077,NA,NA,NA,NA,NA,NA,"2021-01-28T00:00:00",28,1,2021,2490669,2490669,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1061485925",NA,"","","CC_BY_4_0","","obsr917699",NA,NA,"2023-06-07 15:15:06","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93077 41.02252)"
3676972363,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1065680788","Animalia","Chordata","Aves","Passeriformes","Alaudidae","Galerida","Galerida cristata","","SPECIES","Galerida cristata (Linnaeus, 1758)","Galerida cristata",NA,"IT","Variconi","Campania","PRESENT",15,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02203,13.93208,NA,NA,NA,NA,NA,NA,"2021-01-30T00:00:00",30,1,2021,2490669,2490669,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1065680788",NA,"","","CC_BY_4_0","","obsr212715",NA,NA,"2023-06-07 15:14:52","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93208 41.02203)"
3673397097,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1156409526","Animalia","Chordata","Aves","Passeriformes","Alaudidae","Galerida","Galerida cristata","","SPECIES","Galerida cristata (Linnaeus, 1758)","Galerida cristata",NA,"IT","Oasi dei Variconi","Campania","PRESENT",5,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02252,13.93077,NA,NA,NA,NA,NA,NA,"2021-05-14T00:00:00",14,5,2021,2490669,2490669,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1156409526",NA,"","","CC_BY_4_0","","obsr819422",NA,NA,"2023-06-07 15:32:12","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93077 41.02252)"
3669271871,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1154656440","Animalia","Chordata","Aves","Passeriformes","Alaudidae","Galerida","Galerida cristata","","SPECIES","Galerida cristata (Linnaeus, 1758)","Galerida cristata",NA,"IT","Oasi dei Variconi","Campania","PRESENT",5,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02252,13.93077,NA,NA,NA,NA,NA,NA,"2021-05-14T00:00:00",14,5,2021,2490669,2490669,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1154656440",NA,"","","CC_BY_4_0","","obsr668799",NA,NA,"2023-06-07 15:13:48","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93077 41.02252)"
3665099487,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1303605540","Animalia","Chordata","Aves","Passeriformes","Alaudidae","Galerida","Galerida cristata","","SPECIES","Galerida cristata (Linnaeus, 1758)","Galerida cristata",NA,"IT","Oasi dei Variconi","Campania","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02252,13.93077,NA,NA,NA,NA,NA,NA,"2021-12-22T00:00:00",22,12,2021,2490669,2490669,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1303605540",NA,"","","CC_BY_4_0","","obsr917699",NA,NA,"2023-06-07 15:33:38","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93077 41.02252)"
3661941012,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1304392454","Animalia","Chordata","Aves","Passeriformes","Alaudidae","Galerida","Galerida cristata","","SPECIES","Galerida cristata (Linnaeus, 1758)","Galerida cristata",NA,"IT","Variconi","Campania","PRESENT",8,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02203,13.93208,NA,NA,NA,NA,NA,NA,"2021-12-24T00:00:00",24,12,2021,2490669,2490669,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1304392454",NA,"","","CC_BY_4_0","","obsr212715",NA,NA,"2023-06-07 15:30:26","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93208 41.02203)"
3657138395,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1233523728","Animalia","Chordata","Aves","Passeriformes","Alaudidae","Galerida","Galerida cristata","","SPECIES","Galerida cristata (Linnaeus, 1758)","Galerida cristata",NA,"IT","Variconi","Campania","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02203,13.93208,NA,NA,NA,NA,NA,NA,"2021-09-07T00:00:00",7,9,2021,2490669,2490669,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1233523728",NA,"","","CC_BY_4_0","","obsr212715",NA,NA,"2023-06-07 15:16:36","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93208 41.02203)"
3649680158,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1225147609","Animalia","Chordata","Aves","Passeriformes","Alaudidae","Galerida","Galerida cristata","","SPECIES","Galerida cristata (Linnaeus, 1758)","Galerida cristata",NA,"IT","Variconi","Campania","PRESENT",7,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02203,13.93208,NA,NA,NA,NA,NA,NA,"2021-08-24T00:00:00",24,8,2021,2490669,2490669,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1225147609",NA,"","","CC_BY_4_0","","obsr212715",NA,NA,"2023-06-07 15:14:35","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93208 41.02203)"
3632133385,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1117355447","Animalia","Chordata","Aves","Passeriformes","Alaudidae","Galerida","Galerida cristata","","SPECIES","Galerida cristata (Linnaeus, 1758)","Galerida cristata",NA,"IT","Variconi","Campania","PRESENT",25,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02203,13.93208,NA,NA,NA,NA,NA,NA,"2021-04-09T00:00:00",9,4,2021,2490669,2490669,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1117355447",NA,"","","CC_BY_4_0","","obsr212715",NA,NA,"2023-06-07 15:12:58","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93208 41.02203)"
