"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
3667060534,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1287217339","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Gallinago","Gallinago gallinago",NA,"SPECIES","Gallinago gallinago (Linnaeus, 1758)","Gallinago gallinago",NA,"IT","Diaccia Botrona","Toscana","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.76477,10.92372,NA,NA,NA,NA,NA,NA,"2021-11-27T00:00:00",27,11,2021,2481819,2481819,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1287217339",NA,"","","CC_BY_4_0","","obsr295236",NA,NA,"2023-06-07 15:34:05","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.92372 42.76477)"
3624535447,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1235770507","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Gallinago","Gallinago gallinago",NA,"SPECIES","Gallinago gallinago (Linnaeus, 1758)","Gallinago gallinago",NA,"IT","Diaccia Botrona","Toscana","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.76477,10.92372,NA,NA,NA,NA,NA,NA,"2021-09-12T00:00:00",12,9,2021,2481819,2481819,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1235770507",NA,"","","CC_BY_4_0","","obsr60228",NA,NA,"2023-06-07 15:14:27","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.92372 42.76477)"
3300935858,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1003024906","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Gallinago","Gallinago gallinago",NA,"SPECIES","Gallinago gallinago (Linnaeus, 1758)","Gallinago gallinago",NA,"IT","Diaccia Botrona","Toscana","PRESENT",10,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.76477,10.92372,NA,NA,NA,NA,NA,NA,"2015-12-08T00:00:00",8,12,2015,2481819,2481819,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1003024906",NA,"","","CC_BY_4_0","","obsr295236",NA,NA,"2023-06-07 15:12:19","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.92372 42.76477)"
3273752620,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1003038202","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Gallinago","Gallinago gallinago",NA,"SPECIES","Gallinago gallinago (Linnaeus, 1758)","Gallinago gallinago",NA,"IT","Diaccia Botrona--Padule Aperto","Toscana","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.78355,10.94244,NA,NA,NA,NA,NA,NA,"2018-12-31T00:00:00",31,12,2018,2481819,2481819,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1003038202",NA,"","","CC_BY_4_0","","obsr295236",NA,NA,"2023-06-07 15:27:15","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.94244 42.78355)"
3213233444,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1036081776","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Gallinago","Gallinago gallinago",NA,"SPECIES","Gallinago gallinago (Linnaeus, 1758)","Gallinago gallinago",NA,"IT","Diaccia Botrona","Toscana","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.76477,10.92372,NA,NA,NA,NA,NA,NA,"2014-01-06T00:00:00",6,1,2014,2481819,2481819,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1036081776",NA,"","","CC_BY_4_0","","obsr295236",NA,NA,"2023-06-07 15:39:42","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.92372 42.76477)"
3211113738,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1003037188","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Gallinago","Gallinago gallinago",NA,"SPECIES","Gallinago gallinago (Linnaeus, 1758)","Gallinago gallinago",NA,"IT","Diaccia Botrona","Toscana","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.76477,10.92372,NA,NA,NA,NA,NA,NA,"2018-04-02T00:00:00",2,4,2018,2481819,2481819,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1003037188",NA,"","","CC_BY_4_0","","obsr295236",NA,NA,"2023-06-07 15:40:42","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.92372 42.76477)"
2980863362,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/41527188","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Gallinago","Gallinago gallinago",NA,"SPECIES","Gallinago gallinago (Linnaeus, 1758)","Gallinago gallinago",NA,"IT","","Toscana","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",42.78325,10.94062,4,NA,NA,NA,NA,NA,"2016-12-08T11:20:00",8,12,2016,2481819,2481819,"HUMAN_OBSERVATION","iNaturalist","Observations","41527188",NA,"lucapassalacqua","2020-04-06T13:43:15","CC_BY_NC_4_0","lucapassalacqua","lucapassalacqua",NA,NA,"2023-06-14 09:43:21","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.94062 42.78325)"
2727895810,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS700074356","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Gallinago","Gallinago gallinago",NA,"SPECIES","Gallinago gallinago (Linnaeus, 1758)","Gallinago gallinago",NA,"IT","Diaccia Botrona","Toscana","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.76477,10.92372,NA,NA,NA,NA,NA,NA,"2019-01-19T00:00:00",19,1,2019,2481819,2481819,"HUMAN_OBSERVATION","CLO","EBIRD","OBS700074356",NA,"","","CC_BY_4_0","","obsr533577",NA,NA,"2023-06-07 15:09:08","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.92372 42.76477)"
2655056841,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS700071273","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Gallinago","Gallinago gallinago",NA,"SPECIES","Gallinago gallinago (Linnaeus, 1758)","Gallinago gallinago",NA,"IT","Diaccia Botrona","Toscana","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.76477,10.92372,NA,NA,NA,NA,NA,NA,"2019-01-19T00:00:00",19,1,2019,2481819,2481819,"HUMAN_OBSERVATION","CLO","EBIRD","OBS700071273",NA,"","","CC_BY_4_0","","obsr435822",NA,NA,"2023-06-07 15:08:45","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.92372 42.76477)"
2597843524,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/41526782","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Gallinago","Gallinago gallinago",NA,"SPECIES","Gallinago gallinago (Linnaeus, 1758)","Gallinago gallinago",NA,"IT","","Toscana","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",42.78319,10.9405,4,NA,NA,NA,NA,NA,"2017-01-04T12:18:00",4,1,2017,2481819,2481819,"HUMAN_OBSERVATION","iNaturalist","Observations","41526782",NA,"lucapassalacqua","2020-04-06T13:35:03","CC_BY_NC_4_0","lucapassalacqua","lucapassalacqua",NA,NA,"2023-06-14 09:58:21","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.9405 42.78319)"
2224701362,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS684050184","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Gallinago","Gallinago gallinago",NA,"SPECIES","Gallinago gallinago (Linnaeus, 1758)","Gallinago gallinago",NA,"IT","Diaccia Botrona","Toscana","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.76477,10.92372,NA,NA,NA,NA,NA,NA,"2018-12-08T00:00:00",8,12,2018,2481819,2481819,"HUMAN_OBSERVATION","CLO","EBIRD","OBS684050184",NA,"","","CC_BY_4_0","","obsr1193213",NA,NA,"2023-06-07 15:27:15","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.92372 42.76477)"
