"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
4112221294,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/160792673","Animalia","Chordata","Aves","Charadriiformes","Haematopodidae","Haematopus","Haematopus ostralegus","","SPECIES","Haematopus ostralegus Linnaeus, 1758","Haematopus ostralegus",NA,"IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.48735,12.25124,201,NA,NA,NA,NA,NA,"2023-05-09T11:11:37",9,5,2023,7788295,7788295,"HUMAN_OBSERVATION","iNaturalist","Observations","160792673",NA,"Fabrizio Borghesi","2023-05-09T19:54:20","CC_BY_NC_4_0","Fabrizio Borghesi","Fabrizio Borghesi",NA,NA,"2023-06-21 11:12:00","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.25124 44.48735)"
4075973312,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/152119618","Animalia","Chordata","Aves","Charadriiformes","Haematopodidae","Haematopus","Haematopus ostralegus","","SPECIES","Haematopus ostralegus Linnaeus, 1758","Haematopus ostralegus",NA,"IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.50918,12.24584,2,NA,NA,NA,NA,NA,"2023-03-05T11:40:00",5,3,2023,7788295,7788295,"HUMAN_OBSERVATION","iNaturalist","Observations","152119618",NA,"Viktor Kovačević","2023-03-24T10:52:44","CC_BY_NC_4_0","gaetano_forti","gaetano_forti",NA,NA,"2023-06-21 11:24:11","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.24584 44.50918)"
3995779533,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/244719810","Animalia","Chordata","Aves","Charadriiformes","Haematopodidae","Haematopus","Haematopus ostralegus","","SPECIES","Haematopus ostralegus Linnaeus, 1758","Haematopus ostralegus",NA,"IT","Italy - Ravenna (comuni)","","PRESENT",5,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",44.50775,12.26342,10,NA,NA,NA,NA,NA,"2022-06-08T00:00:00",8,6,2022,7788295,7788295,"HUMAN_OBSERVATION","","Observations","OBS.244719810",NA,"","","CC_BY_NC_4_0","Stichting Observation International","User 48660",NA,NA,"2023-06-13 15:57:49","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (12.26342 44.50775)"
3656285952,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1078766452","Animalia","Chordata","Aves","Charadriiformes","Haematopodidae","Haematopus","Haematopus ostralegus","","SPECIES","Haematopus ostralegus Linnaeus, 1758","Haematopus ostralegus",NA,"IT","Pialassa della Baiona","Emilia-Romagna","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.50725,12.24538,NA,NA,NA,NA,NA,NA,"2021-02-20T00:00:00",20,2,2021,7788295,7788295,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1078766452",NA,"","","CC_BY_4_0","","obsr608674",NA,NA,"2023-06-07 15:31:41","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.24538 44.50725)"
3637861680,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1136574263","Animalia","Chordata","Aves","Charadriiformes","Haematopodidae","Haematopus","Haematopus ostralegus","","SPECIES","Haematopus ostralegus Linnaeus, 1758","Haematopus ostralegus",NA,"IT","Pialassa della Baiona","Emilia-Romagna","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.50725,12.24538,NA,NA,NA,NA,NA,NA,"2021-04-30T00:00:00",30,4,2021,7788295,7788295,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1136574263",NA,"","","CC_BY_4_0","","obsr1756759",NA,NA,"2023-06-07 15:30:03","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.24538 44.50725)"
3625289307,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1204307976","Animalia","Chordata","Aves","Charadriiformes","Haematopodidae","Haematopus","Haematopus ostralegus","","SPECIES","Haematopus ostralegus Linnaeus, 1758","Haematopus ostralegus",NA,"IT","Pialassa della Baiona--Torre di avvistamento Est","Emilia-Romagna","PRESENT",10,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.50668,12.26561,NA,NA,NA,NA,NA,NA,"2021-07-21T00:00:00",21,7,2021,7788295,7788295,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1204307976",NA,"","","CC_BY_4_0","","obsr2539555",NA,NA,"2023-06-07 15:15:07","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.26561 44.50668)"
3325901376,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/86063649","Animalia","Chordata","Aves","Charadriiformes","Haematopodidae","Haematopus","Haematopus ostralegus","","SPECIES","Haematopus ostralegus Linnaeus, 1758","Haematopus ostralegus",NA,"IT","","Emilia-Romagna","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",44.50669,12.26563,NA,NA,NA,NA,NA,NA,"2021-07-06T07:59:00",6,7,2021,7788295,7788295,"HUMAN_OBSERVATION","iNaturalist","Observations","86063649",NA,"Luca Fornasari","2021-07-07T17:53:30","CC_BY_NC_4_0","Luca Fornasari","Luca Fornasari",NA,NA,"2023-06-21 11:18:04","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.26563 44.50669)"
3286786772,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS965885903","Animalia","Chordata","Aves","Charadriiformes","Haematopodidae","Haematopus","Haematopus ostralegus","","SPECIES","Haematopus ostralegus Linnaeus, 1758","Haematopus ostralegus",NA,"IT","Pialassa della Baiona--Torre di avvistamento Est","Emilia-Romagna","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.50668,12.26561,NA,NA,NA,NA,NA,NA,"2020-08-09T00:00:00",9,8,2020,7788295,7788295,"HUMAN_OBSERVATION","CLO","EBIRD","OBS965885903",NA,"","","CC_BY_4_0","","obsr1593915",NA,NA,"2023-06-07 15:11:52","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.26561 44.50668)"
3230812833,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS864641534","Animalia","Chordata","Aves","Charadriiformes","Haematopodidae","Haematopus","Haematopus ostralegus","","SPECIES","Haematopus ostralegus Linnaeus, 1758","Haematopus ostralegus",NA,"IT","Pialassa della Baiona","Emilia-Romagna","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.50725,12.24538,NA,NA,NA,NA,NA,NA,"2020-02-15T00:00:00",15,2,2020,7788295,7788295,"HUMAN_OBSERVATION","CLO","EBIRD","OBS864641534",NA,"","","CC_BY_4_0","","obsr608674",NA,NA,"2023-06-07 15:12:26","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.24538 44.50725)"
3136940864,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS875244790","Animalia","Chordata","Aves","Charadriiformes","Haematopodidae","Haematopus","Haematopus ostralegus","","SPECIES","Haematopus ostralegus Linnaeus, 1758","Haematopus ostralegus",NA,"IT","Pialassa della Baiona--Torre di avvistamento Est","Emilia-Romagna","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",44.50668,12.26561,NA,NA,NA,NA,NA,NA,"2020-03-07T00:00:00",7,3,2020,7788295,7788295,"HUMAN_OBSERVATION","CLO","EBIRD","OBS875244790",NA,"","","CC_BY_4_0","","obsr1471493",NA,NA,"2023-06-07 15:12:07","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.26561 44.50668)"
