"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
3961293697,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/140795228","Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","Harmonia","Harmonia axyridis","","SPECIES","Harmonia axyridis (Pallas, 1773)","Harmonia axyridis","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.18537,10.67757,108,NA,NA,NA,NA,NA,"2022-05-01T18:42:00",1,5,2022,4989904,4989904,"HUMAN_OBSERVATION","iNaturalist","Observations","140795228","","Marco Munari","2022-11-01T17:44:31","CC_BY_NC_4_0","Marco Munari","Marco Munari",NA,NA,"2023-06-21 11:10:51","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.67757 45.18537)"
3961065634,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/140795244","Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","Harmonia","Harmonia axyridis","","SPECIES","Harmonia axyridis (Pallas, 1773)","Harmonia axyridis","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.18537,10.67757,108,NA,NA,NA,NA,NA,"2022-05-01T18:30:00",1,5,2022,4989904,4989904,"HUMAN_OBSERVATION","iNaturalist","Observations","140795244","","Marco Munari","2022-11-01T17:44:34","CC_BY_NC_4_0","Marco Munari","Marco Munari",NA,NA,"2023-06-21 11:11:39","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.67757 45.18537)"
3961051584,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/140794316","Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","Harmonia","Harmonia axyridis","","SPECIES","Harmonia axyridis (Pallas, 1773)","Harmonia axyridis","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.18661,10.67714,262,NA,NA,NA,NA,NA,"2022-05-01T17:56:00",1,5,2022,4989904,4989904,"HUMAN_OBSERVATION","iNaturalist","Observations","140794316","","Marco Munari","2022-11-01T17:34:12","CC_BY_NC_4_0","Marco Munari","Marco Munari",NA,NA,"2023-06-21 11:22:30","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.67714 45.18661)"
3961039554,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/140795253","Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","Harmonia","Harmonia axyridis","","SPECIES","Harmonia axyridis (Pallas, 1773)","Harmonia axyridis","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.18537,10.67757,108,NA,NA,NA,NA,NA,"2022-05-01T18:20:00",1,5,2022,4989904,4989904,"HUMAN_OBSERVATION","iNaturalist","Observations","140795253","","Marco Munari","2022-11-01T17:44:36","CC_BY_NC_4_0","Marco Munari","Marco Munari",NA,NA,"2023-06-21 11:11:15","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.67757 45.18537)"
3314475135,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/83956917","Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","Harmonia","Harmonia axyridis","","SPECIES","Harmonia axyridis (Pallas, 1773)","Harmonia axyridis","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.15931,10.69011,100,NA,NA,NA,NA,NA,"2021-06-20T07:15:00",20,6,2021,4989904,4989904,"HUMAN_OBSERVATION","iNaturalist","Observations","83956917","","Marco Munari","2021-06-21T17:32:03","CC_BY_NC_4_0","Marco Munari","Marco Munari",NA,NA,"2023-06-21 11:17:18","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.69011 45.15931)"
3314472152,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/83957285","Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","Harmonia","Harmonia axyridis","","SPECIES","Harmonia axyridis (Pallas, 1773)","Harmonia axyridis","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.16001,10.68906,100,NA,NA,NA,NA,NA,"2021-06-20T08:11:00",20,6,2021,4989904,4989904,"HUMAN_OBSERVATION","iNaturalist","Observations","83957285","","Marco Munari","2021-06-21T17:35:44","CC_BY_NC_4_0","Marco Munari","Marco Munari",NA,NA,"2023-06-21 11:07:16","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.68906 45.16001)"
3314408100,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/83956906","Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","Harmonia","Harmonia axyridis","","SPECIES","Harmonia axyridis (Pallas, 1773)","Harmonia axyridis","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.1594,10.69025,100,NA,NA,NA,NA,NA,"2021-06-20T07:12:00",20,6,2021,4989904,4989904,"HUMAN_OBSERVATION","iNaturalist","Observations","83956906","","Marco Munari","2021-06-21T17:32:00","CC_BY_NC_4_0","Marco Munari","Marco Munari",NA,NA,"2023-06-21 11:07:24","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.69025 45.1594)"
3117808236,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/79135529","Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","Harmonia","Harmonia axyridis","","SPECIES","Harmonia axyridis (Pallas, 1773)","Harmonia axyridis","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.18599,10.67747,100,NA,NA,NA,NA,NA,"2021-05-16T17:10:00",16,5,2021,4989904,4989904,"HUMAN_OBSERVATION","iNaturalist","Observations","79135529","","Marco Munari","2021-05-17T11:34:00","CC_BY_NC_4_0","Marco Munari","Marco Munari",NA,NA,"2023-06-21 11:18:38","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.67747 45.18599)"
3079515599,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/25737484","Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","Harmonia","Harmonia axyridis","","SPECIES","Harmonia axyridis (Pallas, 1773)","Harmonia axyridis","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.18596,10.67841,180,NA,NA,NA,NA,NA,"2019-04-28T17:10:00",28,4,2019,4989904,4989904,"HUMAN_OBSERVATION","iNaturalist","Observations","25737484","","Johan Bogaert","2021-04-05T20:05:50","CC_BY_NC_4_0","Marco Munari","Marco Munari",NA,NA,"2023-06-21 11:13:04","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.67841 45.18596)"
2626593144,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/46226401","Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","Harmonia","Harmonia axyridis","","SPECIES","Harmonia axyridis (Pallas, 1773)","Harmonia axyridis","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.18489,10.67652,NA,NA,NA,NA,NA,NA,"2020-05-16T16:03:00",16,5,2020,4989904,4989904,"HUMAN_OBSERVATION","iNaturalist","Observations","46226401","","Marco Munari","2020-05-17T13:31:56","CC_BY_NC_4_0","Marco Munari","Marco Munari",NA,NA,"2023-06-21 11:15:47","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.67652 45.18489)"
