"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
4103171448,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/137952640","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Hipparchia","Hipparchia statilinus",NA,"SPECIES","Hipparchia statilinus Hufnagel, 1766","Hipparchia statilinus","","IT","","Calabria","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",38.646745,16.532598,9,NA,NA,NA,NA,NA,"2022-10-08T10:42:12",8,10,2022,8035998,8035998,"HUMAN_OBSERVATION","iNaturalist","Observations","137952640",NA,"Leonardo Dapporto ALI","2023-04-07T08:56:56","CC_BY_NC_4_0","francescawilkinson","francescawilkinson",NA,NA,2023-06-21 11:10:29,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4096478445,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/95751783","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Hipparchia","Hipparchia statilinus",NA,"SPECIES","Hipparchia statilinus Hufnagel, 1766","Hipparchia statilinus","","HR","","Splitsko-Dalmatinska","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",43.189001,16.666019,1645,NA,NA,NA,NA,NA,"2021-09-18T12:40:00",18,9,2021,8035998,8035998,"HUMAN_OBSERVATION","iNaturalist","Observations","95751783",NA,"Dubravko Dender","2023-04-15T20:15:50","CC_BY_NC_4_0","nickfartree","nickfartree",NA,NA,2023-06-21 11:07:58,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4091889384,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/91656770","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Hipparchia","Hipparchia statilinus",NA,"SPECIES","Hipparchia statilinus Hufnagel, 1766","Hipparchia statilinus","","HR","","Šibensko-Kninska","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",43.772422,15.789347,4,NA,NA,NA,NA,NA,"2021-08-11T19:02:00",11,8,2021,8035998,8035998,"HUMAN_OBSERVATION","iNaturalist","Observations","91656770",NA,"Sebastian Ćato","2021-08-18T17:39:15","CC_BY_NC_4_0","Sebastian Ćato","Sebastian Ćato",NA,NA,2023-06-21 11:20:39,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4091792378,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/88441822","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Hipparchia","Hipparchia statilinus",NA,"SPECIES","Hipparchia statilinus Hufnagel, 1766","Hipparchia statilinus","","HR","","Splitsko-Dalmatinska","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",43.002957,16.627861,27537,NA,NA,NA,NA,NA,"2021-07-24T14:26:55",24,7,2021,8035998,8035998,"HUMAN_OBSERVATION","iNaturalist","Observations","88441822",NA,"Dubravko Dender","2023-04-17T18:52:54","CC_BY_NC_4_0","Albert Cardona","Albert Cardona",NA,NA,2023-06-21 11:20:21,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4091782376,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/89232620","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Hipparchia","Hipparchia statilinus",NA,"SPECIES","Hipparchia statilinus Hufnagel, 1766","Hipparchia statilinus","","HR","","Splitsko-Dalmatinska","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",43.074787,16.717081,27537,NA,NA,NA,NA,NA,"2021-07-30T14:45:39",30,7,2021,8035998,8035998,"HUMAN_OBSERVATION","iNaturalist","Observations","89232620",NA,"Albert Cardona","2021-07-30T19:54:57","CC_BY_NC_4_0","Albert Cardona","Albert Cardona",NA,NA,2023-06-21 11:07:50,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4091765380,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/91634971","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Hipparchia","Hipparchia statilinus",NA,"SPECIES","Hipparchia statilinus Hufnagel, 1766","Hipparchia statilinus","","HR","","Šibensko-Kninska","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",43.6323,15.914822,NA,NA,NA,NA,NA,NA,"2021-08-01T10:35:00",1,8,2021,8035998,8035998,"HUMAN_OBSERVATION","iNaturalist","Observations","91634971",NA,"Mislav Kužić","2021-08-18T13:59:12","CC_BY_NC_4_0","Mislav Kužić","Mislav Kužić",NA,NA,2023-06-21 11:19:09,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4091741382,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/91656746","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Hipparchia","Hipparchia statilinus",NA,"SPECIES","Hipparchia statilinus Hufnagel, 1766","Hipparchia statilinus","","HR","","Šibensko-Kninska","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",43.771891,15.788185,4,NA,NA,NA,NA,NA,"2021-08-11T18:51:00",11,8,2021,8035998,8035998,"HUMAN_OBSERVATION","iNaturalist","Observations","91656746",NA,"Sebastian Ćato","2021-08-18T17:39:06","CC_BY_NC_4_0","Sebastian Ćato","Sebastian Ćato",NA,NA,2023-06-21 11:08:03,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4091713388,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/91656765","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Hipparchia","Hipparchia statilinus",NA,"SPECIES","Hipparchia statilinus Hufnagel, 1766","Hipparchia statilinus","","HR","","Šibensko-Kninska","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",43.772527,15.789215,4,NA,NA,NA,NA,NA,"2021-08-11T18:59:00",11,8,2021,8035998,8035998,"HUMAN_OBSERVATION","iNaturalist","Observations","91656765",NA,"Sebastian Ćato","2021-08-18T17:39:14","CC_BY_NC_4_0","Sebastian Ćato","Sebastian Ćato",NA,NA,2023-06-21 11:18:46,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4091680383,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/91566490","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Hipparchia","Hipparchia statilinus",NA,"SPECIES","Hipparchia statilinus Hufnagel, 1766","Hipparchia statilinus","","HR","","Šibensko-Kninska","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",43.766441,15.774451,4,NA,NA,NA,NA,NA,"2021-08-05T17:48:00",5,8,2021,8035998,8035998,"HUMAN_OBSERVATION","iNaturalist","Observations","91566490",NA,"Sebastian Ćato","2021-08-17T20:08:38","CC_BY_NC_4_0","Sebastian Ćato","Sebastian Ćato",NA,NA,2023-06-21 11:07:52,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4091628373,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/91566525","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Hipparchia","Hipparchia statilinus",NA,"SPECIES","Hipparchia statilinus Hufnagel, 1766","Hipparchia statilinus","","HR","","Šibensko-Kninska","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",43.772926,15.772166,4,NA,NA,NA,NA,NA,"2021-08-05T18:15:00",5,8,2021,8035998,8035998,"HUMAN_OBSERVATION","iNaturalist","Observations","91566525",NA,"Sebastian Ćato","2021-08-17T20:08:50","CC_BY_NC_4_0","Sebastian Ćato","Sebastian Ćato",NA,NA,2023-06-21 11:18:50,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
