"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
4091792727,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/154563954","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Hirundo","Hirundo rustica","","SPECIES","Hirundo rustica Linnaeus, 1758","Hirundo rustica","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",46.14994,9.3969,NA,NA,NA,NA,NA,NA,"2023-04-12T09:44:00",12,4,2023,9515886,9515886,"HUMAN_OBSERVATION","iNaturalist","Observations","154563954","","Roberto Brembilla","2023-04-12T14:06:28","CC_BY_NC_4_0","Roberto Brembilla","Roberto Brembilla",NA,NA,"2023-06-14 10:13:49","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.3969 46.14994)"
4091396754,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/154605202","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Hirundo","Hirundo rustica","","SPECIES","Hirundo rustica Linnaeus, 1758","Hirundo rustica","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",46.15178,9.38827,115,NA,NA,NA,NA,NA,"2023-04-09T00:00:00",9,4,2023,9515886,9515886,"HUMAN_OBSERVATION","iNaturalist","Observations","154605202","","Claudio Foglini","2023-04-12T19:44:08","CC_BY_NC_4_0","Claudio Foglini","Claudio Foglini",NA,NA,"2023-06-14 09:55:03","Sound","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.38827 46.15178)"
4076431840,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/153447256","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Hirundo","Hirundo rustica","","SPECIES","Hirundo rustica Linnaeus, 1758","Hirundo rustica","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",46.15037,9.3869,NA,NA,NA,NA,NA,NA,"2023-04-04T09:41:00",4,4,2023,9515886,9515886,"HUMAN_OBSERVATION","iNaturalist","Observations","153447256","","Roberto Brembilla","2023-04-04T14:42:41","CC_BY_NC_4_0","Roberto Brembilla","Roberto Brembilla",NA,NA,"2023-06-14 09:54:56","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.3869 46.15037)"
4075825200,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/152862732","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Hirundo","Hirundo rustica","","SPECIES","Hirundo rustica Linnaeus, 1758","Hirundo rustica","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",46.15019,9.39148,NA,NA,NA,NA,NA,NA,"2023-03-30T10:06:00",30,3,2023,9515886,9515886,"HUMAN_OBSERVATION","iNaturalist","Observations","152862732","","Roberto Brembilla","2023-03-30T20:06:02","CC_BY_NC_4_0","Roberto Brembilla","Roberto Brembilla",NA,NA,"2023-06-14 09:54:46","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.39148 46.15019)"
3860313012,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/122122475","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Hirundo","Hirundo rustica","","SPECIES","Hirundo rustica Linnaeus, 1758","Hirundo rustica","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",46.15015,9.39007,15,NA,NA,NA,NA,NA,"2022-06-13T06:57:00",13,6,2022,9515886,9515886,"HUMAN_OBSERVATION","iNaturalist","Observations","122122475","","Roberto Brembilla","2022-06-17T05:24:49","CC_BY_NC_4_0","Roberto Brembilla","Roberto Brembilla",NA,NA,"2023-06-14 10:08:00","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.39007 46.15015)"
3760088671,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/111087087","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Hirundo","Hirundo rustica","","SPECIES","Hirundo rustica Linnaeus, 1758","Hirundo rustica","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",46.1478,9.40183,61,NA,NA,NA,NA,NA,"2022-04-11T07:43:00",11,4,2022,9515886,9515886,"HUMAN_OBSERVATION","iNaturalist","Observations","111087087","","Roberto Brembilla","2022-04-11T13:07:16","CC_BY_NC_4_0","Roberto Brembilla","Roberto Brembilla",NA,NA,"2023-06-14 09:51:18","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.40183 46.1478)"
3689965337,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1196074786","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Hirundo","Hirundo rustica","","SPECIES","Hirundo rustica Linnaeus, 1758","Hirundo rustica","","IT","Riserva Naturale Pian di Spagna e Lago di Mezzola","Lombardia","PRESENT",4,"e2e717bf-551a-4917-bdc9-4fa0f342c530",46.18102,9.42953,NA,NA,NA,NA,NA,NA,"2021-07-03T00:00:00",3,7,2021,9515886,9515886,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1196074786","","","","CC_BY_4_0","","obsr112627",NA,NA,"2023-06-07 15:37:18","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.42953 46.18102)"
3663430884,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1147576270","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Hirundo","Hirundo rustica","","SPECIES","Hirundo rustica Linnaeus, 1758","Hirundo rustica","","IT","Riserva Naturale Pian di Spagna e Lago di Mezzola","Lombardia","PRESENT",50,"e2e717bf-551a-4917-bdc9-4fa0f342c530",46.18102,9.42953,NA,NA,NA,NA,NA,NA,"2021-05-08T00:00:00",8,5,2021,9515886,9515886,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1147576270","","","","CC_BY_4_0","","obsr1243236",NA,NA,"2023-06-07 15:27:50","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.42953 46.18102)"
3650224680,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1140576290","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Hirundo","Hirundo rustica","","SPECIES","Hirundo rustica Linnaeus, 1758","Hirundo rustica","","IT","Riserva Naturale Pian di Spagna Lago di Mezzola, Gera Lario IT-Lombardia 46.15076, 9.41110","Lombardia","PRESENT",200,"e2e717bf-551a-4917-bdc9-4fa0f342c530",46.15076,9.4111,NA,NA,NA,NA,NA,NA,"2021-05-03T00:00:00",3,5,2021,9515886,9515886,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1140576290","","","","CC_BY_4_0","","obsr502426",NA,NA,"2023-06-07 15:14:22","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.4111 46.15076)"
3643751420,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1263517664","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Hirundo","Hirundo rustica","","SPECIES","Hirundo rustica Linnaeus, 1758","Hirundo rustica","","IT","Foce del fiume Adda","Lombardia","PRESENT",30,"e2e717bf-551a-4917-bdc9-4fa0f342c530",46.15603,9.38126,NA,NA,NA,NA,NA,NA,"2021-05-15T00:00:00",15,5,2021,9515886,9515886,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1263517664","","","","CC_BY_4_0","","obsr2811114",NA,NA,"2023-06-07 15:30:39","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.38126 46.15603)"
