"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
4116106740,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/160907505","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Hydriris","Hydriris ornatalis",NA,"SPECIES","Hydriris ornatalis (Duponchel, 1832)","Hydriris ornatalis",NA,"IT","","Lazio","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",41.918635,12.485791,3,NA,NA,NA,NA,NA,"2023-05-04T14:51:36",4,5,2023,1879471,1879471,"HUMAN_OBSERVATION","iNaturalist","Observations","160907505",NA,"diegoreggianti","2023-05-10T14:08:03","CC_BY_NC_4_0","diegoreggianti","diegoreggianti",NA,NA,2023-06-21 11:12:22,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4111761401,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/140557898","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Hydriris","Hydriris ornatalis",NA,"SPECIES","Hydriris ornatalis (Duponchel, 1832)","Hydriris ornatalis",NA,"IT","","Abruzzo","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",42.182347,14.3573,5,NA,NA,NA,NA,NA,"2022-10-20T17:49:32",20,10,2022,1879471,1879471,"HUMAN_OBSERVATION","iNaturalist","Observations","140557898",NA,"Niyaz Ismail","2023-02-23T11:15:54","CC_BY_NC_4_0","evergreensdad","evergreensdad",NA,NA,2023-06-21 11:10:58,"StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
4091398655,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/154488858","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Hydriris","Hydriris ornatalis",NA,"SPECIES","Hydriris ornatalis (Duponchel, 1832)","Hydriris ornatalis",NA,"IT","","Lazio","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",42.0396,11.83477,10,NA,NA,NA,NA,NA,"2023-04-11T22:57:00",11,4,2023,1879471,1879471,"HUMAN_OBSERVATION","iNaturalist","Observations","154488858",NA,"babunco","2023-04-11T22:50:21","CC_BY_NC_4_0","babunco","babunco",NA,NA,2023-06-21 11:11:46,"StillImage","CONTINENT_DERIVED_FROM_COORDINATES"
4087089107,"ba8b3250-6115-4680-8c21-6129c35ba738","9fb587e5-0323-40f7-83d7-26bac6191684","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Hydriris","Hydriris ornatalis",NA,"SPECIES","Hydriris ornatalis (Duponchel, 1832)","Hydriris ornatalis (Duponchel, 1832)",NA,"FR","","","PRESENT",NA,"1928bdf0-f5d2-11dc-8c12-b8a03c50a862",43.36053,6.48422,250,NA,118,0,NA,NA,"2018-10-13T00:00:00",13,10,2018,1879471,1879471,"HUMAN_OBSERVATION","","","",NA,"CELSE René","2022-01-25T00:00:00","CC_BY_4_0","","CELSE René",NA,NA,2023-04-20 19:37:30,"","CONTINENT_DERIVED_FROM_COORDINATES"
4087081445,"ba8b3250-6115-4680-8c21-6129c35ba738","bb620f34-ea80-4750-a666-b27189044552","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Hydriris","Hydriris ornatalis",NA,"SPECIES","Hydriris ornatalis (Duponchel, 1832)","Hydriris ornatalis (Duponchel, 1832)",NA,"FR","","","PRESENT",NA,"1928bdf0-f5d2-11dc-8c12-b8a03c50a862",43.44636,6.61302,7832,NA,112,0,NA,NA,"2019-10-28T00:00:00",28,10,2019,1879471,1879471,"HUMAN_OBSERVATION","","","",NA,"CELSE René","2022-01-25T00:00:00","CC_BY_4_0","","CELSE René",NA,NA,2023-04-20 19:37:30,"","CONTINENT_DERIVED_FROM_COORDINATES"
4086973407,"ba8b3250-6115-4680-8c21-6129c35ba738","6d4038aa-1ca3-434e-acde-4202cd4224de","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Hydriris","Hydriris ornatalis",NA,"SPECIES","Hydriris ornatalis (Duponchel, 1832)","Hydriris ornatalis (Duponchel, 1832)",NA,"FR","","","PRESENT",NA,"1928bdf0-f5d2-11dc-8c12-b8a03c50a862",43.39725,6.73345,250,NA,2,0,NA,NA,"2021-10-29T00:00:00",29,10,2021,1879471,1879471,"HUMAN_OBSERVATION","","","",NA,"CELSE René","2022-01-25T00:00:00","CC_BY_4_0","","CELSE René",NA,NA,2023-04-20 19:37:29,"","CONTINENT_DERIVED_FROM_COORDINATES"
4086972184,"ba8b3250-6115-4680-8c21-6129c35ba738","42952e33-7f91-4698-94d8-38ad94d8c13c","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Hydriris","Hydriris ornatalis",NA,"SPECIES","Hydriris ornatalis (Duponchel, 1832)","Hydriris ornatalis (Duponchel, 1832)",NA,"FR","","","PRESENT",NA,"1928bdf0-f5d2-11dc-8c12-b8a03c50a862",43.40744,6.4253,5542,NA,NA,NA,NA,NA,"2019-10-18T00:00:00",18,10,2019,1879471,1879471,"HUMAN_OBSERVATION","","","",NA,"CELSE René","2022-01-25T00:00:00","CC_BY_4_0","","CELSE René",NA,NA,2023-04-20 19:37:32,"","CONTINENT_DERIVED_FROM_COORDINATES"
4086970735,"ba8b3250-6115-4680-8c21-6129c35ba738","a493e6f5-fa31-43f2-b78c-93eb49d720f9","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Hydriris","Hydriris ornatalis",NA,"SPECIES","Hydriris ornatalis (Duponchel, 1832)","Hydriris ornatalis (Duponchel, 1832)",NA,"FR","","","PRESENT",NA,"1928bdf0-f5d2-11dc-8c12-b8a03c50a862",43.39725,6.73345,250,NA,2,0,NA,NA,"2019-09-29T00:00:00",29,9,2019,1879471,1879471,"HUMAN_OBSERVATION","","","",NA,"CELSE René","2022-01-25T00:00:00","CC_BY_4_0","","CELSE René",NA,NA,2023-04-20 19:37:32,"","CONTINENT_DERIVED_FROM_COORDINATES"
4085574099,"cd9e0589-187b-43c0-9692-50d8db7d0467","858a1848-5b73-4f7b-acec-14448b4b5056","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Hydriris","Hydriris ornatalis",NA,"SPECIES","Hydriris ornatalis (Duponchel, 1832)","Hydriris ornatalis (Duponchel, 1832)",NA,"FR","","","PRESENT",NA,"1928bdf0-f5d2-11dc-8c12-b8a03c50a862",43.73358,7.37671,250,NA,NA,NA,NA,NA,"2018-10-06T00:00:00",6,10,2018,1879471,1879471,"HUMAN_OBSERVATION","","","",NA,"","2021-04-08T00:00:00","CC_BY_4_0","","MNHN Observateur non mentionné",NA,NA,2023-04-20 18:25:33,"","CONTINENT_DERIVED_FROM_COORDINATES"
4084112443,"72ea9678-7174-44c4-9535-de9cb733a15d","972cf159-6d46-476b-ab9b-1d0825f7c046","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Hydriris","Hydriris ornatalis",NA,"SPECIES","Hydriris ornatalis (Duponchel, 1832)","Hydriris ornatalis (Duponchel, 1832)",NA,"FR","","","PRESENT",NA,"1928bdf0-f5d2-11dc-8c12-b8a03c50a862",43.6131,6.99548,250,NA,113,0,NA,NA,"2020-08-09T00:00:00",9,8,2020,1879471,1879471,"HUMAN_OBSERVATION","","","",NA,"TCHENG Emmanuel","2021-10-28T00:00:00","CC_BY_4_0","","TCHENG Emmanuel",NA,NA,2023-04-20 16:16:25,"","CONTINENT_DERIVED_FROM_COORDINATES"
