"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
4039376909,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/148887482","Animalia","Arthropoda","Insecta","Odonata","Coenagrionidae","Ischnura","Ischnura elegans","","SPECIES","Ischnura elegans Vander Linden, 1820","Ischnura elegans","","IT","","Toscana","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",42.78099,10.94706,149,NA,NA,NA,NA,NA,"2016-04-16T09:13:00",16,4,2016,1423395,1423395,"HUMAN_OBSERVATION","iNaturalist","Observations","148887482",NA,"brunoparisotto","2023-02-16T09:27:54","CC_BY_NC_4_0","brunoparisotto","brunoparisotto",NA,NA,"2023-06-14 10:12:40","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.94706 42.78099)"
4039364091,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/148887484","Animalia","Arthropoda","Insecta","Odonata","Coenagrionidae","Ischnura","Ischnura elegans","","SPECIES","Ischnura elegans Vander Linden, 1820","Ischnura elegans","","IT","","Toscana","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",42.78099,10.94703,145,NA,NA,NA,NA,NA,"2016-05-24T15:04:00",24,5,2016,1423395,1423395,"HUMAN_OBSERVATION","iNaturalist","Observations","148887484",NA,"brunoparisotto","2023-02-16T09:27:54","CC_BY_NC_4_0","brunoparisotto","brunoparisotto",NA,NA,"2023-06-14 10:12:44","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.94703 42.78099)"
4039342783,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/148887380","Animalia","Arthropoda","Insecta","Odonata","Coenagrionidae","Ischnura","Ischnura elegans","","SPECIES","Ischnura elegans Vander Linden, 1820","Ischnura elegans","","IT","","Toscana","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",42.78387,10.94427,85,NA,NA,NA,NA,NA,"2015-09-17T14:09:00",17,9,2015,1423395,1423395,"HUMAN_OBSERVATION","iNaturalist","Observations","148887380",NA,"brunoparisotto","2023-02-16T09:24:50","CC_BY_NC_4_0","brunoparisotto","brunoparisotto",NA,NA,"2023-06-14 10:12:44","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.94427 42.78387)"
4039320045,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/148887483","Animalia","Arthropoda","Insecta","Odonata","Coenagrionidae","Ischnura","Ischnura elegans","","SPECIES","Ischnura elegans Vander Linden, 1820","Ischnura elegans","","IT","","Toscana","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",42.78102,10.94702,147,NA,NA,NA,NA,NA,"2016-05-04T14:47:00",4,5,2016,1423395,1423395,"HUMAN_OBSERVATION","iNaturalist","Observations","148887483",NA,"brunoparisotto","2023-02-16T09:27:54","CC_BY_NC_4_0","brunoparisotto","brunoparisotto",NA,NA,"2023-06-14 10:12:40","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.94702 42.78102)"
4039296802,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/148887480","Animalia","Arthropoda","Insecta","Odonata","Coenagrionidae","Ischnura","Ischnura elegans","","SPECIES","Ischnura elegans Vander Linden, 1820","Ischnura elegans","","IT","","Toscana","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",42.78094,10.947,140,NA,NA,NA,NA,NA,"2015-06-15T12:54:00",15,6,2015,1423395,1423395,"HUMAN_OBSERVATION","iNaturalist","Observations","148887480",NA,"brunoparisotto","2023-02-16T09:27:53","CC_BY_NC_4_0","brunoparisotto","brunoparisotto",NA,NA,"2023-06-14 10:12:48","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.947 42.78094)"
4039183147,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/148887478","Animalia","Arthropoda","Insecta","Odonata","Coenagrionidae","Ischnura","Ischnura elegans","","SPECIES","Ischnura elegans Vander Linden, 1820","Ischnura elegans","","IT","","Toscana","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",42.78102,10.947,142,NA,NA,NA,NA,NA,"2015-05-24T11:56:00",24,5,2015,1423395,1423395,"HUMAN_OBSERVATION","iNaturalist","Observations","148887478",NA,"brunoparisotto","2023-02-16T09:27:52","CC_BY_NC_4_0","brunoparisotto","brunoparisotto",NA,NA,"2023-06-14 10:12:47","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.947 42.78102)"
4039146169,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/148887476","Animalia","Arthropoda","Insecta","Odonata","Coenagrionidae","Ischnura","Ischnura elegans","","SPECIES","Ischnura elegans Vander Linden, 1820","Ischnura elegans","","IT","","Toscana","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",42.781,10.94705,128,NA,NA,NA,NA,NA,"2015-05-13T09:17:00",13,5,2015,1423395,1423395,"HUMAN_OBSERVATION","iNaturalist","Observations","148887476",NA,"brunoparisotto","2023-02-16T09:27:52","CC_BY_NC_4_0","brunoparisotto","brunoparisotto",NA,NA,"2023-06-14 10:12:40","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.94705 42.781)"
4039133983,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/148887472","Animalia","Arthropoda","Insecta","Odonata","Coenagrionidae","Ischnura","Ischnura elegans","","SPECIES","Ischnura elegans Vander Linden, 1820","Ischnura elegans","","IT","","Toscana","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",42.78098,10.94705,231,NA,NA,NA,NA,NA,"2014-08-27T15:56:00",27,8,2014,1423395,1423395,"HUMAN_OBSERVATION","iNaturalist","Observations","148887472",NA,"brunoparisotto","2023-02-16T09:27:51","CC_BY_NC_4_0","brunoparisotto","brunoparisotto",NA,NA,"2023-06-14 10:13:26","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.94705 42.78098)"
4022279520,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/146833091","Animalia","Arthropoda","Insecta","Odonata","Coenagrionidae","Ischnura","Ischnura elegans","","SPECIES","Ischnura elegans Vander Linden, 1820","Ischnura elegans","","IT","","Toscana","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",42.78081,10.94722,115,NA,NA,NA,NA,NA,"2015-04-26T09:35:00",26,4,2015,1423395,1423395,"HUMAN_OBSERVATION","iNaturalist","Observations","146833091",NA,"brunoparisotto","2023-01-18T16:45:45","CC_BY_NC_4_0","brunoparisotto","brunoparisotto",NA,NA,"2023-06-14 10:11:12","StillImage","CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.94722 42.78081)"
4022068874,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/146833089","Animalia","Arthropoda","Insecta","Odonata","Coenagrionidae","Ischnura","Ischnura elegans","","SPECIES","Ischnura elegans Vander Linden, 1820","Ischnura elegans","","IT","","Toscana","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",42.78078,10.94723,130,NA,NA,NA,NA,NA,"2015-05-31T14:13:00",31,5,2015,1423395,1423395,"HUMAN_OBSERVATION","iNaturalist","Observations","146833089",NA,"brunoparisotto","2023-01-18T16:45:45","CC_BY_NC_4_0","brunoparisotto","brunoparisotto",NA,NA,"2023-06-14 10:11:01","StillImage","CONTINENT_DERIVED_FROM_COORDINATES","POINT (10.94723 42.78078)"
