"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
4103736272,"b1047888-ae52-4179-9dd5-5448ea342a24","https://data.biodiversitydata.nl/xeno-canto/observation/XC796677","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Luscinia","Luscinia megarhynchos","","SPECIES","Luscinia megarhynchos C.L.Brehm, 1831","Luscinia megarhynchos",NA,"IT","Latina, Province of Latina, Lazio","","PRESENT",NA,"1f00d75c-f6fc-4224-a595-975e82d7689c",41.4051,12.8795,NA,NA,NA,NA,NA,NA,"2023-04-28T00:00:00",28,4,2023,7660710,7660710,"HUMAN_OBSERVATION","","Wildlife sounds - Birds","XC796677",NA,"","","CC_BY_NC_4_0","Paul Bourdin","Paul Bourdin",NA,NA,"2023-06-07 21:04:40","StillImage;Sound","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.8795 41.4051)"
3769756397,"b1047888-ae52-4179-9dd5-5448ea342a24","https://data.biodiversitydata.nl/xeno-canto/observation/XC716328","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Luscinia","Luscinia megarhynchos","","SPECIES","Luscinia megarhynchos C.L.Brehm, 1831","Luscinia megarhynchos",NA,"IT","Latina, Province of Latina, Lazio","","PRESENT",NA,"1f00d75c-f6fc-4224-a595-975e82d7689c",41.4127,12.9013,NA,NA,NA,NA,NA,NA,"2022-04-18T00:00:00",18,4,2022,7660710,7660710,"HUMAN_OBSERVATION","","Wildlife sounds - Birds","XC716328",NA,"","","CC_BY_NC_4_0","Paul Bourdin","Paul Bourdin",NA,NA,"2023-06-07 21:04:05","StillImage;Sound","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.9013 41.4127)"
3769741399,"b1047888-ae52-4179-9dd5-5448ea342a24","https://data.biodiversitydata.nl/xeno-canto/observation/XC716327","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Luscinia","Luscinia megarhynchos","","SPECIES","Luscinia megarhynchos C.L.Brehm, 1831","Luscinia megarhynchos",NA,"IT","Latina, Province of Latina, Lazio","","PRESENT",NA,"1f00d75c-f6fc-4224-a595-975e82d7689c",41.4127,12.9013,NA,NA,NA,NA,NA,NA,"2022-04-18T00:00:00",18,4,2022,7660710,7660710,"HUMAN_OBSERVATION","","Wildlife sounds - Birds","XC716327",NA,"","","CC_BY_NC_4_0","Paul Bourdin","Paul Bourdin",NA,NA,"2023-06-07 21:04:04","StillImage;Sound","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.9013 41.4127)"
3612240436,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1145991582","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Luscinia","Luscinia megarhynchos","","SPECIES","Luscinia megarhynchos C.L.Brehm, 1831","Luscinia megarhynchos",NA,"IT","Lago di Fogliano","Lazio","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.40134,12.89731,NA,NA,NA,NA,NA,NA,"2021-05-08T00:00:00",8,5,2021,7660710,7660710,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1145991582",NA,"","","CC_BY_4_0","","obsr668799",NA,NA,"2023-06-07 15:27:24","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.89731 41.40134)"
3566074649,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1186762836","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Luscinia","Luscinia megarhynchos","","SPECIES","Luscinia megarhynchos C.L.Brehm, 1831","Luscinia megarhynchos",NA,"IT","Lago di Fogliano","Lazio","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.40134,12.89731,NA,NA,NA,NA,NA,NA,"2021-06-21T00:00:00",21,6,2021,7660710,7660710,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1186762836",NA,"","","CC_BY_4_0","","obsr543051",NA,NA,"2023-06-07 15:29:18","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.89731 41.40134)"
3552758334,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1146150404","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Luscinia","Luscinia megarhynchos","","SPECIES","Luscinia megarhynchos C.L.Brehm, 1831","Luscinia megarhynchos",NA,"IT","Lago di Fogliano","Lazio","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.40134,12.89731,NA,NA,NA,NA,NA,NA,"2021-05-08T00:00:00",8,5,2021,7660710,7660710,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1146150404",NA,"","","CC_BY_4_0","","obsr819422",NA,NA,"2023-06-07 15:13:44","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.89731 41.40134)"
2080267753,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS532280424","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Luscinia","Luscinia megarhynchos","","SPECIES","Luscinia megarhynchos C.L.Brehm, 1831","Luscinia megarhynchos",NA,"IT","Dormitori dei chiurli","Lazio","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.4025,12.88033,NA,NA,NA,NA,NA,NA,"2017-09-09T00:00:00",9,9,2017,7660710,7660710,"HUMAN_OBSERVATION","CLO","EBIRD","OBS532280424",NA,"","","CC_BY_4_0","","obsr536183",NA,NA,"2023-06-07 15:20:49","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.88033 41.4025)"
2079185655,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS531294939","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Luscinia","Luscinia megarhynchos","","SPECIES","Luscinia megarhynchos C.L.Brehm, 1831","Luscinia megarhynchos",NA,"IT","Pantani di Cicerchia","Lazio","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.41136,12.90252,NA,NA,NA,NA,NA,NA,"2017-09-09T00:00:00",9,9,2017,7660710,7660710,"HUMAN_OBSERVATION","CLO","EBIRD","OBS531294939",NA,"","","CC_BY_4_0","","obsr536183",NA,NA,"2023-06-07 15:07:05","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.90252 41.41136)"
1898844388,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","http://www.inaturalist.org/observations/3165824","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Luscinia","Luscinia megarhynchos","","SPECIES","Luscinia megarhynchos C.L.Brehm, 1831","Luscinia megarhynchos",NA,"IT","","Lazio","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",41.41172,12.90369,6,NA,NA,NA,NA,NA,"2016-05-13T00:00:00",13,5,2016,7660710,7660710,"HUMAN_OBSERVATION","iNaturalist","Observations","3165824",NA,"Enrico Caprio","2017-02-06T11:20:16","CC_BY_NC_4_0","Dino Biancolini","Dino Biancolini",NA,NA,"2023-06-14 09:40:33","Sound","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.90369 41.41172)"
1385326243,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS340363240","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Luscinia","Luscinia megarhynchos","","SPECIES","Luscinia megarhynchos C.L.Brehm, 1831","Luscinia megarhynchos",NA,"IT","Lago di Fogliano","Lazio","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.40134,12.89731,NA,NA,NA,NA,NA,NA,"2015-09-01T00:00:00",1,9,2015,7660710,7660710,"HUMAN_OBSERVATION","CLO","EBIRD","OBS340363240",NA,"","","CC_BY_4_0","","obsr536183",NA,NA,"2023-06-07 15:06:41","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.89731 41.40134)"
