"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
3613401618,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1143739955","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Luscinia","Luscinia megarhynchos","","SPECIES","Luscinia megarhynchos C.L.Brehm, 1831","Luscinia megarhynchos",NA,"IT","Riserva Naturale Nazzano Tevere-Farfa (area generale)","Lazio","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.21223,12.60547,NA,NA,NA,NA,NA,NA,"2021-05-06T00:00:00",6,5,2021,7660710,7660710,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1143739955",NA,"","","CC_BY_4_0","","obsr288584",NA,NA,"2023-06-07 15:28:42","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.60547 42.21223)"
3600602531,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1153588380","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Luscinia","Luscinia megarhynchos","","SPECIES","Luscinia megarhynchos C.L.Brehm, 1831","Luscinia megarhynchos",NA,"IT","Riserva Naturale Nazzano Tevere-Farfa (area generale)","Lazio","PRESENT",8,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.21223,12.60547,NA,NA,NA,NA,NA,NA,"2021-05-13T00:00:00",13,5,2021,7660710,7660710,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1153588380",NA,"","","CC_BY_4_0","","obsr288584",NA,NA,"2023-06-07 15:14:53","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.60547 42.21223)"
3584856430,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1288331314","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Luscinia","Luscinia megarhynchos","","SPECIES","Luscinia megarhynchos C.L.Brehm, 1831","Luscinia megarhynchos",NA,"IT","Riserva Naturale Nazzano Tevere-Farfa--EST (Fattoria Didattica, La Mola)","Lazio","PRESENT",9,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.21409,12.60738,NA,NA,NA,NA,NA,NA,"2021-05-02T00:00:00",2,5,2021,7660710,7660710,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1288331314",NA,"","","CC_BY_4_0","","obsr288584",NA,NA,"2023-06-07 15:14:36","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.60738 42.21409)"
3529109313,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1141559781","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Luscinia","Luscinia megarhynchos","","SPECIES","Luscinia megarhynchos C.L.Brehm, 1831","Luscinia megarhynchos",NA,"IT","Riserva Naturale Nazzano Tevere-Farfa (area generale)","Lazio","PRESENT",14,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.21223,12.60547,NA,NA,NA,NA,NA,NA,"2021-05-04T00:00:00",4,5,2021,7660710,7660710,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1141559781",NA,"","","CC_BY_4_0","","obsr288584",NA,NA,"2023-06-07 15:29:12","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.60547 42.21223)"
3516036571,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1145943695","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Luscinia","Luscinia megarhynchos","","SPECIES","Luscinia megarhynchos C.L.Brehm, 1831","Luscinia megarhynchos",NA,"IT","Riserva Naturale Nazzano Tevere-Farfa (area generale)","Lazio","PRESENT",9,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.21223,12.60547,NA,NA,NA,NA,NA,NA,"2021-05-08T00:00:00",8,5,2021,7660710,7660710,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1145943695",NA,"","","CC_BY_4_0","","obsr288584",NA,NA,"2023-06-07 15:31:38","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.60547 42.21223)"
3158976362,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS942793832","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Luscinia","Luscinia megarhynchos","","SPECIES","Luscinia megarhynchos C.L.Brehm, 1831","Luscinia megarhynchos",NA,"IT","Riserva Naturale Nazzano Tevere-Farfa (area generale)","Lazio","PRESENT",6,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.21223,12.60547,NA,NA,NA,NA,NA,NA,"2020-06-14T00:00:00",14,6,2020,7660710,7660710,"HUMAN_OBSERVATION","CLO","EBIRD","OBS942793832",NA,"","","CC_BY_4_0","","obsr288584",NA,NA,"2023-06-07 15:12:25","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.60547 42.21223)"
2771488514,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS775622636","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Luscinia","Luscinia megarhynchos","","SPECIES","Luscinia megarhynchos C.L.Brehm, 1831","Luscinia megarhynchos",NA,"IT","Riserva Naturale Nazzano Tevere-Farfa (area generale)","Lazio","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.21223,12.60547,NA,NA,NA,NA,NA,NA,"2019-06-16T00:00:00",16,6,2019,7660710,7660710,"HUMAN_OBSERVATION","CLO","EBIRD","OBS775622636",NA,"","","CC_BY_4_0","","obsr288584",NA,NA,"2023-06-07 15:23:49","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.60547 42.21223)"
2750602401,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS800811450","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Luscinia","Luscinia megarhynchos","","SPECIES","Luscinia megarhynchos C.L.Brehm, 1831","Luscinia megarhynchos",NA,"IT","Riserva Naturale Nazzano Tevere-Farfa (area generale)","Lazio","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.21223,12.60547,NA,NA,NA,NA,NA,NA,"2019-09-02T00:00:00",2,9,2019,7660710,7660710,"HUMAN_OBSERVATION","CLO","EBIRD","OBS800811450",NA,"","","CC_BY_4_0","","obsr288584",NA,NA,"2023-06-07 15:29:31","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.60547 42.21223)"
2733145014,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS739446298","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Luscinia","Luscinia megarhynchos","","SPECIES","Luscinia megarhynchos C.L.Brehm, 1831","Luscinia megarhynchos",NA,"IT","Riserva Naturale Nazzano Tevere-Farfa--EST (Fattoria Didattica, La Mola)","Lazio","PRESENT",4,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.21409,12.60738,NA,NA,NA,NA,NA,NA,"2019-04-16T00:00:00",16,4,2019,7660710,7660710,"HUMAN_OBSERVATION","CLO","EBIRD","OBS739446298",NA,"","","CC_BY_4_0","","obsr288584",NA,NA,"2023-06-07 15:24:44","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.60738 42.21409)"
2732573699,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS750074100","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Luscinia","Luscinia megarhynchos","","SPECIES","Luscinia megarhynchos C.L.Brehm, 1831","Luscinia megarhynchos",NA,"IT","Riserva Naturale Nazzano Tevere-Farfa (area generale)","Lazio","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",42.21223,12.60547,NA,NA,NA,NA,NA,NA,"2019-05-03T00:00:00",3,5,2019,7660710,7660710,"HUMAN_OBSERVATION","CLO","EBIRD","OBS750074100",NA,"","","CC_BY_4_0","","obsr288584",NA,NA,"2023-06-07 15:10:05","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.60547 42.21223)"
