"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
4075941180,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/152862733","Animalia","Chordata","Aves","Anseriformes","Anatidae","Mergus","Mergus merganser","","SPECIES","Mergus merganser Linnaeus, 1758","Mergus merganser",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",46.15052,9.38124,NA,NA,NA,NA,NA,NA,"2023-03-30T09:44:00",30,3,2023,9537647,9537647,"HUMAN_OBSERVATION","iNaturalist","Observations","152862733",NA,"Roberto Brembilla","2023-03-30T20:06:03","CC_BY_NC_4_0","Roberto Brembilla","Roberto Brembilla",NA,NA,"2023-06-21 11:11:41","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.38124 46.15052)"
4046316075,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/149663112","Animalia","Chordata","Aves","Anseriformes","Anatidae","Mergus","Mergus merganser","","SPECIES","Mergus merganser Linnaeus, 1758","Mergus merganser",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",46.14996,9.40492,NA,NA,NA,NA,NA,NA,"2023-02-25T10:06:00",25,2,2023,9537647,9537647,"HUMAN_OBSERVATION","iNaturalist","Observations","149663112",NA,"Roberto Brembilla","2023-02-25T20:27:50","CC_BY_NC_4_0","Roberto Brembilla","Roberto Brembilla",NA,NA,"2023-06-21 11:11:38","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.40492 46.14996)"
4014970188,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/146034205","Animalia","Chordata","Aves","Anseriformes","Anatidae","Mergus","Mergus merganser","","SPECIES","Mergus merganser Linnaeus, 1758","Mergus merganser",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",46.16283,9.38012,NA,NA,NA,NA,NA,NA,"2023-01-07T10:24:50",7,1,2023,9537647,9537647,"HUMAN_OBSERVATION","iNaturalist","Observations","146034205",NA,"Claudio Foglini","2023-01-07T12:57:38","CC_BY_NC_4_0","Claudio Foglini","Claudio Foglini",NA,NA,"2023-06-21 11:22:26","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.38012 46.16283)"
3764536956,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/112844215","Animalia","Chordata","Aves","Anseriformes","Anatidae","Mergus","Mergus merganser","","SPECIES","Mergus merganser Linnaeus, 1758","Mergus merganser",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",46.15052,9.39505,65,NA,NA,NA,NA,NA,"2022-04-25T11:04:00",25,4,2022,9537647,9537647,"HUMAN_OBSERVATION","iNaturalist","Observations","112844215",NA,"donzelli","2022-04-25T15:24:05","CC_BY_NC_4_0","donzelli","donzelli",NA,NA,"2023-06-21 11:09:15","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.39505 46.15052)"
3718164571,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/197759104","Animalia","Chordata","Aves","Anseriformes","Anatidae","Mergus","Mergus merganser","","SPECIES","Mergus merganser Linnaeus, 1758","Mergus merganser",NA,"IT","Italy - Sorico (comuni)","","PRESENT",11,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",46.16984,9.39359,32,NA,NA,NA,NA,NA,"2020-08-04T00:00:00",4,8,2020,9537647,9537647,"HUMAN_OBSERVATION","","Observations","OBS.197759104",NA,"","","CC_BY_NC_4_0","Stichting Observation International","User 9486",NA,NA,"2023-06-13 15:59:58","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (9.39359 46.16984)"
3572353733,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1274420531","Animalia","Chordata","Aves","Anseriformes","Anatidae","Mergus","Mergus merganser","","SPECIES","Mergus merganser Linnaeus, 1758","Mergus merganser",NA,"IT","Fiume Adda, Sant'Agata - Lago di Como (zona umida IWC)","Lombardia","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",46.1513,9.39668,NA,NA,NA,NA,NA,NA,"2021-02-20T00:00:00",20,2,2021,9537647,9537647,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1274420531",NA,"","","CC_BY_4_0","","obsr1680066",NA,NA,"2023-06-07 15:17:14","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.39668 46.1513)"
3281024748,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1067578647","Animalia","Chordata","Aves","Anseriformes","Anatidae","Mergus","Mergus merganser","","SPECIES","Mergus merganser Linnaeus, 1758","Mergus merganser",NA,"IT","Riserva Naturale Pian di Spagna e Lago di Mezzola","Lombardia","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",46.18102,9.42953,NA,NA,NA,NA,NA,NA,"2019-04-30T00:00:00",30,4,2019,9537647,9537647,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1067578647",NA,"","","CC_BY_4_0","","obsr502426",NA,NA,"2023-06-07 15:12:56","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.42953 46.18102)"
3228185101,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS864018184","Animalia","Chordata","Aves","Anseriformes","Anatidae","Mergus","Mergus merganser","","SPECIES","Mergus merganser Linnaeus, 1758","Mergus merganser",NA,"IT","Riserva Naturale Pian di Spagna e Lago di Mezzola","Lombardia","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",46.18102,9.42953,NA,NA,NA,NA,NA,NA,"2020-02-14T00:00:00",14,2,2020,9537647,9537647,"HUMAN_OBSERVATION","CLO","EBIRD","OBS864018184",NA,"","","CC_BY_4_0","","obsr1050532",NA,NA,"2023-06-07 15:12:24","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.42953 46.18102)"
3109243422,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/75578394","Animalia","Chordata","Aves","Anseriformes","Anatidae","Mergus","Mergus merganser","","SPECIES","Mergus merganser Linnaeus, 1758","Mergus merganser",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",46.14762,9.37733,61,NA,NA,NA,NA,NA,"2021-04-27T08:42:00",27,4,2021,9537647,9537647,"HUMAN_OBSERVATION","iNaturalist","Observations","75578394",NA,"Roberto Brembilla","2021-04-28T20:08:45","CC_BY_NC_4_0","Roberto Brembilla","Roberto Brembilla",NA,NA,"2023-06-21 11:18:40","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.37733 46.14762)"
3097167707,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/74166729","Animalia","Chordata","Aves","Anseriformes","Anatidae","Mergus","Mergus merganser","","SPECIES","Mergus merganser Linnaeus, 1758","Mergus merganser",NA,"IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",46.14933,9.37602,61,NA,NA,NA,NA,NA,"2021-04-16T09:41:00",16,4,2021,9537647,9537647,"HUMAN_OBSERVATION","iNaturalist","Observations","74166729",NA,"Roberto Brembilla","2021-04-16T19:27:17","CC_BY_NC_4_0","Roberto Brembilla","Roberto Brembilla",NA,NA,"2023-06-21 11:17:39","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (9.37602 46.14933)"
