"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
3687843712,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1332570506","Animalia","Chordata","Aves","Passeriformes","Motacillidae","Motacilla","Motacilla flava","","SPECIES","Motacilla flava Linnaeus, 1758","Motacilla flava",NA,"IT","Oasi dei Variconi","Campania","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02252,13.93077,NA,NA,NA,NA,NA,NA,"2014-09-23T00:00:00",23,9,2014,9701857,9701857,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1332570506","","","","CC_BY_4_0","","obsr917699",NA,NA,"2023-06-07 15:15:40","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93077 41.02252)"
3649552120,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1233523723","Animalia","Chordata","Aves","Passeriformes","Motacillidae","Motacilla","Motacilla flava","","SPECIES","Motacilla flava Linnaeus, 1758","Motacilla flava",NA,"IT","Variconi","Campania","PRESENT",14,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02203,13.93208,NA,NA,NA,NA,NA,NA,"2021-09-07T00:00:00",7,9,2021,9701857,9701857,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1233523723","","","","CC_BY_4_0","","obsr212715",NA,NA,"2023-06-07 15:30:46","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93208 41.02203)"
3627517408,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1331917622","Animalia","Chordata","Aves","Passeriformes","Motacillidae","Motacilla","Motacilla flava","","SPECIES","Motacilla flava Linnaeus, 1758","Motacilla flava",NA,"IT","Oasi dei Variconi","Campania","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02252,13.93077,NA,NA,NA,NA,NA,NA,"2015-03-28T00:00:00",28,3,2015,9701857,9701857,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1331917622","","","","CC_BY_4_0","","obsr917699",NA,NA,"2023-06-07 15:15:12","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93077 41.02252)"
3621793842,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1114421712","Animalia","Chordata","Aves","Passeriformes","Motacillidae","Motacilla","Motacilla flava","","SPECIES","Motacilla flava Linnaeus, 1758","Motacilla flava",NA,"IT","Variconi","Campania","PRESENT",25,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02203,13.93208,NA,NA,NA,NA,NA,NA,"2021-03-30T00:00:00",30,3,2021,9701857,9701857,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1114421712","","","","CC_BY_4_0","","obsr212715",NA,NA,"2023-06-07 15:14:48","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93208 41.02203)"
3614742125,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1117355442","Animalia","Chordata","Aves","Passeriformes","Motacillidae","Motacilla","Motacilla flava","","SPECIES","Motacilla flava Linnaeus, 1758","Motacilla flava",NA,"IT","Variconi","Campania","PRESENT",8,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02203,13.93208,NA,NA,NA,NA,NA,NA,"2021-04-09T00:00:00",9,4,2021,9701857,9701857,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1117355442","","","","CC_BY_4_0","","obsr212715",NA,NA,"2023-06-07 15:14:52","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93208 41.02203)"
3609195999,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1230801444","Animalia","Chordata","Aves","Passeriformes","Motacillidae","Motacilla","Motacilla flava","","SPECIES","Motacilla flava Linnaeus, 1758","Motacilla flava",NA,"IT","Variconi","Campania","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02203,13.93208,NA,NA,NA,NA,NA,NA,"2021-09-01T00:00:00",1,9,2021,9701857,9701857,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1230801444","","","","CC_BY_4_0","","obsr212715",NA,NA,"2023-06-07 15:15:27","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93208 41.02203)"
3606177431,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1096840495","Animalia","Chordata","Aves","Passeriformes","Motacillidae","Motacilla","Motacilla flava","","SPECIES","Motacilla flava Linnaeus, 1758","Motacilla flava",NA,"IT","Oasi dei Variconi","Campania","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02252,13.93077,NA,NA,NA,NA,NA,NA,"2021-03-17T00:00:00",17,3,2021,9701857,9701857,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1096840495","","","","CC_BY_4_0","","obsr917699",NA,NA,"2023-06-07 15:15:29","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93077 41.02252)"
3580205794,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1225147738","Animalia","Chordata","Aves","Passeriformes","Motacillidae","Motacilla","Motacilla flava","","SPECIES","Motacilla flava Linnaeus, 1758","Motacilla flava",NA,"IT","Variconi","Campania","PRESENT",6,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02203,13.93208,NA,NA,NA,NA,NA,NA,"2021-08-27T00:00:00",27,8,2021,9701857,9701857,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1225147738","","","","CC_BY_4_0","","obsr212715",NA,NA,"2023-06-07 15:37:06","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93208 41.02203)"
3519010724,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1114421473","Animalia","Chordata","Aves","Passeriformes","Motacillidae","Motacilla","Motacilla flava","","SPECIES","Motacilla flava Linnaeus, 1758","Motacilla flava",NA,"IT","Variconi","Campania","PRESENT",5,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02203,13.93208,NA,NA,NA,NA,NA,NA,"2021-03-26T00:00:00",26,3,2021,9701857,9701857,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1114421473","","","","CC_BY_4_0","","obsr212715",NA,NA,"2023-06-07 15:13:10","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93208 41.02203)"
3511508532,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1099756147","Animalia","Chordata","Aves","Passeriformes","Motacillidae","Motacilla","Motacilla flava","","SPECIES","Motacilla flava Linnaeus, 1758","Motacilla flava",NA,"IT","Variconi","Campania","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02203,13.93208,NA,NA,NA,NA,NA,NA,"2021-03-19T00:00:00",19,3,2021,9701857,9701857,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1099756147","","","","CC_BY_4_0","","obsr212715",NA,NA,"2023-06-07 15:27:48","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93208 41.02203)"
3292378811,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS981935228","Animalia","Chordata","Aves","Passeriformes","Motacillidae","Motacilla","Motacilla flava","","SPECIES","Motacilla flava Linnaeus, 1758","Motacilla flava",NA,"IT","Variconi","Campania","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02203,13.93208,NA,NA,NA,NA,NA,NA,"2020-09-10T00:00:00",10,9,2020,9701857,9701857,"HUMAN_OBSERVATION","CLO","EBIRD","OBS981935228","","","","CC_BY_4_0","","obsr212715",NA,NA,"2023-06-07 15:27:37","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93208 41.02203)"
3284378893,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1000919686","Animalia","Chordata","Aves","Passeriformes","Motacillidae","Motacilla","Motacilla flava","","SPECIES","Motacilla flava Linnaeus, 1758","Motacilla flava",NA,"IT","Variconi","Campania","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02203,13.93208,NA,NA,NA,NA,NA,NA,"2020-10-16T00:00:00",16,10,2020,9701857,9701857,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1000919686","","","","CC_BY_4_0","","obsr605446",NA,NA,"2023-06-07 15:12:25","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93208 41.02203)"
3264636490,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS972783920","Animalia","Chordata","Aves","Passeriformes","Motacillidae","Motacilla","Motacilla flava","","SPECIES","Motacilla flava Linnaeus, 1758","Motacilla flava",NA,"IT","Variconi","Campania","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02203,13.93208,NA,NA,NA,NA,NA,NA,"2020-08-26T00:00:00",26,8,2020,9701857,9701857,"HUMAN_OBSERVATION","CLO","EBIRD","OBS972783920","","","","CC_BY_4_0","","obsr212715",NA,NA,"2023-06-07 15:12:03","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93208 41.02203)"
3208540206,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1000917315","Animalia","Chordata","Aves","Passeriformes","Motacillidae","Motacilla","Motacilla flava","","SPECIES","Motacilla flava Linnaeus, 1758","Motacilla flava",NA,"IT","Variconi","Campania","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02203,13.93208,NA,NA,NA,NA,NA,NA,"2020-09-24T00:00:00",24,9,2020,9701857,9701857,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1000917315","","","","CC_BY_4_0","","obsr212715",NA,NA,"2023-06-07 15:27:20","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93208 41.02203)"
3189097947,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1000917639","Animalia","Chordata","Aves","Passeriformes","Motacillidae","Motacilla","Motacilla flava","","SPECIES","Motacilla flava Linnaeus, 1758","Motacilla flava",NA,"IT","Variconi","Campania","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02203,13.93208,NA,NA,NA,NA,NA,NA,"2020-10-16T00:00:00",16,10,2020,9701857,9701857,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1000917639","","","","CC_BY_4_0","","obsr212715",NA,NA,"2023-06-07 15:27:48","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93208 41.02203)"
3187886759,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS976637310","Animalia","Chordata","Aves","Passeriformes","Motacillidae","Motacilla","Motacilla flava","","SPECIES","Motacilla flava Linnaeus, 1758","Motacilla flava",NA,"IT","Variconi","Campania","PRESENT",1,"e2e717bf-551a-4917-bdc9-4fa0f342c530",41.02203,13.93208,NA,NA,NA,NA,NA,NA,"2020-09-02T00:00:00",2,9,2020,9701857,9701857,"HUMAN_OBSERVATION","CLO","EBIRD","OBS976637310","","","","CC_BY_4_0","","obsr212715",NA,NA,"2023-06-07 15:12:36","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (13.93208 41.02203)"
