"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
4130219659,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/165767227","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus major","","SPECIES","Parus major Linnaeus, 1758","Parus major","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.78657,8.72444,15,NA,NA,NA,NA,NA,"2023-06-05T19:12:00",5,6,2023,9705453,9705453,"HUMAN_OBSERVATION","iNaturalist","Observations","165767227",NA,"Dragonfyre","2023-06-05T19:01:09","CC_BY_NC_4_0","Dragonfyre","Dragonfyre",NA,"","2023-06-14 10:15:24","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.72444 45.78657)"
4116045022,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/160976631","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus major","","SPECIES","Parus major Linnaeus, 1758","Parus major","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.78726,8.72517,102,NA,NA,NA,NA,NA,"2023-02-20T13:04:32",20,2,2023,9705453,9705453,"HUMAN_OBSERVATION","iNaturalist","Observations","160976631",NA,"gianlucacic92","2023-05-10T21:36:34","CC_BY_NC_4_0","gianlucacic92","gianlucacic92",NA,"","2023-06-14 09:55:30","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.72517 45.78726)"
4080904412,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/154231734","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus major","","SPECIES","Parus major Linnaeus, 1758","Parus major","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.78384,8.72961,4,NA,NA,NA,NA,NA,"2023-04-09T13:33:01",9,4,2023,9705453,9705453,"HUMAN_OBSERVATION","iNaturalist","Observations","154231734",NA,"roby","2023-04-10T05:49:57","CC_BY_NC_4_0","roby","roby",NA,"","2023-06-14 09:54:26","Sound","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.72961 45.78384)"
4067295236,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/151519133","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus major","","SPECIES","Parus major Linnaeus, 1758","Parus major","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.78708,8.72505,2,NA,NA,NA,NA,NA,"2023-03-16T12:59:00",16,3,2023,9705453,9705453,"HUMAN_OBSERVATION","iNaturalist","Observations","151519133",NA,"roby","2023-03-18T19:36:23","CC_BY_NC_4_0","roby","roby",NA,"","2023-06-14 09:54:33","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.72505 45.78708)"
4067254972,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/151300611","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus major","","SPECIES","Parus major Linnaeus, 1758","Parus major","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.78796,8.72655,1,NA,NA,NA,NA,NA,"2023-03-16T09:28:00",16,3,2023,9705453,9705453,"HUMAN_OBSERVATION","iNaturalist","Observations","151300611",NA,"Nicola","2023-03-16T14:39:23","CC_BY_NC_4_0","Nicola","Nicola",NA,"","2023-06-14 09:54:01","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.72655 45.78796)"
4062803899,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/150740990","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus major","","SPECIES","Parus major Linnaeus, 1758","Parus major","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.78801,8.72598,NA,NA,NA,NA,NA,NA,"2023-03-08T14:19:00",8,3,2023,9705453,9705453,"HUMAN_OBSERVATION","iNaturalist","Observations","150740990",NA,"Nicola","2023-03-10T16:31:40","CC_BY_NC_4_0","Nicola","Nicola",NA,"","2023-06-14 09:54:00","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.72598 45.78801)"
4046516095,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/149667116","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus major","","SPECIES","Parus major Linnaeus, 1758","Parus major","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.79023,8.71685,2,NA,NA,NA,NA,NA,"2023-02-25T14:42:00",25,2,2023,9705453,9705453,"HUMAN_OBSERVATION","iNaturalist","Observations","149667116",NA,"Nicola","2023-02-25T21:15:03","CC_BY_NC_4_0","Nicola","Nicola",NA,"","2023-06-14 09:55:02","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.71685 45.79023)"
3961304327,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/140551173","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus major","","SPECIES","Parus major Linnaeus, 1758","Parus major","","IT","","Lombardia","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",45.78734,8.71722,144,NA,NA,NA,NA,NA,"2018-12-29T09:35:00",29,12,2018,9705453,9705453,"HUMAN_OBSERVATION","iNaturalist","Observations","140551173",NA,"Dragonfyre","2022-10-30T18:39:06","CC_BY_NC_4_0","Dragonfyre","Dragonfyre",NA,"","2023-06-14 09:53:49","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.71722 45.78734)"
3690994897,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1255076119","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus major","","SPECIES","Parus major Linnaeus, 1758","Parus major","","IT","Palude Brabbia","Lombardia","PRESENT",NA,"e2e717bf-551a-4917-bdc9-4fa0f342c530",45.77806,8.71709,NA,NA,NA,NA,NA,NA,"2021-10-09T00:00:00",9,10,2021,9705453,9705453,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1255076119",NA,"","","CC_BY_4_0","","obsr2783619",NA,"","2023-06-07 15:16:39","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.71709 45.77806)"
3656329835,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS1305156275","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus major","","SPECIES","Parus major Linnaeus, 1758","Parus major","","IT","Palude Brabbia--Torbiera di Inarzo","Lombardia","PRESENT",3,"e2e717bf-551a-4917-bdc9-4fa0f342c530",45.7844,8.72518,NA,NA,NA,NA,NA,NA,"2021-12-29T00:00:00",29,12,2021,9705453,9705453,"HUMAN_OBSERVATION","CLO","EBIRD","OBS1305156275",NA,"","","CC_BY_4_0","","obsr2621480",NA,"","2023-06-07 15:18:37","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (8.72518 45.7844)"
