"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","points_wkt"
4129962655,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/164235507","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer italiae","","SPECIES","Passer italiae (Vieillot, 1817)","Passer italiae","","IT","","Sicily","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",37.98677,12.51128,NA,NA,NA,NA,NA,NA,"2023-05-18T16:53:00",18,5,2023,8426551,8426551,"HUMAN_OBSERVATION","iNaturalist","Observations","164235507","","Ricardo Rodero Henández","2023-05-28T16:43:32","CC_BY_NC_4_0","Ricardo Rodero Henández","Ricardo Rodero Henández",NA,"","2023-06-14 09:55:44","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.51128 37.98677)"
4127462331,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/164235516","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer italiae","","SPECIES","Passer italiae (Vieillot, 1817)","Passer italiae","","IT","","Sicily","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",37.98315,12.4981,61,NA,NA,NA,NA,NA,"2023-05-18T17:23:00",18,5,2023,8426551,8426551,"HUMAN_OBSERVATION","iNaturalist","Observations","164235516","","Ricardo Rodero Henández","2023-05-28T16:43:34","CC_BY_NC_4_0","Ricardo Rodero Henández","Ricardo Rodero Henández",NA,"","2023-06-14 09:55:55","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.4981 37.98315)"
4127301915,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/164235574","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer italiae","","SPECIES","Passer italiae (Vieillot, 1817)","Passer italiae","","IT","","Sicily","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",37.98292,12.49814,NA,NA,NA,NA,NA,NA,"2023-05-18T17:57:00",18,5,2023,8426551,8426551,"HUMAN_OBSERVATION","iNaturalist","Observations","164235574","","Ricardo Rodero Henández","2023-05-28T16:43:42","CC_BY_NC_4_0","Ricardo Rodero Henández","Ricardo Rodero Henández",NA,"","2023-06-14 10:14:58","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.49814 37.98292)"
4127293494,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/164235570","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer italiae","","SPECIES","Passer italiae (Vieillot, 1817)","Passer italiae","","IT","","Sicily","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",37.98288,12.49815,NA,NA,NA,NA,NA,NA,"2023-05-18T17:56:00",18,5,2023,8426551,8426551,"HUMAN_OBSERVATION","iNaturalist","Observations","164235570","","Ricardo Rodero Henández","2023-05-28T16:43:42","CC_BY_NC_4_0","Ricardo Rodero Henández","Ricardo Rodero Henández",NA,"","2023-06-14 10:14:47","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.49815 37.98288)"
4127094898,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/164235576","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer italiae","","SPECIES","Passer italiae (Vieillot, 1817)","Passer italiae","","IT","","Sicily","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",37.98294,12.4981,NA,NA,NA,NA,NA,NA,"2023-05-18T17:57:00",18,5,2023,8426551,8426551,"HUMAN_OBSERVATION","iNaturalist","Observations","164235576","","Ricardo Rodero Henández","2023-05-28T16:43:43","CC_BY_NC_4_0","Ricardo Rodero Henández","Ricardo Rodero Henández",NA,"","2023-06-14 10:15:03","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.4981 37.98294)"
4127072907,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/164235573","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer italiae","","SPECIES","Passer italiae (Vieillot, 1817)","Passer italiae","","IT","","Sicily","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",37.98288,12.49816,NA,NA,NA,NA,NA,NA,"2023-05-18T17:57:00",18,5,2023,8426551,8426551,"HUMAN_OBSERVATION","iNaturalist","Observations","164235573","","Ricardo Rodero Henández","2023-05-28T16:43:42","CC_BY_NC_4_0","Ricardo Rodero Henández","Ricardo Rodero Henández",NA,"","2023-06-14 10:14:54","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.49816 37.98288)"
4126985482,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/164235569","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer italiae","","SPECIES","Passer italiae (Vieillot, 1817)","Passer italiae","","IT","","Sicily","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",37.98286,12.49815,NA,NA,NA,NA,NA,NA,"2023-05-18T17:55:00",18,5,2023,8426551,8426551,"HUMAN_OBSERVATION","iNaturalist","Observations","164235569","","Ricardo Rodero Henández","2023-05-28T16:43:41","CC_BY_NC_4_0","Ricardo Rodero Henández","Ricardo Rodero Henández",NA,"","2023-06-14 10:15:07","StillImage","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.49815 37.98286)"
2840461772,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/136940573","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer italiae","","SPECIES","Passer italiae (Vieillot, 1817)","Passer italiae","","IT","Italy - Paceco (comuni)","","PRESENT",15,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",37.98654,12.51102,25,NA,NA,NA,NA,NA,"2017-04-18T00:00:00",18,4,2017,8426551,8426551,"HUMAN_OBSERVATION","","Observations","OBS.136940573","","","","CC_BY_NC_4_0","Stichting Observation International","User 42518",NA,"","2023-06-13 15:58:55","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (12.51102 37.98654)"
2840275061,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/138887427","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer italiae","","SPECIES","Passer italiae (Vieillot, 1817)","Passer italiae","","IT","Italy - Paceco (comuni)","","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",37.98308,12.49767,25,NA,NA,NA,NA,NA,"2017-05-15T00:00:00",15,5,2017,8426551,8426551,"HUMAN_OBSERVATION","","Observations","OBS.138887427","","","","CC_BY_NC_4_0","Stichting Observation International","User 41023",NA,"","2023-06-13 15:58:50","","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT","POINT (12.49767 37.98308)"
2228326515,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","URN:catalog:CLO:EBIRD:OBS690205049","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer italiae","","SPECIES","Passer italiae (Vieillot, 1817)","Passer italiae","","IT","Saline di Trapani--Nord","Sicilia","PRESENT",2,"e2e717bf-551a-4917-bdc9-4fa0f342c530",37.99325,12.53274,NA,NA,NA,NA,NA,NA,"2017-04-11T00:00:00",11,4,2017,8426551,8426551,"HUMAN_OBSERVATION","CLO","EBIRD","OBS690205049","","","","CC_BY_4_0","","obsr299882",NA,"","2023-06-07 15:08:20","","CONTINENT_DERIVED_FROM_COORDINATES","POINT (12.53274 37.99325)"
